"gene","timepoint","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Hsp90ab1","24h",4397.9488,0.1271,0.1067,1.1916,0.2334,0.6518
"Synpo","24h",700.5654,-0.0376,0.2438,-0.1544,0.8773,0.9705
"Eif5","24h",584.3426,0.243,0.0871,2.7899,0.0053,0.1055
"Ybx1","24h",556.4584,0.4067,0.2324,1.75,0.0801,0.4185
"Rpsa","24h",360.7859,0.2124,0.2241,0.9477,0.3433,0.742
"Slc38a2","24h",350.1187,-0.8216,0.191,-4.3014,0,0.0022
"Eif5a","24h",332.2892,-0.1733,0.1654,-1.0477,0.2948,0.7025
"Stip1","24h",311.0129,0.0442,0.1468,0.301,0.7634,0.9333
"S100a6","24h",272.6067,1.2701,0.3462,3.6683,2e-04,0.0151
"Cct3","24h",266.8161,0.0076,0.1131,0.0675,0.9462,0.9876
"Myh9","24h",257.0963,0.3303,0.4789,0.6897,0.4904,0.8291
"Bcr","24h",252.0251,0.4115,0.2568,1.6024,0.1091,0.479
"Ackr1","24h",243.1652,0.4698,0.2624,1.7906,0.0734,0.401
"C1qbp","24h",227.4794,-0.2378,0.1449,-1.6404,0.1009,0.4624
"Gja1","24h",219.7559,-0.2768,0.1769,-1.5648,0.1176,0.4937
"Msn","24h",155.2829,1.9734,0.6864,2.8752,0.004,0.0924
"Nus1","24h",157.6804,0.0601,0.1794,0.3349,0.7377,0.9249
"Psmc5","24h",152.6991,0.37,0.2112,1.7517,0.0798,0.4183
"Flna","24h",142.6227,0.8419,0.4554,1.8487,0.0645,0.3779
"Ifrd1","24h",138.0521,0.8561,0.1726,4.9613,0,2e-04
"Atp1b3","24h",138.0431,0.0673,0.2009,0.335,0.7376,0.9249
"Pkig","24h",133.5261,0.3681,0.2037,1.8067,0.0708,0.3944
"Akap12","24h",131.0154,0.4673,0.4462,1.0473,0.295,0.7025
"Snrk","24h",128.4706,-0.3096,0.1791,-1.7289,0.0838,0.4246
"Anxa2","24h",123.1943,1.5193,0.626,2.4268,0.0152,0.1886
"Ehd4","24h",123.4035,0.8303,0.3189,2.6039,0.0092,0.1478
"Trib1","24h",118.6943,0.6998,0.3054,2.2912,0.022,0.2289
"Tgm2","24h",109.7266,1.5124,0.6621,2.2843,0.0224,0.23
"Fkbp2","24h",99.9425,-0.0536,0.2051,-0.2616,0.7936,0.9428
"Cd93","24h",88.288,1.4435,0.6764,2.1342,0.0328,0.2732
"Myo1b","24h",84.5921,-0.2465,0.2463,-1.0007,0.317,0.7209
"Rell1","24h",81.0253,0.0143,0.3279,0.0437,0.9652,0.9926
"Gapdh","24h",80.8578,-0.1687,0.3121,-0.5406,0.5888,0.8705
"Crlf2","24h",76.4645,-0.0901,0.2198,-0.41,0.6818,0.9057
"Ptpn12","24h",70.0374,0.4154,0.2518,1.65,0.0989,0.4604
"Cd44","24h",68.1208,2.5855,0.6881,3.7575,2e-04,0.012
"Chic2","24h",69.458,0.2144,0.2359,0.9087,0.3635,0.7583
"Cavin3","24h",64.9259,-0.0077,0.2914,-0.0263,0.979,0.9951
"Adamts1","24h",62.693,1.8876,0.4715,4.003,1e-04,0.0055
"Litaf","24h",61.8255,1.3618,0.6837,1.9917,0.0464,0.3268
"Socs3","24h",56.9888,2.7928,0.7538,3.7049,2e-04,0.0138
"Apln","24h",55.015,0.3629,0.2851,1.2728,0.2031,0.6148
"Stab1","24h",55.3471,1.1902,0.8345,1.4263,0.1538,0.5508
"Rpl36al","24h",51.1299,0.2529,0.2478,1.0209,0.3073,0.7128
"Lrg1","24h",48.1882,1.4558,0.7686,1.8941,0.0582,0.3646
"Cdv3","24h",47.3333,0.0078,0.2646,0.0296,0.9764,0.9951
