gene_norm,n_dataset_tp,n_datasets,datasets,cell_types,timepoints,max_log2FC,min_padj
Adamts9,5,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|1h|24h|Day2,6.362880964588147,1.9332107925078527e-82
Tmem252,5,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|1h|24h|Day2,3.820540912559904,6.90315171826331e-39
Ctla2a,5,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|1h|24h|Day2,3.603135436589224,6.85070023466899e-54
Msn,5,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|1h|24h|Day2,1.925661878407172,5.3385768783617074e-18
Ch25h,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,5.815525267705413,7.035464074397407e-92
Tubb6,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,5.532055261254612,8.502556811116312e-31
Scgb3a1,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,5.4505217522224,8.952557751138863e-154
Litaf,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,12h|1d|24h|Day2,4.521557402097581,1.3758936184645452e-22
Tuba1c,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,3.0641022,3.2798108443742244e-07
Ecscr,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,2.848496366700854,1.0214790676318167e-38
Ifitm1,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte|SMC,12h|1d|24h|Day2,2.7024815,6.948319213693841e-09
Rnd1,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,2.5064967,3.6289757157381393e-13
Pde4b,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,2.423882522865107,3.747111012717107e-05
Fkbp1a,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,2.337595479019816,3.7313088268724737e-37
Rps2,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,12h|1d|24h|Day2,2.309985625035717,6.767663061985866e-57
Igfbp7,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,2.276432850300263,2.435893996929204e-34
Ctsb,4,3,GSE223744|GSE225948|GSE234052,Endothelial|SMC,12h|1d|24h|Day2,2.176199,3.928904241922831e-06
Col4a2,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,12h|1d|24h|Day2,2.142800731996582,6.953179568691742e-27
Aig1,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,2.0533115883867685,4.911175036492437e-23
Hspe1,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,2.051699692827804,6.245811125780213e-07
Col4a1,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,12h|1d|24h|Day2,2.0462641762918388,7.770529687793834e-20
S100a11,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,12h|1d|24h|Day2,1.9742755944508672,1.9921418426980282e-28
Rplp0,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte|SMC,12h|1d|24h|Day2,1.8122507799906549,1.4405013828699073e-49
Rpsa,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte|SMC,12h|1d|24h|Day2,1.667773305178786,1.5613222566713243e-55
Tnfrsf1a,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,1.5799927251391332,2.784270987606948e-11
Pdia6,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,1.5097031053620753,1.4641236994806849e-08
Sparc,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,1.4378710663814354,1.3464259314105618e-41
Mif,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,1.4136633474834035,4.695870818709286e-10
Ifitm2,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,12h|1d|24h|Day2,1.401251771938889,1.85903801454739e-18
Ifitm3,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,12h|1d|24h|Day2,1.3792703767035797,2.8216814881141963e-30
Mrpl52,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,1.3252841344887747,3.117285741935009e-06
Hspa5,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,12h|1d|24h|Day2,1.2478259235282765,1.7903507251033694e-15
Ssr4,4,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|24h|Day2,1.2308255069450154,1.0845026665750376e-08
Manf,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,12h|1d|24h|Day2,1.1975579771522002,2.15419566555296e-12
Rps26,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte|SMC,12h|1d|24h|Day2,1.1110054248553574,2.3912262222750243e-18
Krtcap2,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,12h|1d|24h|Day2,1.0513655817588536,4.583433078232543e-10
Tuba1a,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,12h|1d|24h|Day2,1.0473355,1.6331083935760404e-06
Ldha,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,12h|1d|24h|Day2,1.0170482,7.505182445316742e-07
Pkm,4,3,GSE223744|GSE225948|GSE234052,Endothelial|SMC,12h|1d|24h|Day2,1.0036899,1.548385070391493e-23
Rplp2,4,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,12h|1d|24h|Day2,0.7191397006372571,4.355231530429177e-28
Timp1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,7.086668748309079,1.4459697675676437e-22
Upp1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,6.234724776667552,9.450625389474231e-27
Emp1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,4.692152653447597,8.872079130141184e-16
Pdlim1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,4.513268,5.4897522519470834e-08
Ai506816,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,3.166534868958091,4.0747282255760767e-32
Ppa1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,2.7904762322615677,1.435057118176758e-25
Fbl,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,2.7298021208991874,1.0777377768019322e-11
S100a6,3,3,GSE223744|GSE225948|GSE234052,Endothelial|SMC,1d|24h|Day2,2.507212287764533,2.7825283674121403e-26
Srm,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,2.499994043018651,5.720108650877567e-08
Gngt2,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,2.4709717463573924,6.936180099164937e-21
Txnrd1,3,3,GSE223744|GSE225948|GSE234052,Endothelial|SMC,1d|24h|Day2,2.2556508,3.2054053678337683e-06
Vmp1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|Day2,2.226379116899591,3.163812664613545e-13
Fam43a,3,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|Day2,2.222470405936196,5.019391614993383e-14
Aprt,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,2.1241098131867058,7.291254923037751e-06
Abi3,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,2.046106206560084,6.0249368762069615e-18
Anxa2,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.9694683423579809,6.311241435291864e-23
Esd,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.96582609337394,3.286590184397168e-11
Eif4ebp1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.9639519952505655,1.8391216819679527e-28
Nid1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.939388120316862,7.838062199572069e-14
Nme1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.905541571713977,4.864313591613487e-15
Nhp2,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.727687423265735,3.479252252542889e-07
Ftl1,3,3,GSE223744|GSE225948|GSE234052,Endothelial|SMC,1d|24h|Day2,1.7191701,2.4133205405448024e-24
Ralb,3,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|Day2,1.618623344935089,3.5028058675410894e-11
Atp5g1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.5922739004836803,4.840812154143094e-10
Vim,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.5254668041446644,3.0420401441559265e-12
Cd200,3,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|Day2,1.522294806084736,3.556734906478455e-13
Ddx39,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.4202542330838088,4.7378048089048426e-08
Serpinh1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|Day2,1.4156670876957005,8.253253310197445e-09
Xbp1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|Day2,1.3857436062132946,1.7706370899146314e-12
Bola2,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.3688195255654,0.0020028436609789
Rplp1,3,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,1d|24h|Day2,1.3314479015955305,1.5409759438599506e-29
Rps18,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.318244473105354,1.794702710730533e-23
Rps8,3,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,1d|24h|Day2,1.3000010439576024,0.0153240169868889
Eif4a1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.2988558015227645,6.968077878629934e-11
Ran,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.287990319405152,1.486248648237828e-16
Hsd17b12,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.2608841944579428,6.037006454632814e-12
Eef1g,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.222247901377589,1.0373548691795755e-24
Npm1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.2079121192911138,6.089749584264413e-12
Lmna,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.1802984,1.903993990893485e-11
Tm4sf1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|Day2,1.1785937764048808,0.0001636718856663
Pkig,3,3,GSE223744|GSE225948|GSE234052,Endothelial,12h|1d|Day2,1.147594897467494,1.006916929462831e-09
Eif5a,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.1398317088099823,4.3453808708135735e-08
Tcp1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.1230960740489018,4.4458917613898535e-08
H13,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.1127551387449786,1.051672627292558e-06
Calr,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.0860573,5.3243759904042944e-24
Tubb5,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.0793224889261424,1.507200798454376e-10
P4hb,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.0769148834870457,5.662796305166359e-06
H2afj,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.037643242147517,8.747169276798143e-06
Rpl41,3,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte|SMC,1d|24h|Day2,1.0298114993634904,1.3688214918542115e-55
Cct6a,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.0211851365208986,2.932870763071228e-07
Ranbp1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,1.000898499957768,2.411377534787677e-06
Mrpl17,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,0.9682125879956828,0.0039235386868419
Rpl18,3,3,GSE223744|GSE225948|GSE234052,Endothelial|SMC,1d|24h|Day2,0.9571055180931624,0.0025684076041704
Pfn1,3,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,12h|1d|Day2,0.9223319107429392,0.0002600490844474
Actb,3,3,GSE223744|GSE225948|GSE234052,Endothelial|Pericyte,1d|24h|Day2,0.9106052967611364,4.4654313720214576e-36
Rack1,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,0.8371148511256487,1.7951072636568246e-16
Psmb4,3,3,GSE223744|GSE225948|GSE234052,Endothelial,1d|24h|Day2,0.8303331399180555,1.2607022232584346e-07
Rpl8,3,3,GSE223744|GSE225948|GSE234052,Endothelial|SMC,1d|24h|Day2,0.7384279401843377,0.0020582122302896
Plaur,4,2,GSE223744|GSE234052,Endothelial,12h|1d|1h|24h,4.344452442261196,1.757418196188156e-21
Adamts1,4,2,GSE223744|GSE234052,Endothelial|Pericyte,12h|1d|1h|24h,3.3792875,9.130632579990222e-43
Akap12,4,2,GSE223744|GSE234052,Endothelial,12h|1d|1h|24h,3.3113871368187104,8.452343611145578e-11
Cd93,4,2,GSE223744|GSE234052,Endothelial,12h|1d|1h|24h,1.3076321,6.297913462667951e-17
Kit,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,6.0627556,4.518934456598169e-07
Trp53i11,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,5.3879657,0.0037527523349618
Synpo,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,5.180788322924682,1.8059827684337866e-68
Angpt2,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,4.2071630453884215,3.196643508079733e-17
Lrrc32,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,3.466444978226668,1.959256582731747e-06
Mt2,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,3.3535578082643696,2.0362318958063883e-07
Ptpre,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,3.042025738001552,1.5708475526153337e-13
Tnfrsf12a,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,2.953570256488816,6.1553927183940655e-24
Apold1,3,2,GSE223744|GSE234052,Endothelial|Pericyte,1d|1h|24h,2.9020944,2.6055774122435852e-23
Meox1,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,2.7443943795452594,4.1646514176033633e-17
Crlf2,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,2.5513105434438392,1.2883402992470078e-27
Adm,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,2.397799,3.1546456208014824e-07
Hilpda,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,2.3045266,2.657336337933726e-07
Gja1,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,2.295550038973648,1.4466050001156158e-11
Gimap5,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,2.239825820707504,1.3772415456355195e-17
Odc1,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,2.193582,4.221190370708695e-06
Nus1,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,2.165154600887613,1.7862449246506386e-14
Fosl2,3,2,GSE223744|GSE234052,Endothelial,1d|1h|24h,2.1402838,2.8907434062549272e-08
Errfi1,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,2.1152204991933496,0.001548688993954
Cdc42ep3,3,2,GSE223744|GSE234052,Endothelial,12h|1d|1h,2.019940288794061,2.3672595663765083e-14
Pvr,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.9470798045925044,1.2863390548367207e-11
Sema6d,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.8330522,2.742230303083669e-10
Capg,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.7601443208783931,1.724736513987371e-17
Rhoc,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.7440591157532712,4.816634043958223e-17
Sat1,3,2,GSE223744|GSE234052,Endothelial,1d|1h|24h,1.73836167167108,3.610004193049515e-16
Ifrd1,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.7151087711106623,7.769044390523883e-13
Gapdh,3,2,GSE223744|GSE234052,Endothelial|Pericyte|SMC,12h|1d|24h,1.7045838434044271,8.705316639722546e-37
Tpm3,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.6660137959329953,3.1865554600252505e-22
Cyba,3,2,GSE223744|GSE234052,Endothelial|SMC,12h|1d|24h,1.5689,1.5380979862972637e-05
