"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison"
4.72126765693742e-144,-3.33855824487684,0.563,0.988,8.81743947609633e-140,"mt-Atp8","Pericyte","MCAO_vs_Sham"
7.48693760657204e-109,1.91222868660934,0.975,0.682,1.39826046740339e-104,"AY036118","Pericyte","MCAO_vs_Sham"
2.64364099807028e-108,1.85245382887026,0.978,0.701,4.93726392799605e-104,"Gm42418","Pericyte","MCAO_vs_Sham"
2.40601873186427e-72,2.02805022672767,0.938,0.259,4.4934805836297e-68,"Spp1","Pericyte","MCAO_vs_Sham"
4.79907407851499e-61,3.48882936072138,0.66,0.103,8.96275074903459e-57,"Ccl4","Pericyte","MCAO_vs_Sham"
1.62625795986875e-59,-2.21497900903028,0.2,0.688,3.03719936585087e-55,"Dbp","Pericyte","MCAO_vs_Sham"
5.69951549253656e-51,1.70351722593803,0.81,0.452,1.06444151338613e-46,"Gm26917","Pericyte","MCAO_vs_Sham"
1.35461721689822e-49,0.695482179102653,1,1,2.52988311427911e-45,"Malat1","Pericyte","MCAO_vs_Sham"
2.72293538976162e-43,1.49007683889385,0.897,0.682,5.08535413391881e-39,"Ctsb","Pericyte","MCAO_vs_Sham"
8.23907644371347e-40,-0.592639040590741,0.999,1,1.53872991662793e-35,"Tmsb4x","Pericyte","MCAO_vs_Sham"
3.94400508519141e-39,-1.57438745515742,0.438,0.763,7.36582389710348e-35,"Rps27rt","Pericyte","MCAO_vs_Sham"
1.60003498804451e-37,-2.00737722203387,0.461,0.807,2.98822534367193e-33,"Itm2a","Pericyte","MCAO_vs_Sham"
2.29419179482071e-37,-1.1563325726649,0.718,0.928,4.28463259600716e-33,"Tsc22d1","Pericyte","MCAO_vs_Sham"
5.93354512318631e-35,2.79168329572341,0.817,0.573,1.10814888720628e-30,"Mt1","Pericyte","MCAO_vs_Sham"
4.95316732108492e-34,-1.21348475532836,0.571,0.804,9.2505352888582e-30,"Gm8797","Pericyte","MCAO_vs_Sham"
1.52606645380351e-32,-0.836426213248803,0.764,0.935,2.85008170912344e-28,"Uba52","Pericyte","MCAO_vs_Sham"
1.99679374435096e-31,2.20836370190909,0.502,0.131,3.72921199694985e-27,"Ccl12","Pericyte","MCAO_vs_Sham"
1.42801042890797e-30,3.94583411043257,0.547,0.218,2.66695227702853e-26,"Mt2","Pericyte","MCAO_vs_Sham"
7.21095810391915e-30,-2.2096663290783,0.134,0.417,1.34671853548794e-25,"Rpl9-ps6","Pericyte","MCAO_vs_Sham"
1.14105236061787e-29,-2.6528372922596,0.055,0.293,2.13102938868994e-25,"Dynlt1b","Pericyte","MCAO_vs_Sham"
2.45339658001455e-29,1.23549004731705,0.834,0.632,4.58196345283517e-25,"Hspa5","Pericyte","MCAO_vs_Sham"
6.72572040242445e-29,4.20929605350646,0.412,0.072,1.25609554235679e-24,"Ccl2","Pericyte","MCAO_vs_Sham"
7.75134306604193e-29,1.30946333996045,0.831,0.629,1.44764083101399e-24,"Plat","Pericyte","MCAO_vs_Sham"
1.06428605583134e-28,2.73572965758607,0.452,0.103,1.98766063787062e-24,"Angptl4","Pericyte","MCAO_vs_Sham"
