"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","timepoint","cell_type"
4.40120612853195e-45,-0.408725976758938,1,1,9.14790693815366e-41,"Malat1","D3","Endothelial"
3.34764460941056e-43,2.20898404978572,0.515,0.091,6.95807932065986e-39,"Vwf","D3","Endothelial"
1.35834511394747e-39,1.82508834761261,0.563,0.136,2.82332031933983e-35,"Etv6","D3","Endothelial"
4.53965518963883e-38,3.81300022795372,0.338,0.015,9.43567331166431e-34,"Adamts9","D3","Endothelial"
6.02053499894625e-38,2.47806760287027,0.436,0.068,1.25136819953098e-33,"Zfp521","D3","Endothelial"
7.44372048183148e-37,-1.08861358228788,0.586,0.772,1.54717730214867e-32,"Calm1","D3","Endothelial"
1.76040052182405e-35,2.2109588464782,0.419,0.068,3.65899248461129e-31,"Rhoj","D3","Endothelial"
6.58269224102397e-35,1.41718203698735,0.612,0.185,1.36821258229683e-30,"Magi1","D3","Endothelial"
6.4259321936954e-34,1.66557522257965,0.528,0.138,1.33563000645959e-29,"Rai14","D3","Endothelial"
5.05325361721536e-31,-0.333916695621112,1,0.998,1.05031876433821e-26,"Cmss1","D3","Endothelial"
9.89113341440522e-31,4.06779319885676,0.289,0.019,2.05587208018412e-26,"Atp8b1","D3","Endothelial"
3.75873211951597e-30,-1.66538210685715,0.279,0.56,7.81252471041394e-26,"Cxcl12","D3","Endothelial"
5.17971470841209e-30,1.37719353677047,0.568,0.183,1.07660370214345e-25,"Sema6a","D3","Endothelial"
5.86649654698012e-29,-0.490223380174429,0.826,0.889,1.21935130728982e-24,"mt-Atp6","D3","Endothelial"
1.02446129820853e-28,2.09031469405837,0.37,0.066,2.12934280832644e-24,"Gm26917","D3","Endothelial"
1.16467864192339e-28,0.986921362885684,0.768,0.357,2.42078455723776e-24,"Tshz2","D3","Endothelial"
1.79498489819786e-28,1.01781030089737,0.744,0.321,3.73087611090426e-24,"Apbb2","D3","Endothelial"
4.73820926302387e-28,-1.55146882223525,0.338,0.583,9.84836795319511e-24,"Ubb","D3","Endothelial"
1.46311288786811e-27,1.70778372107866,0.426,0.104,3.04108013743386e-23,"Shank3","D3","Endothelial"
7.96205174944615e-27,1.77735637182796,0.359,0.064,1.65491245612238e-22,"Abca1","D3","Endothelial"
3.60388781484327e-26,1.69151008476021,0.361,0.068,7.49068082315174e-22,"Smad1","D3","Endothelial"
3.89046801642288e-26,1.10227709305963,0.595,0.217,8.08633777213496e-22,"Pbx1","D3","Endothelial"
5.37600328245031e-26,1.29498336968464,0.546,0.196,1.1174022822573e-21,"Dach1","D3","Endothelial"
6.11511449905747e-26,1.25822191207686,0.506,0.155,1.2710265486291e-21,"Plekhg1","D3","Endothelial"
9.61582971787715e-26,1.43172371272107,0.481,0.149,1.99865020686077e-21,"Hdac9","D3","Endothelial"
1.07297371332715e-25,1.06752428475938,0.599,0.217,2.23017586315049e-21,"Prkch","D3","Endothelial"
2.28675279115364e-25,1.34519839006427,0.514,0.174,4.75301567641284e-21,"Rapgef5","D3","Endothelial"
3.73245299773363e-25,1.98805940418371,0.33,0.06,7.75790355578935e-21,"Dab2","D3","Endothelial"
5.02173409501338e-25,1.01140593311252,0.652,0.262,1.04376743164853e-20,"Fryl","D3","Endothelial"
6.45333582394276e-25,1.18848906055519,0.526,0.174,1.3413258510065e-20,"Pde7b","D3","Endothelial"
6.48515763573515e-25,-0.791057398507155,0.619,0.728,1.34794001458755e-20,"Bsg","D3","Endothelial"
1.01333737874325e-24,-1.20737210460145,0.408,0.628,2.10622174171785e-20,"Apoe","D3","Endothelial"
1.37424330758958e-24,-0.429094729060168,0.9,0.904,2.85636471482495e-20,"Flt1","D3","Endothelial"
4.04116962669296e-24,1.51021305973576,0.414,0.115,8.39957106908132e-20,"Gab2","D3","Endothelial"
8.74623268515249e-24,2.26228892112815,0.278,0.036,1.81790446360895e-19,"Osmr","D3","Endothelial"
1.27353942059962e-23,2.17319957624748,0.31,0.057,2.64705168571632e-19,"Zfp423","D3","Endothelial"
1.54887247049895e-23,2.82410498247013,0.256,0.028,3.21933142993206e-19,"Mgat4a","D3","Endothelial"
3.30948499450229e-23,1.80381918635793,0.354,0.081,6.87876456107301e-19,"Il1r1","D3","Endothelial"
6.25449523936516e-23,1.06968378297414,0.534,0.191,1.29999683550205e-18,"Dock1","D3","Endothelial"
7.57073027215363e-23,-0.661135334811405,0.675,0.755,1.57357628706713e-18,"mt-Nd2","D3","Endothelial"
7.87263061211676e-23,2.34776492540131,0.263,0.034,1.63632627272847e-18,"Man1a","D3","Endothelial"
9.27370062982173e-23,1.10236492677539,0.499,0.162,1.92753867590845e-18,"Nav1","D3","Endothelial"
2.36554298496655e-22,1.01066494400342,0.572,0.23,4.91678109425298e-18,"Insr","D3","Endothelial"
2.3892960814482e-22,-0.666831598972472,0.697,0.785,4.96615190529008e-18,"Slco1a4","D3","Endothelial"
2.44388286734189e-22,1.45239927232467,0.372,0.094,5.07961053977012e-18,"Srgap1","D3","Endothelial"
2.60142163596741e-22,1.08138126100923,0.526,0.189,5.40705487035827e-18,"Stard13","D3","Endothelial"
6.77413378994935e-22,0.815489928143821,0.679,0.3,1.40800370824097e-17,"Fli1","D3","Endothelial"
1.05405769551797e-21,0.860276406882249,0.612,0.247,2.19085892013409e-17,"Exoc6b","D3","Endothelial"
1.11613765724237e-21,0.846518118776074,0.73,0.357,2.31989212057827e-17,"Adgrl3","D3","Endothelial"
1.80006090017567e-21,1.41420428314712,0.39,0.111,3.74142658101514e-17,"Lrrc8c","D3","Endothelial"
2.62426513460369e-21,1.40188620176415,0.345,0.081,5.45453508227377e-17,"Grk5","D3","Endothelial"
3.21711202106066e-21,1.03917880505564,0.534,0.206,6.68676733577459e-17,"Pkp4","D3","Endothelial"
3.57438911652962e-21,1.41781055569961,0.372,0.102,7.42936777870682e-17,"Cpne8","D3","Endothelial"
1.47209779498896e-20,0.935046464517784,0.572,0.234,3.05975526688456e-16,"Gnaq","D3","Endothelial"
1.5341655673885e-20,1.99157872350563,0.263,0.043,3.18876313181699e-16,"Tmem164","D3","Endothelial"
1.73416152517193e-20,1.5041366697775,0.381,0.113,3.60445473006985e-16,"Crim1","D3","Endothelial"
1.97819970834633e-20,1.1065046392097,0.49,0.183,4.11168809379785e-16,"Ptprk","D3","Endothelial"
2.7926611700898e-20,1.17852689127682,0.399,0.119,5.80454624203166e-16,"Ldlrad4","D3","Endothelial"
3.21296651363355e-20,1.50403345807611,0.325,0.079,6.67815089858733e-16,"Zswim6","D3","Endothelial"
3.3688894670005e-20,-1.04469492059239,0.488,0.634,7.00223675716054e-16,"Hsp90ab1","D3","Endothelial"
3.53694052848916e-20,1.22191313431078,0.376,0.104,7.35153088846471e-16,"Foxo1","D3","Endothelial"
3.8253105689247e-20,1.14075069980131,0.425,0.136,7.95090801750998e-16,"Mbd5","D3","Endothelial"
4.57092729432719e-20,1.0920250443377,0.446,0.151,9.50067238125907e-16,"Flnb","D3","Endothelial"
5.46853512203049e-20,4.98736484019158,0.187,0.011,1.13663502511404e-15,"Spp1","D3","Endothelial"
8.43468865631209e-20,0.848408425322334,0.604,0.262,1.75315003721447e-15,"Maml2","D3","Endothelial"
9.86507784829109e-20,1.00268106067778,0.495,0.189,2.0504564307673e-15,"Arhgap26","D3","Endothelial"
1.13037087348173e-19,1.64697758735962,0.296,0.062,2.34947586053177e-15,"Stat3","D3","Endothelial"
1.51025879981411e-19,0.924691823210001,0.554,0.226,3.13907291541362e-15,"Fbxl17","D3","Endothelial"
1.67502160955619e-19,1.19104428165713,0.361,0.102,3.48153241546254e-15,"Chst11","D3","Endothelial"
1.95363944716003e-19,0.825671524932965,0.632,0.274,4.06063959092213e-15,"Rbms1","D3","Endothelial"
2.08427213932932e-19,-0.363560375959597,0.849,0.868,4.332159641596e-15,"mt-Co3","D3","Endothelial"
2.22202098590848e-19,0.945064736189343,0.526,0.211,4.61847061921078e-15,"Wwtr1","D3","Endothelial"
2.37569287136347e-19,1.34156285384051,0.374,0.115,4.93787763312898e-15,"Acer2","D3","Endothelial"
2.73305949887047e-19,1.02849907090273,0.485,0.183,5.68066416840228e-15,"Nxn","D3","Endothelial"
2.88142939093889e-19,1.05605767852191,0.465,0.17,5.98905098906649e-15,"Fbxl7","D3","Endothelial"
5.02917762907008e-19,1.07685662992329,0.428,0.145,1.04531457020222e-14,"Unc13b","D3","Endothelial"
5.53885520927428e-19,1.23840553113255,0.396,0.13,1.15125105524766e-14,"Gmds","D3","Endothelial"
5.90874670519242e-19,1.42344719600148,0.356,0.104,1.22813300267424e-14,"Ext1","D3","Endothelial"
1.06920496572712e-18,1.00687716644135,0.45,0.16,2.22234252126382e-14,"Pan3","D3","Endothelial"
1.27049404739923e-18,1.30867224399848,0.363,0.106,2.64072187751929e-14,"Ghr","D3","Endothelial"
1.41875339959006e-18,1.28753851587786,0.35,0.1,2.94887894104794e-14,"Ptpn12","D3","Endothelial"
1.66417581266891e-18,2.98652485581829,0.201,0.021,3.45898942663233e-14,"Gm5127","D3","Endothelial"
2.55649067096141e-18,1.55658956726537,0.332,0.096,5.31366585959329e-14,"Cdh2","D3","Endothelial"
2.96706012248261e-18,1.92509704835212,0.25,0.047,6.16703446458011e-14,"Chd7","D3","Endothelial"
4.72712099992779e-18,1.33328247635694,0.341,0.098,9.82532099834992e-14,"Dcun1d3","D3","Endothelial"
7.3733055192161e-18,0.717211905348297,0.708,0.349,1.53254155216907e-13,"Prex2","D3","Endothelial"
8.03424335136717e-18,3.18318212576786,0.194,0.021,1.66991748058167e-13,"Wbp1l","D3","Endothelial"
8.86550305455866e-18,1.54444538647754,0.292,0.072,1.84269480989002e-13,"Fndc3b","D3","Endothelial"
1.33105128150906e-17,1.90635277721889,0.238,0.043,2.76659008861659e-13,"Tspan14","D3","Endothelial"
1.76332398711005e-17,1.12937385645478,0.385,0.126,3.66506890720824e-13,"Btbd9","D3","Endothelial"
2.23645967015986e-17,1.20580257300462,0.343,0.102,4.64848142442727e-13,"Ppard","D3","Endothelial"
2.31966236069671e-17,2.79131232582419,0.196,0.023,4.82141821670811e-13,"Sbno2","D3","Endothelial"
2.32661607520417e-17,-1.06365395991803,0.463,0.581,4.83587151231187e-13,"Rpl13","D3","Endothelial"
2.50736877813381e-17,1.06893198329126,0.394,0.136,5.21156600535112e-13,"Vti1a","D3","Endothelial"
3.58119373455519e-17,0.971934148929603,0.459,0.181,7.44351117727296e-13,"Adgrl2","D3","Endothelial"
3.99333233655207e-17,1.03076644538144,0.417,0.153,8.30014126152348e-13,"Myo1e","D3","Endothelial"
4.69176364354321e-17,0.884382616570174,0.503,0.206,9.75183073310456e-13,"Fmnl2","D3","Endothelial"
5.02223893689877e-17,1.09536115298307,0.399,0.143,1.04387236303441e-12,"Lims1","D3","Endothelial"
5.75716902373318e-17,1.15810898279019,0.348,0.111,1.19662758158294e-12,"Entpd1","D3","Endothelial"
6.39254721904448e-17,1.2178925577671,0.341,0.104,1.32869093947839e-12,"Shroom2","D3","Endothelial"
6.62008699807544e-17,2.61470716236519,0.18,0.017,1.37598508254998e-12,"Litaf","D3","Endothelial"
7.19177747771117e-17,-0.217038765195762,1,1,1.49481094874227e-12,"Gm42418","D3","Endothelial"
7.69741942779443e-17,-1.0197259326884,0.497,0.609,1.59990862806707e-12,"Rundc3b","D3","Endothelial"
8.77151089506695e-17,-1.73708065511987,0.192,0.391,1.82315853953967e-12,"Pcp4","D3","Endothelial"
9.79548364257768e-17,0.811994540227149,0.525,0.226,2.03599127510977e-12,"Rbfox2","D3","Endothelial"
9.98942287351123e-17,1.87640300014013,0.254,0.057,2.07630154425931e-12,"Cdh13","D3","Endothelial"
1.02980039195871e-16,0.781989767039033,0.497,0.204,2.14044011468618e-12,"Zfand3","D3","Endothelial"
1.11226576851859e-16,0.80292136874816,0.564,0.247,2.31184439986589e-12,"Rere","D3","Endothelial"
1.33811656011625e-16,1.11188574561013,0.377,0.13,2.78127527020162e-12,"Tanc1","D3","Endothelial"
1.35912193468647e-16,0.94490222241783,0.474,0.196,2.82493494124584e-12,"Rbpms","D3","Endothelial"
1.43251529588242e-16,0.832436505967348,0.548,0.245,2.97748304249162e-12,"Myh9","D3","Endothelial"
1.49469363001033e-16,1.36206762276521,0.296,0.081,3.10672070997647e-12,"Hif1a","D3","Endothelial"
1.6650146762211e-16,1.55250923923492,0.256,0.057,3.46073300452555e-12,"Fgd6","D3","Endothelial"
1.96768194008257e-16,1.62999227619941,0.252,0.055,4.08982691246162e-12,"4930578G10Rik","D3","Endothelial"
2.63498676681646e-16,1.48874069775306,0.261,0.06,5.476819994828e-12,"Nrp2","D3","Endothelial"
2.66290392635012e-16,0.723540121354119,0.646,0.326,5.53484581091871e-12,"Arl15","D3","Endothelial"
2.80356079209939e-16,-1.13744441495562,0.421,0.557,5.82720110637859e-12,"Pltp","D3","Endothelial"
3.07691148825578e-16,1.14072109061267,0.372,0.13,6.39536052833963e-12,"Lpp","D3","Endothelial"
3.08889348562628e-16,0.808343939097665,0.55,0.249,6.42026510987422e-12,"Zeb1","D3","Endothelial"
3.26680130836792e-16,1.06835586989409,0.396,0.145,6.79004651944273e-12,"Stk3","D3","Endothelial"
3.34924887743266e-16,0.865554055472612,0.421,0.155,6.96141379174378e-12,"Ssh2","D3","Endothelial"
4.32232905206032e-16,1.23142337244898,0.27,0.066,8.98396093470737e-12,"Creb3l2","D3","Endothelial"
4.79835962399519e-16,0.698423071624661,0.592,0.272,9.97339047847399e-12,"Pitpnc1","D3","Endothelial"
4.84937670659215e-16,1.20206871477302,0.299,0.083,1.00794294846518e-11,"Dyrk1a","D3","Endothelial"
4.91985684768642e-16,3.04002098938178,0.158,0.011,1.02259224579162e-11,"Gfap","D3","Endothelial"
5.72022900003928e-16,0.796220957417686,0.468,0.183,1.18894959765816e-11,"Jmjd1c","D3","Endothelial"
6.2398548685393e-16,1.94954314761963,0.211,0.036,1.29695383442589e-11,"Tmem252","D3","Endothelial"
6.86248887375799e-16,1.0232269233374,0.412,0.157,1.4263683124106e-11,"Slco2b1","D3","Endothelial"
6.97288516542667e-16,0.954714560517454,0.45,0.183,1.44931418163393e-11,"Ppfibp1","D3","Endothelial"
