"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","timepoint","cell_type"
4.02799375061639e-21,-0.314315096119257,1,1,8.37218501065616e-17,"Malat1","D3","Pericyte"
1.56352528370188e-17,-1.46966427735465,0.346,0.693,3.24978730217436e-13,"Calm1","D3","Pericyte"
4.35388571170532e-14,-1.65641981775589,0.252,0.583,9.04955145177952e-10,"Vtn","D3","Pericyte"
5.03241932188167e-12,3.31666796231211,0.245,0.018,1.0459883560531e-07,"Arhgap24","D3","Pericyte"
5.05703748669171e-12,2.04596960844879,0.39,0.088,1.05110524160887e-07,"Setbp1","D3","Pericyte"
1.33963582203064e-11,1.92606179185116,0.371,0.079,2.78443305609069e-07,"Fam172a","D3","Pericyte"
1.3626249857644e-11,1.77858358932196,0.409,0.096,2.8322160329113e-07,"Lpp","D3","Pericyte"
1.98007938494594e-11,1.75203782324051,0.409,0.096,4.11559500161015e-07,"Gjc1","D3","Pericyte"
6.79091314973188e-11,-1.94320094530062,0.145,0.439,1.41149129817177e-06,"Fth1","D3","Pericyte"
1.54021327664952e-10,4.68805425159049,0.182,0.004,3.20133329551602e-06,"Il1r1","D3","Pericyte"
2.8009061977213e-10,1.03002288842124,0.736,0.32,5.82168353196371e-06,"Rbms3","D3","Pericyte"
5.34140065165817e-10,1.88630346597528,0.327,0.07,1.11021012544715e-05,"Etv6","D3","Pericyte"
7.70385427661917e-10,2.13289744042464,0.296,0.057,1.60124611139529e-05,"Cfh","D3","Pericyte"
2.59015207769076e-09,1.95287931748928,0.296,0.061,5.38363109348024e-05,"Gab2","D3","Pericyte"
2.64106151887028e-09,-0.20222279315538,1,0.987,5.48944636697187e-05,"Cmss1","D3","Pericyte"
3.44413819307369e-09,1.92093830344984,0.283,0.057,7.15864123430367e-05,"Gm26917","D3","Pericyte"
4.3035068231159e-09,1.96223595984412,0.296,0.066,8.9448389318464e-05,"Btbd9","D3","Pericyte"
1.0955161875318e-08,-2.74596115525817,0.063,0.289,0.000227703039578486,"Camk2n1","D3","Pericyte"
1.34143195486039e-08,-0.997699178627359,0.403,0.592,0.000278816631817731,"mt-Atp6","D3","Pericyte"
2.02423866232762e-08,1.37019291566324,0.365,0.105,0.000420738005964795,"Pik3r1","D3","Pericyte"
4.25614632659748e-08,2.2249251947435,0.208,0.031,0.000884640013983287,"Rerg","D3","Pericyte"
9.17498344934802e-08,8.76045258498419,0.119,0,0.00190702030994699,"Gfap","D3","Pericyte"
1.22036849238888e-07,3.20768554652576,0.145,0.009,0.00253653591143028,"Samd5","D3","Pericyte"
1.2448583299389e-07,1.97174894063979,0.201,0.031,0.00258743803877799,"Rftn1","D3","Pericyte"
1.366986984351e-07,-1.4470061035064,0.17,0.408,0.00284128244697355,"Pcp4","D3","Pericyte"
1.70167158074375e-07,1.48280190698227,0.308,0.088,0.00353692438057588,"Ldlrad4","D3","Pericyte"
2.39737360817822e-07,-1.884633301654,0.119,0.329,0.00498294104459844,"Hsp90aa1","D3","Pericyte"
2.42387269810421e-07,1.15730751221463,0.421,0.158,0.00503801940300959,"Cp","D3","Pericyte"
2.45892593918664e-07,1.97529598388295,0.226,0.048,0.00511087756459943,"Trpc6","D3","Pericyte"
2.56892654730637e-07,3.92592149380202,0.126,0.004,0.00533951382857628,"Spp1","D3","Pericyte"
2.85863143610929e-07,-0.840471970592529,0.44,0.618,0.00594166543995316,"mt-Co3","D3","Pericyte"
3.92750836707989e-07,1.13405891980995,0.421,0.162,0.00816332614097555,"Ttc28","D3","Pericyte"
4.15188901243942e-07,0.889918185531748,0.591,0.263,0.00862970131235533,"Rbms1","D3","Pericyte"
4.65435158113216e-07,1.45350333929127,0.283,0.079,0.0096740697613832,"Syne2","D3","Pericyte"
4.6558888946206e-07,8.34216343747934,0.107,0,0.00967726506746891,"Piezo2","D3","Pericyte"
7.11172014627616e-07,-1.56614501590895,0.17,0.373,0.014781710324035,"Ubb","D3","Pericyte"
8.08367095658643e-07,-1.01700815345754,0.333,0.513,0.0168019100832649,"Tmsb4x","D3","Pericyte"
9.73944470128609e-07,1.83558622892611,0.208,0.044,0.0202434358116231,"Hipk1","D3","Pericyte"
9.96132457730992e-07,1.41866609025261,0.245,0.061,0.0207046131339387,"Nrip1","D3","Pericyte"
1.06962771826077e-06,1.02814308550268,0.421,0.167,0.0222322121240502,"Pde3a","D3","Pericyte"
1.08453370773318e-06,1.61506688277814,0.233,0.057,0.0225420331152342,"Tcf7l2","D3","Pericyte"
1.1764438055912e-06,1.6188490274196,0.226,0.053,0.0244523844992131,"Osmr","D3","Pericyte"
1.37197054341595e-06,1.35129043238303,0.245,0.061,0.0285164077449005,"Fndc3b","D3","Pericyte"
1.52125534136055e-06,2.19476250011957,0.176,0.031,0.031619292270179,"Prrx1","D3","Pericyte"
1.60567412427521e-06,-3.69546582390122,0.019,0.171,0.0333739366730602,"Ptgds","D3","Pericyte"
1.71594372887085e-06,1.97198880721527,0.176,0.031,0.0356658904045806,"Hdac8","D3","Pericyte"
1.7323653899276e-06,2.16026995557642,0.182,0.035,0.0360072146296451,"Nhs","D3","Pericyte"
1.73481080981262e-06,2.5780380177311,0.145,0.018,0.0360580426819553,"Vim","D3","Pericyte"
1.99533582143462e-06,-1.48317354753576,0.195,0.382,0.0414730550485185,"Cst3","D3","Pericyte"
2.12497298240832e-06,-3.25697488248217,0.019,0.171,0.044167563439357,"Atp5g1","D3","Pericyte"
2.2872360351804e-06,1.18828003834486,0.314,0.105,0.0475402009912246,"Phf21a","D3","Pericyte"
2.32256382984517e-06,1.43010430897878,0.245,0.066,0.0482744892033319,"Mrtfb","D3","Pericyte"
2.38663581819086e-06,0.794937160767895,0.623,0.311,0.0496062254810971,"Lars2","D3","Pericyte"
2.49645260600234e-06,2.56288110811691,0.151,0.022,0.0518887674157586,"Sik2","D3","Pericyte"
2.66622604842827e-06,3.05266403268504,0.119,0.009,0.0554175084165816,"Bmp1","D3","Pericyte"
2.69566261068218e-06,1.71732131690696,0.214,0.053,0.0560293473630292,"Zfp532","D3","Pericyte"
2.84592995877035e-06,-0.355731399989617,0.704,0.759,0.0591526541930418,"Grm7","D3","Pericyte"
3.60830852650894e-06,0.961204335882609,0.447,0.193,0.0749986927234883,"Rapgef2","D3","Pericyte"
3.87328460072506e-06,0.988733312537757,0.321,0.105,0.0805062204260704,"Agap1","D3","Pericyte"
4.17684494696396e-06,-0.59355750972493,0.547,0.649,0.086815722222646,"Ptn","D3","Pericyte"
4.51427643210969e-06,1.28127019687579,0.277,0.088,0.0938292356413998,"Zswim6","D3","Pericyte"
5.08659913819055e-06,2.09530836562646,0.157,0.026,0.10572496308729,"Msn","D3","Pericyte"
5.45436842683907e-06,2.3989672948059,0.126,0.013,0.11336904775185,"Tns3","D3","Pericyte"
5.57776025528281e-06,1.34122253245755,0.245,0.07,0.115933746906053,"Babam2","D3","Pericyte"
5.64134507125784e-06,-0.302033910477807,0.748,0.772,0.117255357306094,"Atp1a2","D3","Pericyte"
5.66644363633556e-06,0.935361600153465,0.484,0.219,0.117777030981235,"Zeb2","D3","Pericyte"
5.75343279720655e-06,0.915695184516248,0.327,0.114,0.119585100689938,"Ubr5","D3","Pericyte"
5.86055858199146e-06,0.706893610126996,0.698,0.377,0.121811710126692,"Sox5","D3","Pericyte"
5.89742072508832e-06,1.22107409102952,0.296,0.101,0.122577889770961,"Picalm","D3","Pericyte"
5.93124898155705e-06,4.18459167652066,0.101,0.004,0.123281010081663,"Pign","D3","Pericyte"
6.07900154363351e-06,4.19312976966034,0.101,0.004,0.126352047084423,"Sbno2","D3","Pericyte"
6.50143804236907e-06,1.19867962170969,0.296,0.101,0.135132389710641,"Ptprm","D3","Pericyte"
6.99828773012698e-06,2.08287666981349,0.17,0.035,0.145459410470689,"Pak2","D3","Pericyte"
7.04291036764015e-06,-1.99861420162175,0.057,0.224,0.146386891991401,"Rpl26","D3","Pericyte"
7.57676845345524e-06,0.991138067761538,0.377,0.149,0.157483132305067,"Stard13","D3","Pericyte"
7.86238334979095e-06,1.62010479411384,0.214,0.057,0.163419637925405,"Rhoj","D3","Pericyte"
8.77866017803484e-06,1.31138581607406,0.245,0.075,0.182464451800454,"Arid5b","D3","Pericyte"
8.93818238744879e-06,-0.130344349552055,1,1,0.185780120923123,"Gm42418","D3","Pericyte"
9.70910531794817e-06,0.935963082803318,0.39,0.158,0.201803754033553,"Gmds","D3","Pericyte"
1.07266067245319e-05,0.752403599885917,0.585,0.285,0.222952520769396,"Lhfp","D3","Pericyte"
1.13426745489521e-05,-3.48498421441244,0.031,0.171,0.235757490499969,"Cox5a","D3","Pericyte"
1.17921792982621e-05,0.953226384140805,0.403,0.171,0.245100446714377,"Cacna2d1","D3","Pericyte"
1.22230272065647e-05,0.788366644786158,0.447,0.189,0.254055620488447,"Stk39","D3","Pericyte"
1.24807959538358e-05,1.16410787797185,0.283,0.096,0.259413343900477,"Bicc1","D3","Pericyte"
1.26493032623524e-05,1.48926093631448,0.239,0.075,0.262915768307995,"Rian","D3","Pericyte"
1.30098615642362e-05,1.8698884727028,0.157,0.031,0.270409972612649,"Ncoa3","D3","Pericyte"
1.35763229616601e-05,3.03004806049886,0.107,0.009,0.282183872758105,"Litaf","D3","Pericyte"
1.40742101368456e-05,1.19669201107199,0.283,0.101,0.292532457694337,"Nktr","D3","Pericyte"
1.53373664621258e-05,1.88884719038774,0.164,0.035,0.318787161915285,"Nrp1","D3","Pericyte"
1.60407897484206e-05,-1.13036688482095,0.283,0.439,0.333407814920923,"Calm2","D3","Pericyte"
1.7193749986027e-05,-1.6047609510642,0.138,0.307,0.357372093459572,"Cox4i1","D3","Pericyte"
1.75451008610788e-05,0.782652044840831,0.572,0.276,0.364674921397523,"Morrbid","D3","Pericyte"
1.84896323498163e-05,0.905614167990049,0.34,0.132,0.384307008390931,"2610307P16Rik","D3","Pericyte"
1.86685002788068e-05,1.33842263277315,0.208,0.057,0.388024778294999,"Parva","D3","Pericyte"
1.87233630443624e-05,-2.41707570914555,0.05,0.197,0.389165100877072,"Ndufa4","D3","Pericyte"
1.89207850286585e-05,-1.41362560371895,0.201,0.36,0.393268516820667,"Hspa8","D3","Pericyte"
1.89917381485803e-05,2.03972206465951,0.145,0.026,0.394743277418241,"Kat2b","D3","Pericyte"
1.91767318574861e-05,-1.86977967100043,0.094,0.254,0.398588371657848,"Cox6c","D3","Pericyte"
1.93700492701932e-05,1.32226550037768,0.208,0.057,0.402606474080966,"Ghr","D3","Pericyte"
1.96462383226615e-05,0.847415659681863,0.478,0.228,0.408347063536519,"Psd3","D3","Pericyte"
1.97736199380834e-05,1.64349146009116,0.189,0.048,0.410994690413064,"Ppard","D3","Pericyte"
1.99362054685753e-05,3.14762242743478,0.113,0.013,0.414374030664337,"Pawr","D3","Pericyte"
2.06312930801525e-05,1.5856919042117,0.164,0.035,0.42882142667097,"E130307A14Rik","D3","Pericyte"
2.19150757101222e-05,2.87171406782914,0.113,0.013,0.455504848634889,"P3h2","D3","Pericyte"
2.2251163633071e-05,1.17095953198219,0.289,0.105,0.462490436113381,"Akap13","D3","Pericyte"
2.35324528221681e-05,-1.43036305937888,0.176,0.342,0.489122031908764,"Gm15261","D3","Pericyte"
2.35957651897425e-05,1.64790943603819,0.17,0.039,0.490437979468798,"Rai1","D3","Pericyte"
2.38013547999656e-05,1.0835069328264,0.289,0.105,0.494711159517286,"Map4k4","D3","Pericyte"
2.41165105332075e-05,-1.93599372616936,0.075,0.232,0.501261671432717,"Slc25a4","D3","Pericyte"
2.45880283622423e-05,2.52657895179692,0.113,0.013,0.511062169509205,"Eif2s3y","D3","Pericyte"
2.57322448364062e-05,1.14262912699197,0.245,0.079,0.534844708924703,"Spred1","D3","Pericyte"
2.66017878228072e-05,0.996699369921429,0.358,0.154,0.552918159897049,"Ndst3","D3","Pericyte"
2.77921751416714e-05,1.16856399214205,0.226,0.07,0.57766036031964,"Gbf1","D3","Pericyte"
2.81764553907033e-05,-2.45342974205852,0.05,0.193,0.585647625295768,"Chchd2","D3","Pericyte"
3.16250584917896e-05,1.25849643615344,0.239,0.079,0.657326840751846,"Rabgap1l","D3","Pericyte"
3.20814067921013e-05,1.30078461174997,0.245,0.083,0.666812040173825,"Col4a1","D3","Pericyte"
3.21119885518363e-05,1.68481946129204,0.151,0.031,0.667447682049918,"Serpine2","D3","Pericyte"
3.2437738068478e-05,1.04740370627226,0.258,0.088,0.674218385753315,"Mkln1","D3","Pericyte"
3.28241522912749e-05,0.968526250674624,0.289,0.105,0.68225000537415,"Pde5a","D3","Pericyte"
3.42252014896838e-05,1.30715075376483,0.201,0.057,0.711370812963077,"Ewsr1","D3","Pericyte"
3.54746880420008e-05,2.49375513790607,0.119,0.018,0.737341390952987,"Peli1","D3","Pericyte"
3.54804670640578e-05,-1.72395014486836,0.126,0.281,0.737461507926442,"Eif1","D3","Pericyte"
3.60763136411615e-05,1.53913565463211,0.157,0.035,0.749846179031541,"Snx29","D3","Pericyte"
3.63338460924609e-05,0.783472798065965,0.39,0.162,0.755198991031799,"Ednra","D3","Pericyte"
3.77747642577973e-05,1.45200253968194,0.176,0.044,0.785148475098317,"Dennd1b","D3","Pericyte"
3.84671312695265e-05,-1.88128775985884,0.075,0.228,0.799539323437109,"Atp6v0c","D3","Pericyte"
3.89710779287441e-05,1.04291213170733,0.289,0.11,0.810013854748947,"Dock1","D3","Pericyte"
4.30539075619335e-05,0.991441655854041,0.34,0.14,0.894875468674787,"B3galt1","D3","Pericyte"
4.42413567145787e-05,0.689616578382841,0.629,0.346,0.919556599312518,"Zeb1","D3","Pericyte"
4.63673592240068e-05,2.41819583496061,0.126,0.022,0.963745561470981,"Mcu","D3","Pericyte"
4.690887903103e-05,-0.799927298892822,0.358,0.518,0.975001050659959,"mt-Co2","D3","Pericyte"
4.76799096811752e-05,2.37031672461499,0.126,0.022,0.991026922723227,"Sept9","D3","Pericyte"
4.93405176836131e-05,1.76753723639099,0.145,0.031,1,"Fut8","D3","Pericyte"
5.38553404768318e-05,1.02298855422513,0.289,0.11,1,"Trps1","D3","Pericyte"
5.42438157152012e-05,2.13117649128513,0.107,0.013,1,"Reps1","D3","Pericyte"
5.60151369708714e-05,1.05726393630707,0.252,0.088,1,"Trak1","D3","Pericyte"
5.60907122335518e-05,-1.02712871064307,0.252,0.408,1,"Nrgn","D3","Pericyte"
5.87834461307566e-05,1.8850333897142,0.151,0.035,1,"Zfp608","D3","Pericyte"
6.20431416631578e-05,0.89557539225805,0.34,0.145,1,"Exoc4","D3","Pericyte"
6.25568197771381e-05,1.61810181507752,0.145,0.031,1,"Ints6l","D3","Pericyte"
6.43214070612085e-05,1.81912968705759,0.151,0.035,1,"Ophn1","D3","Pericyte"
6.48868337962089e-05,1.38748849766684,0.201,0.061,1,"Pum2","D3","Pericyte"
6.73452113616862e-05,0.773085725243984,0.44,0.211,1,"Hivep2","D3","Pericyte"
7.08478896147502e-05,0.676247288184267,0.434,0.197,1,"Myh9","D3","Pericyte"
7.14876022349165e-05,0.921620139666788,0.346,0.149,1,"Sdc2","D3","Pericyte"
7.36192660305516e-05,1.3298047810713,0.208,0.066,1,"Mdm4","D3","Pericyte"
7.45355394542162e-05,-2.71401993496586,0.025,0.145,1,"Map1a","D3","Pericyte"
7.81321598646296e-05,1.47262358390811,0.176,0.048,1,"Sh3bgrl","D3","Pericyte"
7.85686347518396e-05,0.825369153786912,0.327,0.132,1,"Nbeal1","D3","Pericyte"
7.9294642375298e-05,1.3280780339452,0.176,0.048,1,"Herc4","D3","Pericyte"
8.02068105708593e-05,1.17995877125378,0.214,0.07,1,"Col4a2","D3","Pericyte"
8.10311282861335e-05,1.85207513850762,0.132,0.026,1,"Cast","D3","Pericyte"
8.3177492024009e-05,1.92466231909094,0.132,0.026,1,"Gli3","D3","Pericyte"
8.53775086359571e-05,1.83675723362732,0.132,0.026,1,"Ints6","D3","Pericyte"
9.64615441732753e-05,0.709950593969628,0.409,0.184,1,"Pard3b","D3","Pericyte"
0.000101522310934757,1.72796014334209,0.138,0.031,1,"Fnip2","D3","Pericyte"
0.000101758796973427,0.956991579449836,0.314,0.136,1,"Crebbp","D3","Pericyte"
0.000102371544932616,1.8318023597717,0.138,0.031,1,"Usp7","D3","Pericyte"
0.000102518403330787,1.65856515140748,0.17,0.048,1,"Ptpn12","D3","Pericyte"
0.000105850494864585,1.09471380778177,0.226,0.079,1,"Brd4","D3","Pericyte"
0.000109601587772519,1.08251484016653,0.22,0.075,1,"Kcnq1ot1","D3","Pericyte"
0.000109818591017737,1.9679438970602,0.119,0.022,1,"Washc4","D3","Pericyte"
0.00011104054008921,0.751114287460314,0.428,0.206,1,"Ano1","D3","Pericyte"
0.000113021462594463,0.577806853797332,0.459,0.206,1,"Lims1","D3","Pericyte"
0.000119604526124059,1.67857197075568,0.145,0.035,1,"Trf","D3","Pericyte"
