"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
6.06800308779942e-10,8.57236354131702,0.157,0,1.6117223001504e-05,"Ccl2"
9.39170147215269e-11,8.50956887797088,0.17,0,2.49452982801847e-06,"Timp1"
2.65699195019912e-09,8.33282055338116,0.147,0,7.0572363189239e-05,"Cxcl1"
3.95976963731549e-10,8.17040478290039,0.16,0,1.05175441336737e-05,"Emp1"
5.97744603063844e-07,7.65222280899556,0.107,0,0.0158766944019788,"Hmox1"
1.96942989654018e-64,7.04370288603611,0.693,0.043,5.23100274820038e-60,"mt-Atp8"
5.6577686525083e-26,6.60087808922696,0.372,0.005,1.50275993179273e-21,"Lcn2"
1.52443285435222e-39,6.26572998890733,0.506,0.01,4.04904610444492e-35,"Spp1"
4.87650599966362e-10,6.19623586404972,0.166,0.005,1.29524875857065e-05,"Prg4"
4.10381017485997e-46,6.10749314983319,0.564,0.019,1.09001302054456e-41,"S100a6"
1.69352596258633e-16,5.9586258949783,0.265,0.01,4.49817430922555e-12,"Gfap"
1.7053161954319e-74,5.94704914482092,0.776,0.12,4.52949034668667e-70,"mt-Nd5"
5.9284921051448e-105,5.50899324068006,0.908,0.12,1.57466678804751e-100,"Mt2"
1.20760257816742e-30,5.113838779656,0.437,0.019,3.20751320787048e-26,"Igfbp3"
3.29253646663306e-34,4.82701150368496,0.484,0.038,8.74530610902406e-30,"Hba-a1"
3.27818668867316e-09,4.81727579375176,0.154,0.005,8.70719166378478e-05,"Serpina3n"
2.46292279735207e-08,4.80718643116492,0.139,0.005,0.000654176924204682,"Lgals3"
2.92572308447914e-11,4.77379308293394,0.193,0.01,7.77101308468506e-07,"Lrg1"
2.28128643228356e-115,4.64675837590946,0.97,0.273,6.05932489278836e-111,"Ctla2a"
1.18790711577032e-45,4.62324702654183,0.611,0.105,3.15520009019756e-41,"mt-Nd4l"
1.88848190378352e-07,4.5838143408995,0.138,0.014,0.0050159967846394,"Ednrb"
7.14915135604789e-07,4.50998326669973,0.115,0.005,0.0189888609167988,"Pdlim1"
3.69905295706568e-115,4.42053406813054,0.974,0.426,9.82505455926216e-111,"Mt1"
3.12884203045985e-10,4.33073882787814,0.19,0.019,8.31051731710441e-06,"Lgals1"
2.66279297635173e-81,4.14079299306361,0.932,0.565,7.07264442448784e-77,"Lars2"
1.89991377963103e-20,4.1132667281827,0.349,0.038,5.04636099007799e-16,"S100a11"
1.00010322673582e-06,4.08575483455392,0.12,0.01,0.0265637418053302,"Fos"
5.62561547026044e-07,4.05032460880826,0.124,0.01,0.0149421972505588,"Socs3"
2.06954337984413e-80,4.0374570840752,0.897,0.373,5.496914171204e-76,"mt-Nd2"
2.75015463480848e-88,3.91116055777587,0.999,1,7.30468572551481e-84,"Gm42418"
7.43280429498557e-10,3.82645018494585,0.197,0.029,1.97422714879112e-05,"Sdc4"
2.73112918491147e-08,3.82405454741554,0.154,0.014,0.000725415222804334,"Cebpb"
1.60366448974279e-50,3.74238332539686,0.685,0.163,4.25949325120582e-46,"Gm19951"
9.51960602988043e-89,3.6714484045011,0.97,0.785,2.52850255759654e-84,"Camk1d"
4.85060132228346e-65,3.6521888731168,0.806,0.282,1.28836821721171e-60,"mt-Nd1"
2.46717439423379e-07,3.64697605364096,0.163,0.033,0.00655306190852437,"mt-Nd6"
4.74252371464736e-30,3.61438988626211,0.501,0.105,1.25966172384749e-25,"mt-Nd3"
1.54311062357042e-50,3.59719891395161,0.654,0.086,4.0986561272654e-46,"Hbb-bs"
3.6927318381088e-10,3.57254985170999,0.191,0.019,9.80826503520077e-06,"S100a10"
3.62411701301014e-85,3.52422200713166,0.978,0.861,9.62601719825624e-81,"Cmss1"
4.52957346291144e-12,3.51765003193561,0.227,0.024,1.20310000748391e-07,"Odc1"
3.39952830628726e-13,3.41391899625327,0.244,0.024,9.02948713432959e-09,"Ccn2"
1.61296074817052e-74,3.41066376431934,0.879,0.397,4.28418504321571e-70,"Cdk8"
1.48039943920327e-64,3.36826302743508,0.844,0.373,3.9320889504678e-60,"mt-Nd4"
5.4036061647796e-19,3.35959384349837,0.368,0.072,1.43525183342711e-14,"Esd"
5.46229219694916e-22,3.34424292554056,0.399,0.067,1.45083943043167e-17,"Hba-a2"
9.01915680623761e-88,3.31939405380787,0.94,0.459,2.39557823930477e-83,"Fth1"
9.1354118385229e-74,3.31421559454541,0.93,0.512,2.42645673843007e-69,"mt-Co1"
