"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
8.08381269378194e-24,10.1071964659772,0.313,0,2.14714148959542e-19,"Tnc"
1.78919928541793e-15,9.14457950353153,0.213,0,4.75229222199856e-11,"Hmga2"
3.33683027372751e-13,8.53364383062921,0.183,0,8.86295489004763e-09,"Serpine1"
3.93441164898224e-13,8.38844773895222,0.182,0,1.04501907808617e-08,"8030451A03Rik"
1.38999035438632e-11,8.10196646008673,0.161,0,3.69195338028551e-07,"Cxcl1"
1.50546471295473e-15,7.67247412102734,0.214,0,3.99866482407906e-11,"Cd44"
3.22775235420344e-10,7.58633637285803,0.141,0,8.57323302799975e-06,"Il6"
1.63014793431409e-11,7.29987838461464,0.16,0,4.32983592833165e-07,"Lcn2"
7.33097521321972e-12,7.16993279183007,0.165,0,1.94718032638329e-07,"Serpina3n"
1.95406657127441e-14,7.13734933542263,0.2,0,5.19019621996197e-10,"Socs3"
5.786621625589e-11,7.10138160027556,0.152,0,1.53698456997269e-06,"Lrg1"
5.99132639480449e-10,6.77930282776909,0.138,0,1.59135620372402e-05,"Sphk1"
3.60438216593435e-11,6.7496546271899,0.155,0,9.57359947093824e-07,"Elf4"
4.9429976359018e-11,6.71425956572703,0.153,0,1.31290960207188e-06,"Timp1"
2.02513018313032e-10,6.70754005308358,0.144,0,5.37894827941244e-06,"Pabpc1l"
5.08389332335422e-09,6.61777418018781,0.124,0,0.000135033290561611,"Jaml"
1.81407855450264e-07,6.37054898812066,0.101,0,0.00481837404861446,"Zwilch"
7.50498769974587e-13,6.26193409816962,0.185,0.004,1.9933997829295e-08,"Il11"
4.1460566857945e-08,6.24381289713772,0.11,0,0.00110123411631388,"Mms22l"
1.0979769656147e-36,5.77873146498474,0.464,0.02,2.91633661836922e-32,"Itga5"
1.81905098794878e-08,5.48011051799466,0.123,0.004,0.000483158132909075,"Zc3h12a"
5.00672707314521e-11,5.34728598722761,0.167,0.008,1.3298367778981e-06,"Poln"
3.14564751256351e-10,5.185889542556,0.149,0.004,8.35515435811994e-06,"Tead3"
2.1183028740243e-14,5.15748106133918,0.207,0.004,5.62642426369595e-10,"Ngf"
5.74384904040563e-07,5.07078530425582,0.101,0.004,0.0152562374362214,"Sh2d4b"
4.20940124581069e-07,5.05385893519178,0.109,0.008,0.0111805906489978,"Glipr2"
1.35652520949176e-20,4.82173998601042,0.301,0.016,3.60306660893106e-16,"Plaur"
6.92074604686982e-07,4.79274935311714,0.1,0.004,0.0183821935750909,"Ch25h"
2.54415743606221e-07,4.45863055905392,0.107,0.004,0.00675753656592482,"Hhipl1"
1.81102257137524e-42,4.42981454874455,0.532,0.028,4.81025705182977e-38,"Bmp1"
1.84098505325557e-17,4.39047310617115,0.275,0.024,4.88984039995213e-13,"Adamts12"
6.06995617100973e-09,4.3780127647607,0.144,0.012,0.000161224105858189,"Capg"
2.87105857719601e-08,4.35065425692919,0.128,0.008,0.000762581868689033,"Itgb3"
4.84002718599658e-24,4.30386688247995,0.349,0.02,1.28555962087255e-19,"Piezo2"
3.20992259988516e-21,4.22678663744117,0.316,0.02,8.52587541755498e-17,"Slc39a14"
9.56720288593031e-29,4.21569022120044,0.398,0.02,2.54114475853195e-24,"Col5a3"
1.42032910566719e-36,4.20960878067266,0.482,0.032,3.77253613756263e-32,"Runx1"
1.53587013441803e-06,4.18254056101032,0.102,0.008,0.0407942466402774,"Tyrobp"
9.78265197528587e-08,4.10355970981405,0.12,0.008,0.00259837019115568,"Tbxas1"
4.7884349188087e-07,4.09647973996256,0.109,0.008,0.0127185619878478,"Dbt"
2.4944158740669e-40,4.06802452814529,0.59,0.116,6.6254180031091e-36,"Ctla2a"
1.67111003517221e-31,4.06421970235933,0.439,0.032,4.43863536442091e-27,"Sbno2"
1.06077992031611e-19,4.04815183561365,0.326,0.04,2.81753754635161e-15,"Adamts6"
2.9652726482406e-11,4.04470679238515,0.172,0.008,7.87606068099186e-07,"Ccl2"
6.01166678355437e-09,4.02775358053006,0.139,0.008,0.000159675881437988,"Tubb6"
1.72254171226985e-06,4.0221595467552,0.108,0.012,0.0457524304195995,"Nectin2"
1.73200022007471e-12,4.00087541649529,0.201,0.016,4.60036578454044e-08,"Fgf2"
4.70808696121276e-20,3.99241496362126,0.292,0.012,1.25051497776772e-15,"Adamts4"
3.34750012303007e-12,3.95874698978266,0.192,0.012,8.89129507678017e-08,"Pycard"
4.84590032742543e-08,3.95394427157414,0.125,0.008,0.00128711958596747,"Fam111a"
2.56131126084964e-10,3.93717945821991,0.165,0.012,6.80309883994273e-06,"Mta1"
6.87891816037274e-34,3.91548499105644,0.472,0.044,1.8271094525766e-29,"S100a6"
3.78366024443475e-27,3.88990257102902,0.409,0.044,1.00497799752431e-22,"Trpc6"
4.05078580136594e-08,3.88773129230675,0.119,0.004,0.00107592921670081,"Loxl1"
4.70806615441848e-08,3.84303085689592,0.118,0.004,0.00125050945127509,"Timeless"
5.14012532000641e-17,3.84010502230165,0.248,0.008,1.3652686862469e-12,"Il17ra"
1.73364298792838e-12,3.83113142342384,0.239,0.044,4.60472914023657e-08,"Igfbp3"
1.44480752656075e-07,3.76004347340417,0.118,0.008,0.00383755327129801,"Mtbp"
1.95227461660643e-07,3.71236584790024,0.129,0.016,0.00518543660916833,"Ctss"
5.36532583750689e-16,3.70039544640881,0.249,0.016,1.42508419570021e-11,"Gfap"
5.98541720680559e-14,3.63702784117655,0.25,0.036,1.58978666429963e-09,"Fbln2"
9.56167832601609e-51,3.62950925755148,0.632,0.056,2.53967738017313e-46,"Spp1"
8.94027489719852e-11,3.61990541933466,0.172,0.012,2.3746264154449e-06,"Pxdc1"
1.57448007154836e-07,3.61501631425159,0.124,0.012,0.00418197651803961,"Lmnb1"
3.26374399257454e-10,3.57922919720012,0.15,0.004,8.66883041867725e-06,"Slc41a2"
2.56187319409658e-25,3.54913782729899,0.39,0.04,6.80459139083993e-21,"Ednrb"
1.11323741974836e-14,3.54265118545564,0.236,0.02,2.95686991059363e-10,"Casp8"
1.27917328211507e-09,3.5086701852682,0.149,0.008,3.39761215462585e-05,"Ndor1"
5.6251987232633e-17,3.50180730405033,0.266,0.02,1.49410903288597e-12,"Map2k3"
1.95013715505712e-17,3.47156444585202,0.303,0.044,5.17975929754721e-13,"Zfp52"
1.26292885761939e-06,3.46844592430779,0.11,0.012,0.0335446533872286,"Taf8"
2.20370859688879e-08,3.45419630116728,0.131,0.008,0.000585327040419632,"Gm22146"
9.67008594048335e-50,3.45075559926288,0.647,0.092,2.56847152665178e-45,"Fkbp5"
3.41011252009369e-30,3.44098438149823,0.477,0.072,9.05759986462084e-26,"Adamts9"
4.99401537848295e-46,3.42879569900058,0.657,0.137,1.32646042467886e-41,"Mt2"
1.32610808407809e-07,3.42370374865092,0.144,0.024,0.00352227568211983,"Adamts2"
1.29108175364973e-09,3.40452343521495,0.218,0.056,3.42924224586904e-05,"Ccn2"
1.8580066606582e-09,3.3136039385525,0.146,0.008,4.93505149137424e-05,"Gm48293"
5.23336021572328e-21,3.30886297297139,0.318,0.02,1.39003280689826e-16,"Tspan4"
7.05846251793333e-10,3.30205652875881,0.16,0.012,1.87479822938827e-05,"Nmnat3"
6.82224709556199e-11,3.291102303751,0.179,0.016,1.81205705105222e-06,"Zyx"
2.58911146287445e-11,3.28612517090354,0.18,0.012,6.87693895654082e-07,"Spred3"
1.75007866400551e-09,3.26986089271076,0.161,0.016,4.64838393946504e-05,"Tgif1"
1.83937998934397e-06,3.26351425963475,0.102,0.008,0.0488557718969653,"Hells"
7.80539621844733e-09,3.22884698187489,0.157,0.02,0.00020731912895818,"1700109H08Rik"
1.20375129003354e-14,3.17463170295545,0.266,0.04,3.19728380145808e-10,"Spsb1"
1.75031650817479e-09,3.17044435796528,0.23,0.068,4.64901567736306e-05,"Vwf"
5.53841006136887e-18,3.15889926356765,0.362,0.08,1.47105709640019e-13,"Cdh6"
4.26379730308828e-09,3.12942737693122,0.155,0.016,0.000113250720167328,"C1qc"
9.24018875991454e-15,3.12241593962505,0.236,0.016,2.4542865365209e-10,"Cfap69"
7.70845863102162e-12,3.10967424859916,0.224,0.036,2.04744369698565e-07,"Map3k6"
6.6463089767577e-12,3.10509199697913,0.19,0.012,1.76532612731661e-07,"Slc6a20b"
8.0151220485485e-17,3.08406637164801,0.284,0.032,2.12889656731497e-12,"Cdc14b"
4.44731165414569e-17,3.07795569531605,0.352,0.088,1.18125044845764e-12,"Adamts1"
7.36000912987703e-17,3.07247126410869,0.281,0.028,1.95489202498664e-12,"Irak3"
5.11837957565714e-09,3.06172439060018,0.14,0.008,0.000135949279909029,"0610040J01Rik"
1.8360941088507e-29,3.06053822700932,0.484,0.084,4.87684956251833e-25,"Mcam"
1.02506024307963e-29,3.05074493246524,0.462,0.06,2.7226625116438e-25,"Sept9"
8.01329994541933e-21,3.0448052498207,0.375,0.068,2.12841259850283e-16,"Col18a1"
3.41731565324647e-37,3.04250018585523,0.562,0.092,9.07673210658794e-33,"Il1r1"
2.3207088396028e-09,3.03334609101104,0.16,0.016,6.16403474886899e-05,"Ttc38"
3.30458076358744e-10,3.02106736347171,0.171,0.016,8.77729696616461e-06,"Il4ra"
3.64550264613931e-23,3.00951655051053,0.395,0.06,9.68281957841061e-19,"Plin2"
8.85224786906985e-18,3.0044708301864,0.32,0.052,2.35124555650364e-13,"Por"
4.2909054492876e-07,2.99621718015232,0.125,0.016,0.0113970739638528,"AI506816"
6.93873412822454e-14,2.96569409458437,0.244,0.028,1.84299717179772e-09,"Odc1"
1.62420612935862e-11,2.95876890240295,0.24,0.052,4.31405390018944e-07,"Myof"
4.0148471849e-09,2.9485653901321,0.142,0.008,0.000106638356078129,"Cndp2"
1.83195100911554e-08,2.94728039536562,0.133,0.008,0.00048658450753118,"Nox4"
1.55710438405816e-09,2.8889106399852,0.162,0.016,4.13582495449687e-05,"Cyp1b1"
1.58796526593626e-07,2.88677513968709,0.139,0.02,0.00421779454285329,"Trib1"
5.1851592198767e-10,2.86842724109708,0.17,0.016,1.37723014039145e-05,"Ifi204"
8.43056135440407e-12,2.86039136391922,0.213,0.028,2.23924140134327e-07,"E2f3"
1.52833651171543e-21,2.8507463817617,0.335,0.028,4.05941460876736e-17,"Mir22hg"
7.17767550641574e-21,2.83448533952428,0.331,0.028,1.90646239125908e-16,"Sema4c"
1.07447864843887e-06,2.82802783441274,0.132,0.024,0.028539227381185,"Rad51b"
2.31469941025386e-08,2.81954554546264,0.152,0.02,0.000614807310357529,"Ptges"
4.45896667184611e-20,2.80355272005949,0.35,0.048,1.18434613770905e-15,"Traf3"
6.70440915235718e-25,2.80124265912441,0.422,0.064,1.78075811495759e-20,"Rasa3"
6.22959657027409e-28,2.80090982180397,0.443,0.06,1.6546431450305e-23,"Lamb1"
3.66393946360552e-17,2.78182686688362,0.287,0.028,9.73178960928261e-13,"Per2"
7.06903253501896e-13,2.76984965819351,0.216,0.02,1.87760573162639e-08,"H6pd"
4.13470392365496e-12,2.766355349541,0.21,0.024,1.09821870916199e-07,"Aebp1"
4.42081262544348e-55,2.76363588167032,0.815,0.313,1.17421204144404e-50,"Morrbid"
3.39452861020213e-07,2.76293436438017,0.113,0.008,0.00901620744155789,"Nlrc3"
1.40788772510287e-09,2.75261617815905,0.182,0.028,3.73949058664574e-05,"Slc35f5"
5.97165161908686e-13,2.74687291125493,0.258,0.048,1.58613038654566e-08,"Ust"
1.33131840157368e-09,2.73714854927031,0.215,0.052,3.53611480641986e-05,"Angpt2"
9.21263739259469e-08,2.72868915902481,0.136,0.016,0.00244696861784708,"Pola2"
9.31833367306231e-07,2.72440556844667,0.12,0.016,0.0247504260690208,"Fgd1"
4.62183526300737e-19,2.72136208999704,0.344,0.06,1.22760566420739e-14,"1600020E01Rik"
1.40549947317864e-14,2.71206414939767,0.287,0.052,3.73314715070979e-10,"Fhl2"
6.61319588182906e-20,2.70158293762646,0.406,0.1,1.75653095817262e-15,"Prrx1"
1.19189267268051e-11,2.69266677322612,0.202,0.02,3.16578612790669e-07,"Stc1"
2.80675164306498e-20,2.64762187311674,0.366,0.056,7.45501303914489e-16,"Rdh10"
1.17465553368861e-15,2.64164156158631,0.34,0.088,3.12000256303032e-11,"Tmem252"
4.48230538315704e-08,2.64068574997878,0.14,0.016,0.00119054513282034,"Nid2"
1.17732426110634e-17,2.61909947827461,0.36,0.076,3.12709096992456e-13,"Csgalnact1"
2.30798170125995e-07,2.61440598259829,0.136,0.02,0.00613023019671654,"Mthfr"
3.55202705360654e-07,2.61088070982548,0.127,0.016,0.00943453905708432,"Col7a1"
5.36335529222414e-10,2.61017536375819,0.164,0.012,1.42456079916765e-05,"Il1rl2"
7.61131453186055e-12,2.6084645349797,0.201,0.02,2.02164125280748e-07,"Pgm2"
4.14677147685128e-08,2.59893091943147,0.147,0.02,0.00110142397196647,"Fam102b"
1.19487574458288e-07,2.59625626151656,0.141,0.02,0.00317370946518658,"Ppara"
1.03073965358049e-50,2.59357891615134,0.84,0.406,2.73774759387515e-46,"Mt1"
1.28880888361639e-06,2.58582565339038,0.105,0.008,0.0342320527577348,"Cdk2"
1.69017258838633e-16,2.58404726440533,0.279,0.028,4.48926741201293e-12,"Rad18"
7.30333283454223e-17,2.57128712500712,0.309,0.048,1.93983823418276e-12,"Atp8b1"
7.58300542393828e-10,2.56076924717893,0.199,0.036,2.01412207065225e-05,"Slc12a4"
3.19616869021859e-17,2.5590735309245,0.317,0.052,8.48934365808961e-13,"Birc3"
1.22175354478101e-06,2.54812289545771,0.105,0.008,0.0324509959029285,"Gm43660"
2.12147118910824e-07,2.5406028390249,0.109,0.004,0.0056348396253904,"Helb"
1.0257006197625e-10,2.52222705779324,0.193,0.024,2.72436341615117e-06,"Tlr4"
4.33968009692988e-16,2.52176412697219,0.289,0.04,1.15266243054554e-11,"Tspan14"
9.83919835873347e-13,2.50656844762929,0.254,0.044,2.6133894760632e-08,"Glis3"
7.47706692019099e-07,2.48501194165026,0.128,0.02,0.0198598374467193,"Tmem19"
4.27098328148227e-16,2.48363760162953,0.286,0.036,1.1344158693945e-11,"Ell"
1.65000409649945e-14,2.47430906510227,0.297,0.06,4.38257588071219e-10,"Adam19"
5.72397853303434e-08,2.47282423825337,0.14,0.016,0.00152034593815925,"Fkbp10"
2.63675648246478e-11,2.46116137476663,0.208,0.028,7.0034888930747e-07,"Rttn"
1.73379793519135e-08,2.44741127188473,0.176,0.036,0.000460514069566173,"Vwa5a"
3.97643309039428e-07,2.44718212786552,0.133,0.02,0.0105618039313962,"Tuba1c"
8.96029293488229e-08,2.42811496556961,0.129,0.012,0.00237994340643408,"Itpkc"
3.42563359802186e-08,2.42760616875452,0.168,0.032,0.000909882539970587,"C1qa"
5.2525854095256e-25,2.41537148825512,0.532,0.165,1.39513921062409e-20,"Cfh"
2.88395150145198e-16,2.40644931796738,0.297,0.044,7.66006358300661e-12,"Nectin1"
1.24357103551906e-09,2.40532156225487,0.191,0.032,3.30304902744218e-05,"Ifngr2"
1.6742857163715e-10,2.39988146357716,0.199,0.028,4.44707029125433e-06,"Coq8b"
1.7832626457523e-09,2.39312953825979,0.174,0.024,4.73652391338267e-05,"Polr3c"
2.6748004597599e-52,2.38678463548899,0.844,0.378,7.10453750116826e-48,"Rhoj"
5.73939311449706e-08,2.37911183791202,0.165,0.032,0.00152444020514156,"Nln"
3.76879297395312e-48,2.36548682402872,0.758,0.241,1.00102910181169e-43,"Gab2"
2.64739826947115e-32,2.35850058946926,0.577,0.133,7.03175454354231e-28,"Gm26917"
5.74416355389089e-08,2.3553269430809,0.133,0.012,0.00152570728154896,"Zgrf1"
2.81375220333286e-07,2.322375422132,0.129,0.016,0.00747360722727242,"Zfp217"
5.29269249442155e-19,2.31514077224743,0.379,0.08,1.40579205344331e-14,"Fam129b"
2.17823691616788e-12,2.30915819192821,0.238,0.04,5.7856150730335e-08,"Tram2"
3.43086994714047e-07,2.29999835518168,0.146,0.028,0.00911273366659981,"Prkcd"
5.42588816494714e-33,2.29412038478306,0.588,0.145,1.44117015549161e-28,"Srgap1"
1.67949603613243e-09,2.28754295704253,0.195,0.036,4.46090942157136e-05,"Prim2"
1.81779840028579e-18,2.28269674099474,0.341,0.052,4.82825433099908e-14,"Dbn1"
4.0046242130119e-09,2.27772551479263,0.204,0.048,0.000106366823721809,"Larp1b"
1.02001099176106e-11,2.27116438613558,0.225,0.036,2.70925119521656e-07,"Fosl2"
2.34355868137946e-07,2.26149885527684,0.137,0.02,0.00622472621361198,"Ddx19b"
3.15004553803705e-10,2.25309393724038,0.18,0.02,8.3668359535802e-06,"Cdr2l"
1.47852567727164e-07,2.24739918324861,0.159,0.032,0.00392711205140119,"Mapk12"
3.27202822106755e-10,2.24640787147718,0.216,0.044,8.69083415797752e-06,"Tnfrsf1a"
2.89913367558461e-12,2.24517738973615,0.242,0.04,7.70038895572027e-08,"Clmp"
4.51918406774445e-14,2.23865553090688,0.307,0.072,1.2003404802336e-09,"Tgfb1"
2.84486146358114e-07,2.23512530971498,0.225,0.084,0.00755623653341786,"mt-Atp8"
1.14166135891192e-12,2.23435579718351,0.236,0.032,3.03236673540594e-08,"Gm13684"
3.13839698324256e-12,2.23017180962777,0.255,0.052,8.33589622719056e-08,"Pola1"
1.04547287802709e-19,2.22174574125902,0.428,0.112,2.77688051132775e-15,"Tln2"
1.68376002715874e-14,2.21787437126966,0.307,0.068,4.47223500813634e-10,"Rlim"
1.06978964378365e-10,2.21270106048502,0.219,0.04,2.84146827285376e-06,"Pawr"
9.56482242946593e-11,2.21192493346227,0.217,0.04,2.54051248549044e-06,"B4galt1"
2.57053014299729e-20,2.20457903711317,0.349,0.044,6.82758511281509e-16,"Mthfd1l"
2.05800199509639e-09,2.1990204860728,0.215,0.052,5.46625909917552e-05,"Plekha3"
5.55234329316448e-11,2.19580832093294,0.231,0.044,1.47475790209742e-06,"Col23a1"
2.26578288443774e-13,2.19545706108495,0.23,0.024,6.01814591935509e-09,"Fblim1"
4.04406346471752e-12,2.18847507967103,0.221,0.028,1.07414369686362e-07,"9630014M24Rik"
1.05654786439272e-12,2.17985536474543,0.257,0.044,2.8062967826135e-08,"Gm49708"
4.34647057758208e-15,2.17805612739939,0.288,0.044,1.15446605011158e-10,"Ralb"
2.55294993838563e-09,2.17698390867712,0.188,0.032,6.78089033134608e-05,"Cry1"
8.90473846163708e-18,2.17078266255255,0.391,0.104,2.36518758279542e-13,"Anxa2"
2.46756148842753e-07,2.1629301337062,0.124,0.012,0.00655409006941235,"Lcp2"
6.62836344860446e-07,2.16125255237907,0.123,0.016,0.0176055961558383,"Bcl3"
9.92651011849563e-13,2.16089640281999,0.301,0.08,2.63658035257363e-08,"Lgals1"
5.60799928877779e-10,2.1584442693554,0.203,0.036,1.48954069109227e-05,"Ripk1"
1.85729228081234e-08,2.15110617364162,0.175,0.032,0.000493315402706566,"Col4a4"
1.0018744715604e-12,2.14442121887963,0.287,0.068,2.66107878391157e-08,"Tead4"
2.64759165595918e-07,2.13959525698674,0.203,0.064,0.00703226819739318,"Col8a1"
5.53053822034512e-07,2.13748806554577,0.149,0.032,0.0146896625670587,"Tcirg1"
1.73140170296727e-10,2.13558737415874,0.208,0.036,4.59877606325136e-06,"Qsox1"
1.71591933990772e-13,2.13233567699543,0.372,0.129,4.55765335872889e-09,"mt-Nd5"
6.90696996868849e-12,2.13009068471283,0.225,0.032,1.83456029338335e-07,"Pgs1"
4.55226040337648e-14,2.12651538048363,0.27,0.04,1.20912588574083e-09,"Ern1"
2.98703574276651e-18,2.1226463127715,0.352,0.06,7.93386563636213e-14,"Man1c1"
1.5183809649532e-06,2.12222939240955,0.124,0.02,0.0403297168101221,"Entpd7"
2.82058231680583e-10,2.11132809053652,0.195,0.028,7.49174869166797e-06,"Sdc4"
3.50383000940477e-12,2.10383138732887,0.247,0.044,9.30652288798001e-08,"Mapkapk2"
4.50143569268953e-27,2.0948498260578,0.51,0.108,1.19562633433527e-22,"Dcbld2"
2.84647404525474e-08,2.09432964815036,0.198,0.052,0.000756051971160113,"Ecscr"
1.18841270555579e-08,2.09304642505718,0.194,0.044,0.000315654298722674,"Stimate"
3.24799171238503e-16,2.09187573897168,0.35,0.084,8.62699078726587e-12,"Sipa1l2"
5.26206418021306e-13,2.08995667315175,0.222,0.02,1.39765686690639e-08,"Relb"
3.01772832574527e-08,2.08787174843724,0.157,0.024,0.000801538820601201,"Ciapin1"
8.01420704889802e-08,2.08591349916705,0.164,0.032,0.0021286535342578,"Utp20"
9.39710312717909e-09,2.08555068347933,0.166,0.024,0.000249596456161004,"Tbc1d2b"
2.69287187253933e-16,2.07825393458618,0.355,0.084,7.15253698065172e-12,"Tbl1xr1"
2.11312225366861e-15,2.07323258410679,0.347,0.088,5.61266401796920e-11,"Actn1"
3.8146188828183e-09,2.07292473370195,0.183,0.032,0.000101320092146537,"Ankrd16"
6.48973945991412e-10,2.06164704611623,0.201,0.036,1.72373969794779e-05,"Cd302"
4.95672373462125e-09,2.06109601283029,0.181,0.032,0.000131655539115275,"Gas2"
8.71758167722397e-24,2.0582085303193,0.475,0.112,2.31547686928746e-19,"Hif1a"
8.92526004890268e-19,2.05440216094322,0.433,0.129,2.37063832158904e-14,"Nhsl1"
6.3394467557189e-07,2.04929548278144,0.136,0.024,0.016838204527865,"Fig4"
1.76306696893928e-28,2.04897161940879,0.494,0.08,4.68288217619961e-24,"Ttc39b"
1.63134220402917e-09,2.0484957427215,0.217,0.052,4.33300802812188e-05,"Ucp2"
2.05529709420063e-08,2.04768866701855,0.16,0.024,0.000545907461190628,"Ppp1r18"
7.29996774056689e-11,2.03746169371182,0.221,0.04,1.93894443157197e-06,"Pxdn"
6.56323921278827e-34,2.03072064122046,0.715,0.265,1.74326196730869e-29,"Fmnl2"
4.8566536398432e-07,2.01680841603969,0.169,0.044,0.0128997577327875,"Suclg2"
5.04611555159092e-08,2.00383999325913,0.135,0.012,0.00134029875165806,"Gm14009"
1.56989992398009e-09,1.99502427059265,0.183,0.028,4.1698111880835e-05,"A730049H05Rik"
3.2757547221225e-11,1.99364756362157,0.245,0.052,8.70073211742956e-07,"Oasl2"
9.50639371200153e-09,1.98525914368546,0.189,0.04,0.000252499323384473,"Ldlrap1"
4.46234891400966e-32,1.97704488418566,0.618,0.157,1.18524449505011e-27,"Fstl1"
4.10783830074126e-07,1.97640125988903,0.14,0.024,0.0109108293105989,"Cog2"
1.35070652640576e-18,1.9730829080346,0.359,0.064,3.58761160478633e-14,"Gsr"
1.07824224016228e-10,1.9726156165149,0.236,0.052,2.86391921409503e-06,"Efl1"
5.08995533887532e-31,1.97241629534404,0.556,0.108,1.35194303755867e-26,"Itgav"
2.04950870197211e-08,1.97065794047489,0.14,0.012,0.000544370006330813,"Antxr2"
5.97179297263812e-09,1.97043688996999,0.169,0.024,0.000158616793146241,"Zfp36l2"
8.29224243380536e-36,1.96308073692391,0.634,0.153,2.20250251284304e-31,"Stat3"
1.7400271109005e-08,1.96063140230339,0.163,0.024,0.000462168600926282,"Smyd2"
5.00278066150769e-12,1.956521619884,0.258,0.052,1.32878857150306e-07,"Ldlr"
6.03398414660096e-21,1.95285716453436,0.433,0.096,1.60268652917868e-16,"Pros1"
4.28116493143244e-11,1.94961295389862,0.226,0.04,1.13712021743777e-06,"Mical1"
7.86307526240742e-08,1.94684285845207,0.137,0.016,0.00208851142044803,"Angptl4"
2.26120261092039e-08,1.94419535330266,0.162,0.024,0.000600598025486564,"Smim3"
5.46621232530139e-13,1.94093948069188,0.253,0.04,1.4518806557233e-08,"Apaf1"
9.69578168830259e-14,1.93369830900985,0.266,0.04,2.57529657423005e-09,"Zfp618"
8.1675916084827e-16,1.93097266681411,0.318,0.056,2.16939400712909e-11,"Sec24d"
5.26951650017525e-22,1.93047853392144,0.436,0.092,1.39963627761155e-17,"Ddr2"
2.11667213050268e-14,1.92722478703317,0.298,0.056,5.62209284582817e-10,"Ampd3"
7.12256175406029e-11,1.91176239306714,0.223,0.04,1.89182362749595e-06,"Mvp"
5.03501017608777e-11,1.9102596303804,0.246,0.056,1.33734905287067e-06,"Mamld1"
1.13573837892166e-19,1.90855901722814,0.392,0.072,3.01663470825383e-15,"Ptk7"
4.69531954439424e-11,1.90765670790116,0.264,0.068,1.24712382418655e-06,"Sec16a"
2.49378464964766e-09,1.90614600200167,0.197,0.036,6.62374140792916e-05,"Loxl3"
2.37120367300434e-23,1.89477093593689,0.494,0.124,6.29815407586683e-19,"Ctsb"
8.97391028698190e-11,1.89130828905661,0.254,0.06,2.38356031132526e-06,"Vps50"
4.76211834947695e-33,1.88974466623933,0.651,0.169,1.26486625480457e-28,"Cblb"
6.23368576999682e-09,1.88936464262661,0.188,0.036,0.000165572927736886,"5730455P16Rik"
3.42740048043919e-32,1.87949241337895,0.667,0.205,9.10351841609453e-28,"Osmr"
3.57406656162672e-08,1.87921825286196,0.177,0.036,0.000949307819433674,"Ehbp1l1"
1.77098679997395e-12,1.87048450150418,0.324,0.1,4.70391803941081e-08,"Col5a2"
4.2927942061264e-09,1.86854046730183,0.203,0.044,0.000114020906908923,"Mmp14"
8.68826938312389e-15,1.86756480309863,0.342,0.088,2.30769123085154e-10,"Myo9b"
7.58908250345796e-20,1.8669794243294,0.411,0.096,2.01573620374347e-15,"Uhrf1bp1l"
7.34524335901955e-08,1.86568515119462,0.172,0.036,0.00195097008858918,"Uap1"
7.33253365292834e-07,1.86344003983786,0.137,0.024,0.019475942635543,"Zfp408"
1.06119633120751e-27,1.85554116918379,0.57,0.169,2.81864357532026e-23,"Msn"
3.545226861666e-08,1.84729128306173,0.193,0.048,0.000941647706727105,"Cd248"
6.77001024149265e-20,1.84659885607823,0.469,0.137,1.79818242024286e-15,"Ctsd"
1.93470129742145e-12,1.84638557312152,0.255,0.044,5.13876011608112e-08,"Vac14"
