"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.15842065745085e-198,1.76342246551707,0.67,0.462,2.64316841410559e-194,"Cdk8"
3.64293364392786e-18,1.48075513357706,0.107,0.056,8.3120816953502e-14,"Isg15"
1.89205758473919e-202,1.21471236587579,0.949,0.918,4.3171077910994e-198,"Cmss1"
1.78501361888527e-21,1.087603107164,0.345,0.262,4.07286557421052e-17,"Vim"
2.80878741149402e-10,0.945362327685058,0.131,0.09,6.40881023680591e-06,"Rgs16"
4.93235443083979e-23,0.919309480636694,0.495,0.412,1.12541531048471e-18,"Lgals1"
1.19790612337134e-08,0.806559224033317,0.115,0.079,0.000273326240169639,"Gm26917"
1.45989306828811e-41,0.712775910611762,0.416,0.283,3.33103801391298e-37,"Hexb"
2.06250291750498e-15,0.697367300461173,0.187,0.127,4.70601290687112e-11,"Col5a3"
4.91183048790873e-78,0.6630191901542,0.728,0.601,1.12073236242614e-73,"Camk1d"
7.26983527673668e-18,0.641933458693136,0.242,0.168,1.65875831509301e-13,"Gm20594"
9.78299120685312e-10,0.604393164547024,0.106,0.068,2.23218510366768e-05,"Xaf1"
9.90968949440077e-10,0.593373590324824,0.18,0.133,2.26109385193742e-05,"Serping1"
1.28641037291142e-41,0.577747632036118,0.673,0.561,2.93520254787198e-37,"Lars2"
1.68336807951546e-14,0.561652685944536,0.585,0.529,3.84094094703042e-10,"S100a11"
2.78081149818058e-19,0.547621959312942,0.501,0.422,6.34497759539864e-15,"Meg3"
2.79726935357877e-07,0.531979661451953,0.1,0.069,0.00638252948406069,"H2-T23"
2.09069379186924e-10,0.528204120726963,0.144,0.098,4.77033602490805e-06,"Cd9"
4.36696722921226e-09,0.509782988352434,0.104,0.068,9.96410912689362e-05,"Arntl"
1.36320159166515e-10,0.50118331735405,0.139,0.094,3.11041707170237e-06,"Lgals3bp"
