gene,Astrocyte__Sham,Astrocyte__Stroke,Endothelial__Sham,Endothelial__Stroke,Macrophage__Sham,Macrophage__Stroke,Microglia__Sham,Microglia__Stroke,NK_cell__Sham,NK_cell__Stroke,OPC__Sham,OPC__Stroke,Oligodendrocyte__Sham,Oligodendrocyte__Stroke,Pericyte__Sham,Pericyte__Stroke
Fcgr2b,0.096927494,0.29287305,0.052817307,0.12207139,1.645485,1.3065495,0.8855745,1.0587689,0.1584067,0.29689986,0.074147664,0.14544743,0.094811305,0.16804968,0.07667128,0.15564017
Macrod2,0.13112956,0.099065654,0.11816617,0.100575365,0.034336817,0.02798199,0.0134828165,0.014172796,0.019730685,0.037947673,0.04050318,0.03822795,0.22412358,0.12630363,0.056645125,0.036979195
Amigo2,0.070588544,0.12874661,0.014675944,0.01299651,0.0058474485,0.012574608,0.008927437,0.0133991055,0.010944506,0.019399168,0.02857765,0.030094428,0.016164219,0.016904315,0.40867808,0.24794064
Cd9,1.3967531,1.7171217,0.5380749,1.0061847,0.55220354,2.1669219,2.5045063,2.4871273,1.2020694,1.8847005,1.5828588,1.7813163,2.5084329,2.3763263,1.6245351,1.6228988
Serping1,0.036857154,0.12290705,0.015457867,0.02681936,0.019039996,0.028073268,0.015542791,0.032638103,0.0,0.051705632,0.2605853,0.19216979,0.0110767335,0.039909456,0.68043554,0.860936
Tyrobp,0.4971207,0.86662173,0.3517949,0.6343195,3.2033308,3.2603698,3.2511992,3.063355,2.4749227,3.0487401,0.4627545,0.6857201,0.42794332,0.66647613,0.42000455,0.6531572
Irg1,0.0036054566,0.011629147,0.00056914653,0.0076615615,0.0024788242,0.057868823,0.00023760059,0.0074775573,0.17987227,0.51522523,0.0016021307,0.006461436,0.0,0.012792522,0.00081431516,0.0101014115
Ccl17,0.0061274245,0.018668914,0.0033274128,0.014394882,0.057960782,0.1054095,0.003018765,0.016313426,0.027356468,0.04020885,0.005365318,0.017800707,0.001957355,0.019238843,0.0032673236,0.020659622
Vcan,0.038610157,0.04864147,0.0019474305,0.009596378,0.034540914,0.12259057,0.0016980266,0.00904198,0.0136881815,0.0066534057,0.0061077536,0.009563103,0.0019284331,0.0118747195,0.0007882805,0.005786884
Tnks2,0.13105096,0.121716864,0.13314013,0.1157124,0.19476962,0.09653004,0.12567751,0.07472872,0.104471736,0.07790674,0.09674068,0.07033993,0.18763804,0.18126114,0.120945,0.10718046
Ccl22,0.00081100507,0.007960591,0.00076490105,0.005012687,0.0101772975,0.0437239,0.0018324109,0.008739524,0.025148567,0.012172277,0.00080986397,0.0086187385,0.0017017216,0.009111676,0.0014924749,0.008286312
Socs2,0.064480424,0.08227529,0.38070485,0.35161373,0.035253398,0.13460511,0.038005516,0.050617598,0.12570308,0.10601608,0.0741291,0.07325887,0.030043436,0.061412867,0.06450324,0.089521304
Ifit3,0.36710793,0.2785773,1.251464,0.5122118,0.7972923,0.41681504,0.45605847,0.19838738,0.71864426,0.48111746,0.43471548,0.23463173,0.17595507,0.11807227,0.34646234,0.29828423
Aifm2,0.07131623,0.054843817,0.030950882,0.029238716,0.02486052,0.05184047,0.005867252,0.008533307,0.026002485,0.02888585,0.031669218,0.027128156,0.025975209,0.021500004,0.04263284,0.04349646
S100a10,0.26104572,0.468872,0.19217753,0.3165953,0.43770546,0.8670876,0.09756922,0.11810054,0.80418396,0.75553733,0.22517483,0.21048793,0.03650929,0.18488908,0.1569967,0.2537855
Hexb,1.1816343,1.3786119,0.92752916,1.0539784,1.7845123,2.3968265,4.731381,4.276475,1.0756963,1.1426859,1.066249,1.1019318,0.9805436,1.0964597,0.9880814,1.1083871
