"cell_type","condition","n_cells","mean_apoptosis","sd_apoptosis","mean_necroptosis","sd_necroptosis","mean_ferroptosis","sd_ferroptosis","dataset","n_apop_genes","n_necro_genes","n_ferro_genes"
"Astrocyte","MCAO",2351,0.0537290992148825,0.0546019088838113,0.112358873211301,0.078187957563594,0.226097563730744,0.0852527953457043,"GSE174574",157,54,59
"Astrocyte","Sham",1247,0.0120544821395489,0.0445678351910451,0.091537317533175,0.0702986974625882,0.200037848484227,0.0842595155295137,"GSE174574",157,54,59
"Endothelial","MCAO",11778,0.113328349259957,0.0501959461134171,0.182724439422858,0.0827306362000955,0.162792228588615,0.0792044827352146,"GSE174574",157,54,59
"Endothelial","Sham",14131,0.0872153797921965,0.0482421363472921,0.166491704668048,0.0813420660971851,0.15777672133951,0.0790138826147251,"GSE174574",157,54,59
"Fibroblast","MCAO",207,0.155260022871107,0.0593472268344872,0.149653719304543,0.0630483373654754,0.225074991446172,0.0947822208720792,"GSE174574",157,54,59
"Fibroblast","Sham",206,0.116765457920585,0.0587556905374622,0.136956747659952,0.0680272874607705,0.183998286123665,0.0930933836531023,"GSE174574",157,54,59
"Macrophage","MCAO",2863,0.136664069157567,0.0561443404876554,0.239339449462054,0.0886836157381694,0.158619618175433,0.0771087112492639,"GSE174574",157,54,59
"Macrophage","Sham",1141,0.0814422470821533,0.0445458117819396,0.173166320980647,0.0827286169274288,0.142978619020878,0.0730239386805428,"GSE174574",157,54,59
"Microglia","MCAO",10387,0.0933688960833743,0.0616900374029029,0.176360223309164,0.0842783427191197,0.136929535698891,0.0826573959221089,"GSE174574",157,54,59
"Microglia","Sham",8355,0.0556141258101287,0.0469010956650732,0.160552911197264,0.079156997874762,0.103281200184284,0.0710168384431737,"GSE174574",157,54,59
"Oligodendrocyte","MCAO",1063,0.0642613548564358,0.0422543065783302,0.137498597088609,0.0635243082767044,0.237099162485545,0.0674239204457922,"GSE174574",157,54,59
"Oligodendrocyte","Sham",544,0.0285017659978915,0.0325242471069186,0.141675605463986,0.0519833410117477,0.214385894069354,0.0582365377019896,"GSE174574",157,54,59
"Pericyte","MCAO",865,0.0990689471300262,0.0502691406521518,0.150269907845527,0.0825316567108384,0.141604098268117,0.077212109901531,"GSE174574",157,54,59
"Pericyte","Sham",321,0.0802509606616877,0.0465146345758909,0.1479538418931,0.0762579875117776,0.134819981073413,0.0738340093652316,"GSE174574",157,54,59
"SMC","MCAO",1603,0.101607092366212,0.0468814768266444,0.155875146388266,0.0740487067670603,0.121803063880554,0.0664779135084926,"GSE174574",157,54,59
"SMC","Sham",1270,0.0617244546484053,0.0419545880362331,0.144449338880945,0.0696470202468434,0.100740076348215,0.0610205178901321,"GSE174574",157,54,59
