"","Neuron-Stroke","Oligodendrocyte-Stroke","Pericyte-Stroke","Fibroblast-Stroke","Endothelial-Stroke","Microglia-Stroke","Astrocyte-Stroke","OPC-Stroke","Neuron-Sham","Astrocyte-Sham","OPC-Sham","Oligodendrocyte-Sham","Microglia-Sham","Fibroblast-Sham","Pericyte-Sham","Endothelial-Sham"
"Slc40a1",0.0379577432714477,0.0235324319829358,0.0615904575289957,0.103804678239673,2.09069151133784,0.661268941995762,0.0417743079991821,0.0118630140554388,0.0370111980466863,0.0251752998095703,0.0152570791609883,0.0176550681308902,1.3168316363633,0,0.0881666752275935,2.65683528777729
"Cflar",0.164535734013049,0.311969212417551,0.700562108197144,1.50010976103048,1.30788027910643,3.29872316502921,0.803923461061867,0.332538852730111,0.0953739990057354,0.64773484380345,0.223585710170195,0.226986178437972,3.01329853708077,1.20931015421484,0.456852028590887,0.745279522018871
"Casp8",0.0473697874079971,0.0403088790302382,0.406765947988439,0.436611576042885,0.755621012097091,1.84089064865151,0.0687399154533874,0.0801074580067154,0.0174894762379652,0.0596681119103735,0.0929390311799188,0.0301214641983243,2.23130116780819,0.0894097217642193,0.187286003088569,0.395285752655163
"Acsl3",0.805349727852424,1.61611424802521,1.16634138183634,1.10820683353038,1.30368147819253,0.706152007445651,7.69987626915057,1.440264783857,0.893414798659379,7.22007867055299,1.25747997648748,2.11712106706469,0.824179012426631,1.15728569186201,1.64758417046194,1.50226282210071
"Steap3",0.0244202258800647,0.13837282402624,0.0763683064392532,1.24965661241025,0.345431995189012,0.0847283841888515,0.465205025017312,0.11846823373036,0.0120391474939949,0.441834149561321,0.0832757725089715,0.00733710309246074,0.0152022308327222,1.18083940612225,0.0799973258968642,0.164456132070375
"Btg2",0.308307751913337,0.109295360095779,0.926856747091471,0.425253956594484,1.3060535073775,0.507385420078045,0.314551902895616,0.123289458450614,0.278562974266835,0.28958716434118,0.216500767771957,0.125064012231555,0.757672410787935,0.750927541855668,0.679278186170096,1.38061466807967
"Rnasel",0.127943565430933,0.0221109835498207,0.0697763877932349,0.144453310943051,0.0469358996427734,0.295606463285409,0.0291878758868475,0.0339016686088491,0.104282009981419,0.0394046528538925,0,0.0177896874361951,0.368999539967271,0.16195455756157,0,0.091631806533939
"Fasl",0.00637973431378984,0.00148240386965737,0,0,0,0,0,0,0.00657173865700137,0,0,0,0,0,0,0
"Pea15a",0.68269574263504,0.86325724186707,0.957673937129766,0.629170600976546,1.09458569776969,0.839609903869834,1.39377795938049,0.594729429032311,0.598985058744196,0.914360852698536,0.56050586115543,0.620304885453832,0.679343195045462,0.420330361617304,1.02180251155203,1.11792574404578
"Psen2",0.166790076366896,0.238630914695805,0.146858267478635,0.207013422874751,0.266718796016793,0.316616488370717,0.176160743852584,0.154614650637952,0.152283159859614,0.193473699471809,0.137285107792459,0.23531347684406,0.108868763459959,0.395073409020418,0.110746043768949,0.0978159313206573
"Tgfb2",0.15464251121577,0.0832004789673094,1.15671221982064,0.560340121413174,1.73791478531003,0.0615589568150949,0.84360477680639,0.426276116870541,0.126034174953505,0.856158557447994,0.343492254172934,0.0795228836104525,0.0184778941761836,0.448720580106165,0.862248514744332,1.86741940515501
"Atf3",0.0115062628848282,0.00639600616988013,0.060502625662279,0.0318544615526847,0.0672256189594877,0.288173939452105,0.0158146905551991,0.00466066756140437,0.00863204504296062,0.00397742174134479,0,0,0.0766706981040392,0.0564650592713862,0,0.0386145962280791
"Traf2",0.0661525000659284,0.133032567901974,0.201940902244997,0.184033585103325,0.173480096958473,0.282868373975395,0.139551632226574,0.117860021665251,0.0551030260894321,0.128129171405202,0.0554217563053001,0.103270118361368,0.20096743188858,0.128685475283493,0,0.218160527945128
