"cell_type","condition","n_cells","mean_apoptosis","sd_apoptosis","mean_necroptosis","sd_necroptosis","mean_ferroptosis","sd_ferroptosis","dataset"
"Astrocyte","Sham",1833,0.0128393769289944,0.0396842214263842,0.0378164499419474,0.0797275375654457,0.0820175118738313,0.085736230667352,"GSE197341"
"Astrocyte","Stroke",8063,0.0230373653810768,0.0452760968923029,0.0321472365806448,0.0824211762432407,0.098254077337192,0.0895485709139746,"GSE197341"
"Endothelial","Sham",470,0.0579147150456312,0.0590546863478645,0.0899485740531186,0.0917524606152381,0.0795365506925354,0.0861593643740308,"GSE197341"
"Endothelial","Stroke",2426,0.06731616102494,0.0576767274807849,0.0818906753728225,0.0976906248574011,0.0751042618438786,0.0910032930473988,"GSE197341"
"Fibroblast","Sham",378,0.0384077844916057,0.0529476710638427,0.0655124996965174,0.0915811918521794,0.0626531775665687,0.0851099042280887,"GSE197341"
"Fibroblast","Stroke",3151,0.035453520647756,0.0469915583847976,0.0557452436166266,0.0888686925080625,0.0580573470571146,0.0834474119436097,"GSE197341"
"Microglia","Sham",827,0.00915523951414998,0.0395704905219829,0.0750813374232197,0.0904634931146113,0.0338147005664477,0.0751580859905391,"GSE197341"
"Microglia","Stroke",8137,0.0166958528593352,0.0439117585940061,0.0701132689857049,0.0922018943988627,0.0407869893459388,0.0791587949880993,"GSE197341"
"Neuron","Sham",13068,-0.0183879854944073,0.0363036456321192,-0.0278760792669132,0.0754114449303117,-0.0226905396212805,0.0682569167646939,"GSE197341"
"Neuron","Stroke",53029,-0.0159194668732496,0.0370687489755449,-0.0352908353097432,0.0754396906350933,-0.0235243943197023,0.0690724661029032,"GSE197341"
"OPC","Sham",561,-0.00981227746153888,0.0377720155481091,0.0136753894081783,0.0806562318732873,-0.0164811727797233,0.0673067952846099,"GSE197341"
"OPC","Stroke",2976,-0.00568642779132135,0.0393976160478083,0.007529358361749,0.0797966060691343,-0.0132174639982292,0.0690732020372602,"GSE197341"
"Oligodendrocyte","Sham",1931,0.020421120780545,0.0398512539820639,0.0411447903786504,0.0855280363472266,0.0519670352498888,0.0703166905148632,"GSE197341"
"Oligodendrocyte","Stroke",8956,0.0220175398417302,0.039821949459181,0.0287173917419613,0.081123402049675,0.0505382041685088,0.0715210610141323,"GSE197341"
"Pericyte","Sham",228,0.0181634488960477,0.0407761856476374,0.028767702495016,0.0799321482515977,0.0340410070947336,0.0736400748582352,"GSE197341"
"Pericyte","Stroke",986,0.021589787161547,0.0413665294410082,0.0325978130636232,0.084759123722325,0.0266531315030609,0.0748995463618695,"GSE197341"
