"seurat_clusters","cell_type"
"21","Neuron"
"11","Oligodendrocyte"
"4","Macrophage"
"10","Neuron"
"8","Neuron"
"22","Pericyte"
"18","Endothelial"
"7","Astrocyte"
"6","Neuron"
"5","Neuron"
"23","Neuron"
"12","Neuron"
"1","Neuron"
"2","Neuron"
"14","OPC"
"19","Neuron"
"9","Neuron"
"26","Neuron"
"28","Neuron"
"32","Oligodendrocyte"
"29","Endothelial"
"15","Neuron"
"27","Oligodendrocyte"
"31","Neuron"
"30","Neuron"
"13","Oligodendrocyte"
"20","Macrophage"
"25","Oligodendrocyte"
"3","Oligodendrocyte"
"16","Neuron"
"17","Astrocyte"
"24","Macrophage"
"0","Endothelial"
