"","Astrocyte__Sham","Oligodendrocyte__Sham","Neuron__Sham","Microglia__Sham","Endothelial__Sham","Fibroblast__Sham","Neuron__MCAO_contra","Astrocyte__MCAO_contra","Oligodendrocyte__MCAO_contra","Microglia__MCAO_contra","Endothelial__MCAO_contra","Fibroblast__MCAO_contra","Fibroblast__MCAO_ipsi","Microglia__MCAO_ipsi","Neuron__MCAO_ipsi","Oligodendrocyte__MCAO_ipsi","Astrocyte__MCAO_ipsi","Endothelial__MCAO_ipsi"
"Add1",0.37785696949172,0.535892826614838,0.485373431491819,0.280554860658697,0.392399471466043,0.374879871386778,0.581073906854278,0.41150812649944,0.579447012062846,0.377215736508156,0.369247337240304,0.510462488811848,0.421768232795319,0.425560913374726,0.558348858358785,0.543339945236858,0.51943710565223,0.391763718595657
"Aifm3",0.372536144742243,0.0130829826557736,0.0563025994366133,0.0382779547945212,0.0380415188907206,0.211874173004733,0.0850795334933678,0.491785314274984,0.0098327012991297,0.0336463139248761,0.0494662512781826,0.223824362901309,0.199985848383097,0.0120466007847735,0.059158304010046,0.0174068650029773,0.220640890943205,0.0365256021635907
"Anxa1",0,0,0.00261944174516097,0,0,0.0699554519883908,0.00312522396093809,0.0190953036364899,0,0.00694695749626975,0.0454064871474111,0.0977822080558589,0.181957676534038,0.0652821273961354,0.00591297836576675,0.00393676884830261,0.100869119890477,0.12892577810239
"App",0.498802191587124,1.03521548657411,1.33639316367034,0.660784821815342,1.61030987005047,1.01082710172511,1.47870100257464,0.579824173746162,1.24009141580408,0.745850690869064,2.00341659826063,1.55205368320041,1.55685216888207,0.619532216417379,1.51335685669834,1.69754922164545,1.02356926125414,1.72706332791337
"Atf3",0,0,0.000166753246144393,0,0.218808843947822,0,0.000423540282879656,0.00953344012540954,0.000854542367720329,0.00794070950847851,0.232932555408457,0.0094157997079582,0.0157936620110589,0.0365392742505489,0.0075678391004819,0.0929812081271156,0.0267580527007502,0.0635855998519889
"Avpr1a",0,0,0.000610174612356583,0,0,0,0.000999422267920909,0.00319333368148093,0,0.0082013000857759,0,0,0,0,0.00124254385033949,0.000686298447500825,0,0.00276106388288558
"Bax",0.0174510397780892,0.0334277293425253,0.0602219818538501,0.0617865162309199,0.0223529814854023,0.0699678463560231,0.0793840920331692,0.0339056886114895,0.0388782583592938,0.0463703070183695,0.141799543975227,0.0468150571435198,0.0904995349432763,0.0834933839088047,0.075607152000875,0.064462077843335,0.0841167745165077,0.107744777261899
"Bcl10",0.0170445671733369,0.0184829673208375,0.0399773880089817,0.058605706630286,0.124572308639811,0.0344673280264053,0.0599351623881333,0.0411821942026552,0.0268163288064571,0.0320825065965049,0.0999251395900266,0.0359689583508131,0.0699758321212864,0.0749741790192952,0.0690998883304489,0.0475679228361331,0.0601114242454487,0.138213560462023
"Bcl2l1",0.162861188044197,0.519088168438932,0.185098752485618,0.0908121028731028,0.603456692659639,0.241176438377957,0.221594242203557,0.205170435230545,0.767456967102396,0.346493032849465,0.694685529600589,0.257251607307408,0.299334195633308,0.540148863914055,0.23957181247134,0.70346144712645,0.380677841356308,0.561441754377748
"Bcl2l10",0,0.00415939501214107,0.00721350817892123,0,0,0.0194384261206873,0.00663066958760752,0.012620650902164,0.000774005027821348,0,0,0.00839315494535357,0,0.00194976868869975,0.00766594967245321,0.000938845921784452,0.00694317149698207,0.0021250373762962
"Bcl2l11",0.00433793243430798,0.0116945163194327,0.0139523803254515,0,0.0849691749343992,0.0583934053126124,0.0200212741887306,0.0336948250142364,0.00831393520948157,0.0695433626245256,0.0291881982910367,0.0595749190278211,0.0956305407844674,0.113190066231856,0.0198767768031153,0.0233895149445576,0.0222277248849192,0.157893322076412
"Bcl2l2",0.0554025164559339,0.0292882968102983,0.0663974021035086,0,0.0699589619204944,0.0376841766297272,0.0863708723580642,0.053528165747091,0.0406306004988297,0.04589701870229,0.0587711395930996,0.0619741393106332,0.104150587482095,0.0495393270626678,0.0913122335090172,0.0492254424535451,0.0781589898561872,0.0527033939954528
"Bgn",0.00522378968562374,0.00156289652860545,0.00184430349796606,0,0.0788167981577981,0.126631148518198,0.0014181199763467,0,0.00303876595588,0,0.106407434884278,0.116464134202458,0.251197107480642,0.00664277297426304,0.00718641100008737,0.00679540847064582,0.0528496497229061,0.110201549960131
"Bid",0.00537559913016066,0.00726304283355367,0.0175158109878491,0.177718300095289,0,0.01931672373738,0.0281813411405027,0.00805820007987834,0.00813629514298794,0.0472020850390871,0,0.0229665822671719,0.0257112804189078,0.131319272425397,0.029013268866434,0.01191810541649,0.0173880154106637,0.0161604544362039
"Bik",0,0,0.000277374313269959,0,0,0,0.00138616553146143,0,0.000809221222164054,0,0,0,0.00222888550245651,0.00413151616829241,0.00090838538755127,0,0,0
"Birc3",0,0.00126796992348661,0.0009798796962457,0,0.0412511691114602,0.0119438565152981,0.00136351429147712,0.00467842784454446,0,0.0153018323698835,0.102153177934251,0,0.0903084006560825,0.0566213893690415,0.00384006486034185,0.0109920119394138,0.0371105129578165,0.17331802423049
