"","Astrocyte..Control","Astrocyte..D14","Astrocyte..D3","Astrocyte..Sham","Endothelial..Control","Endothelial..D14","Endothelial..D3","Endothelial..Sham","Fibroblast..Control","Fibroblast..D14","Fibroblast..D3","Fibroblast..Sham","Macrophage..Control","Macrophage..D14","Macrophage..D3","Macrophage..Sham","Microglia..Control","Microglia..D14","Microglia..D3","Microglia..Sham","Neuron..Control","Neuron..D14","Neuron..D3","Neuron..Sham","Oligodendrocyte..Control","Oligodendrocyte..D14","Oligodendrocyte..D3","Oligodendrocyte..Sham","OPC..Control","OPC..D14","OPC..D3","OPC..Sham","Pericyte..Control","Pericyte..D14","Pericyte..D3","Pericyte..Sham"
"Stat1",0.0767377755111859,0.149755352566981,0.0896555101560073,0.0243807262771628,0.189801040315963,0.189562577941187,0.183610646632208,0.131202007096298,0.0414700795107768,0.227634158024475,0.267903641865911,0.0591701719014336,0,0.309158074288373,0.284758987515952,0.239964672096397,0.0770916846326408,0.425718005245054,0,0.051225155811118,0.0467276427948516,0.0916326977790664,0.183426163330583,0.0480035040331595,0.0610491775138371,0.069266728788403,0.0771547118210956,0.0305563469664151,0.0427071943123564,0.117796126848305,0.245650172823661,0.153895157083263,0.170409084093252,0.113298844630405,0.205375324025745,0
"Fn1",0,0.157192657320063,0.067050270085648,0,0.891950194394633,0.79644276800577,1.4434064382833,0.837020632287545,0.347479146463721,1.32796807901214,1.65532904086492,0.682005946627764,0,0.282250294737116,0.83375193197056,0,0,0,0,0,0.0044303190126333,0.0574009991364264,0.0700543552772592,0.00491157539333665,0,0.0888823848942334,0.0977235804669723,0.00735453227162398,0.0103923255631221,0.233712063989452,0.195127913909715,0,0,0.272723240445747,0.394271695566906,0
"Ptgs2",0,0.00931712871003165,0.0169370969353192,0.00206402493555289,0.120933147518794,0.0724124984641042,0.157570623282727,0.0532591359669099,0,0.0127422562908475,0.212195028468326,0.0124081045695339,0,0.00188951896927189,0.0115289991901321,0,0,0,0,0,0.0220143014632132,0.0197671226989281,0.0652985283622183,0.0145038297658166,0,0,0,0.0247234454454139,0,0.0112451498196905,0.0198978211479957,0,0,0,0.0244845475842755,0
"Fcgr3",0,0.00375942389437516,0.0207673646926155,0,0,0.00537799542485609,0.0140205115977395,0,0,0.0100144745767245,0,0,0,0.173299339670145,0.200946293309391,0,0.307801791707581,1.10535617563918,1.09016881625471,0.340810998773309,0.00193042461473893,0.0036507445775192,0.0154211390133797,0.00310935705856403,0.00466342823675947,0.0145514343073578,0.0140823366343605,0,0,0,0,0,0,0,0,0
"Vim",0.0124579259361135,0.378540472932298,0.399758715548382,0.0244600520420063,0.179036461851305,0.331697171762487,0.814608220894838,0.293445162987421,0.0243339155710881,0.178001610767579,0.596440669347602,0.10486736442421,0,0.219292235188668,0.535027497841157,0,0,0,0,0,0.00163382302032182,0.0147057983128721,0.0356517824396894,0.00133332414338311,0,0.0153821413028935,0.0680320867736145,0,0,0.18959269449307,0.238164497736169,0.0198690041171216,0,0.097047518537965,0.592455780255573,0.0546331022301244
"Mrc1",0,0.0145957236750767,0.0119875669059085,0.00507460630382191,0,0.0526887499407754,0.0225957003742797,0,0.0179345227385334,0.0165320321338011,0.0510999772570189,0,1.21918490135781,0.176402756242097,0.294386973649251,1.80311893793949,0.0391219682931152,0.425718005245054,1.31070490640084,0.040275861503896,0.00131169755708776,0.00304971362967987,0.0168081337758413,0.00319507455614641,0,0,0.0165706042440121,0.0127660233203827,0,0.00565318730786758,0.00638342659657413,0,0,0.0165814704840512,0.0641667950093083,0
"Ptgds",0.246679400475947,0.0980542723675314,0.00815763451595898,0.36555971794746,0.381172691388036,0.132247268252318,0.0485057302875161,0.673780353397575,3.2581393729811,0.7219214871729,0.395450760762421,3.20048539235968,0,0.142039527356186,0.0206892289939455,1.37182196385246,0.211571655185735,0,0,0.408922867499025,0.0863032378890997,0.0535353582976871,0.00755271870734341,0.144199744107298,3.36767077647174,1.61032532489939,0.415124196983098,3.44001862246125,0.242545938325142,0.126754818546306,0.0458368091986046,0.280606591205752,0.141453874825537,0.0977026641449506,0.0692958921145565,0.392135675242165
"Ggta1",0.0422416498949815,0.783604401511542,0.249077268954582,0.0533388539568123,0.0951578089842218,0.279314205669036,0.368050052008943,0.0557351483146735,0,0.0481390483563628,0.0716829981909626,0.0136451113164803,0.700253747741073,0.267434775015692,0.402103466539747,0.508349203737993,0.236338253771409,0.372513615205574,0,0.126228405803795,0.00159844527676367,0.01378542372226,0.0312734643767065,0.00177756143941954,0,0.0420411996517021,0.165808250525882,0.0142680463198961,0,0.666693194906631,0.187841449434227,0,0.121253530007799,0.339935512740465,0.37046750970242,0.212740099496809
"Nfe2l2",0.212029800585062,0.217099959997703,0.236538978800496,0.138193702662718,0.138687981429826,0.189506136120868,0.34906497870081,0.129661326812445,0.285378954605043,0.410794228717921,0.480255343509967,0.223461718062474,0,0.56842055243186,0.505753124779827,0.233997950955529,0.41359427740709,0,0,0.277070383163481,0.00843556144460065,0.0205600705698229,0.0236283925861333,0.013065246918527,0.0325036273821886,0.15602116073527,0.177683811960091,0.0495185237463609,0.0582492675645938,0.0208829076663328,0.123611023775851,0.0312257425450163,0.0543758495479554,0.192639736855765,0.270022949813366,0
"Serping1",0.00959882646520151,0.162308478410971,0.0503685617999726,0,0,0.029113016455659,0,0,0.247867780012402,0.344889591969089,0.363060715466959,0.225973447986748,0,0.0250271498728987,0.00349092848857264,0,0,0,0,0,0.00266157052140749,0.0137925484133362,0.0114733797794539,0.00161677830998614,0,0.0142488403101635,0,0,0,0.0598472413328255,0.0245537226110025,0.0106383255088255,0,0.427689763675909,0.410933265923549,0.0517753787987615
