"","Macrophage--Sham","Microglia--Sham","Endothelial--Sham","T-cell--Sham","B-cell--Sham","Microglia--Stroke-isotype","T-cell--Stroke-isotype","Macrophage--Stroke-isotype","Endothelial--Stroke-isotype","B-cell--Stroke-isotype","Microglia--Stroke-antiVCAM1","Endothelial--Stroke-antiVCAM1","Macrophage--Stroke-antiVCAM1","B-cell--Stroke-antiVCAM1","T-cell--Stroke-antiVCAM1","Endothelial--Stroke-antiVLA4","Macrophage--Stroke-antiVLA4","Microglia--Stroke-antiVLA4","T-cell--Stroke-antiVLA4","B-cell--Stroke-antiVLA4"
"Slc40a1",0.127914605970138,0.618392139748595,0.826594292699446,0.0336356187726838,0,0.509868052340335,0.0303917757266387,0.197705244589869,0.810285341281625,0.0732761001201523,0.550476410755743,0.765830788270048,0.210632066519424,0.145178307327391,0.0669078858348008,0.76061833997885,0.253893046478249,0.570327863770841,0.038084139371727,0
"Cflar",0.611744755450869,1.16078038605659,0.484929835108007,0.297149355288315,0.239310317162444,1.07526380266349,0.348193186684012,0.648726882815056,0.476941775615142,0.339970072651888,1.03029142801349,0.450689851571866,0.523118125747566,0.258293395859274,0.362865624500026,0.443628619326689,0.506417877805785,1.02319002739973,0.343222759825876,0.119185577089469
"Casp8",0.402635619186209,0.707678824421344,0.245468063967736,0.484472214559392,0.292546243756508,0.656459454742137,0.387399348280973,0.442839479936431,0.229900977973114,0.237147479962428,0.664855108532692,0.245726198258041,0.415878832969512,0.168970385895683,0.314773642187646,0.269573143896612,0.355176444710387,0.68853806237913,0.360462535054453,0.383820637714497
"Acsl3",0.123418492407146,0.0191299580691732,0.397137679565988,0.0162223103473533,0,0.0253325370103312,0.00896729100622125,0.135862636166374,0.490971363824062,0.0314447984104155,0.0296036716544648,0.394387512592465,0.0590619037784639,0.0597457713978236,0.0220618953403562,0.415188148806329,0.13346549363477,0.0383307684343267,0.0201724953626685,0.0201729355566486
"Steap3",0.0229455074932413,0.00303389739183567,0.0610583974965207,0,0,0.00505696010936846,0,0.0112240512154164,0.052989636207262,0,0.00535577884016214,0.0654643887987003,0.0259568850606285,0,0.00423490118925631,0.0697604552030486,0.0182947325267937,0.00579768975896914,0,0
"Btg2",2.12489407593429,2.31155468169911,0.626205888436834,1.43040394469031,0.911319388148984,2.01733074534168,1.09737584388956,1.84611526944267,0.445616462973164,0.80422618947758,1.72793441893219,0.556221287486235,1.75807650901358,1.06554397651075,1.15948779174379,0.620298425453618,1.75828351045398,1.44196779670166,0.922195262884179,0.692225473842259
"Rnasel",0.177703440312731,0.0868844886049108,0.00510465309549002,0.135562580735458,0.130479617118671,0.0712975271761795,0.126107598543932,0.16014605499491,0.0032667349320115,0.068752366611817,0.0727265437262044,0.00049539581368986,0.190568097137925,0,0.110140216575431,0.0013686125482916,0.21034302192618,0.0824641365680494,0.0717160333201402,0.00820558469812733
"Fasl",0,0,0,0.909778254561361,0.0745231796841384,0,0.625648261857882,0,0,0.00281429654419833,0,0.000464382977289383,0,0,0.508653501459605,0.000191153950164813,0,0,0.623244342967349,0
"Pea15a",0.653954009371704,0.486850452674032,0.509759977062417,0.279785910931578,0,0.445729505503467,0.200200263289102,0.499776376511474,0.571936859217622,0.100759695890026,0.364141601533625,0.632352434086184,0.416453956941675,0.167011871808637,0.19297335503128,0.637410647328662,0.582326909590699,0.34412476370166,0.130185172760479,0.0923390178815145
"Psen2",0.168817813568673,0.0692501104362283,0.123957485984475,0.264296115854956,0.353619664797587,0.0726420891668356,0.23663040271795,0.142608465727366,0.101913017189509,0.188734212719841,0.0804600092205072,0.113422026334137,0.117070695117768,0.0603896933455986,0.20754722809415,0.131042253478326,0.137741854746727,0.0685479748170491,0.204573929183997,0.213558607947135
"Tgfb2",0.00328489302817874,0.00407524463971693,0.62946371985844,0.00968996902408623,0,0.00582728582268418,0.0033988369428138,0.00384467133410334,0.594145900777569,0.00821236537344709,0.0150379709745821,0.543646076009444,0,0,0.0106067560417107,0.531565833628192,0.00432068559497811,0.0202895426461331,0.0138376308538909,0.0193317126833764
"Atf3",1.87515795216015,1.91540292337433,0.246110449172653,0.1734768035702,0.0581537531374241,1.95069316874312,0.153385920444949,1.90786956497259,0.235387020768299,0.259425222527377,1.53046745692199,0.278662691297189,1.4683463549142,0.170563226592966,0.231223654465524,0.305406272119008,1.78776730865496,1.24918015842702,0.0652799509299115,0.103213232095362
"Traf2",0.051253896210058,0.0822732194149868,0.076996206686815,0.136467576618194,0.189636948519733,0.0875550508692768,0.13522493174268,0.0470577046687925,0.0698289570515229,0.0942070304851138,0.0984279866150269,0.0810917850453808,0.0653976037897179,0.0889215116472868,0.140449979422835,0.0750049792880044,0.0456273695230322,0.0992558129736473,0.151954274613147,0.1394043923723
"Sptan1",0.312822693308796,0.254433192884875,1.36245122244371,0.400027469304116,0.0620908111876228,0.197147411193832,0.25368462101862,0.253608191458992,1.28017648311447,0.172433655656817,0.18840004942673,1.20615302687548,0.291888933551198,0.241477003076563,0.216767275548103,1.21497537059875,0.364355689427331,0.202475703848973,0.278727875826689,0.264877723743079
"Gsn",0.360607292584558,0.0109467231048259,0.00980541367535943,0.0269503691820162,0.0554878628250901,0.00840449160553654,0.0169312283682975,0.33976109678892,0.0167039333446796,0.0191150484718392,0.0088422246435948,0.00674912600972272,0.370544326566645,0.051913066851778,0.0106081872113396,0.00402376304255189,0.301780354178734,0.00758971031658253,0.013199730637696,0.0624800446266876
"Dpp4",0.146232436896234,0.00187347890127935,0.158433988011758,0.118547244613427,0.321721556931129,0.00178344449899107,0.180994770463061,0.210633360678749,0.11129146054908,0.167645034799426,0.00319725910302136,0.107989488971123,0.161488849487815,0.353520746848748,0.18377966803497,0.122176427245551,0.168926124917094,0.00215305638758082,0.156171890263472,0.287755501908207
"Madd",0.142142687006935,0.232874313595199,0.108557289224192,0.342630673405292,0,0.243017276083685,0.248448232667682,0.186166733263642,0.0888332433282284,0.129123862155812,0.230167313946531,0.0745338197892514,0.315712802218275,0.0600913846171712,0.214147854666904,0.0833351566086227,0.172140389878813,0.273154820848569,0.253889090164771,0.190156546129288
"Cd44",0.602158021807772,0.00644767220842322,0,0.41596473315196,0.457190478490425,0.0243758833144089,0.446150088488096,0.437141685235423,0.00278167270812383,0.349750532320471,0.0192899365619192,0.000683653017335859,0.73546208536042,0.23688680831655,0.425456844180467,0.000998819447228114,0.286195733182546,0.013845228736276,0.400493231722264,0.28901768588923
"Bmf",0.062666632324849,0.160637735247494,0.0221722195983402,0,0.0730230176938563,0.174572641476538,0.00749188547466487,0.0493821704109313,0.027303053616153,0.0934352583966661,0.135595258069371,0.0151949854836744,0.0956173568258953,0,0,0.0204687446328446,0.019313805835726,0.151826322702673,0.0120959079057507,0.0501601673470968
"Plcb2",0.0975972692378672,0.179956290555354,0,0.147030572406809,0,0.178470011082934,0.0540205514527838,0.149988510454546,0.00157581815164046,0.0441147684323591,0.157082856031465,0.00137610133880848,0.0392140154076868,0,0.0660743410211533,0.000899583788282906,0.103032340707412,0.175546889506494,0.0560285636478653,0.0121030721971096
"Bcl2l11",0.213684561346701,0.251601409049843,0.152735045405451,0.494365575544908,0.21269772032408,0.247047791231387,0.298953613888126,0.273502686504965,0.10957251034759,0.132322571577542,0.216742416709632,0.115545957840717,0.337054293570924,0.208669871028533,0.34085111033796,0.116442234920539,0.229379468002373,0.210797996409131,0.222843976405743,0.121887516867736
"Slc20a1",0.105978920043797,0.0559395919221701,0.0769621020901327,0.329736715444063,0.114319576834843,0.05526321259427,0.171260777664442,0.079311541750161,0.095080113368943,0.0398579188148498,0.0444391840159437,0.0550245244373424,0.0421243882314531,0.0468802871365254,0.117034100184232,0.0487862882026641,0.0440457303732893,0.0389053053027542,0.178760353782299,0.0899390344633452
"Il1a",0.0677600731854134,0.967507252898054,0.00341324465598732,0.0854795061969134,0,1.00700294964317,0.0542164519281439,0.0913054453193988,0.0198105723698387,0.098506395984997,0.782473130323669,0.0054778206410686,0.0304993381188797,0.0883341495368263,0.0792066752467382,0.00610459137730162,0.0822654428157754,0.683657558638307,0.0504261641757218,0
"Il1b",1.46131167057387,0.0757964135389085,0.00430947716014574,0.0408011286303327,0,0.157207261931136,0.00234486509811059,1.48387727859864,0.0136014373808675,0.00675781757378763,0.0746093759647097,0.00137028250755974,1.22173344271688,0.078341044057325,0,0.00308089590906984,1.18329670916305,0.077061687312367,0,0.00820558469812733
"Cdc25b",0.00925206830080183,0.000759389871713125,0.0624189117756434,0.111283844185621,0.126605547439956,0.00303783040982275,0.0565165404967312,0,0.0287965298976849,0.0528823369566176,0.00570008258863239,0.0294885759998087,0.0271910830181643,0.185149120345964,0.0241885183406362,0.026250463377709,0.0153959205586026,0.0033596079509145,0.0414109707951112,0.172965525795395
"Prnp",0.02069491619906,0.0226433033420878,0.634927015325285,0.0665490722026798,0,0.0212500423559979,0.0294403404459228,0.0579478166389021,0.734779773005991,0.00376114145467163,0.0324921695225969,0.813814633448866,0.0283550705176133,0.0214402775295282,0.035122972913387,0.846762772838765,0.0965426129508132,0.0390903229001651,0.0564222931583078,0.139751502672481
"Bmp2",0.121286611136969,0,0.00593859255523566,0.0108968351714996,0,0,0.00761477921002638,0.12291162665303,0.00682072041850127,0,0.000879475313953195,0.000603785577796286,0.0545516801873326,0,0,0.000648839562790869,0.177453221342049,0,0,0
"Bcl2l1",0.409045046641916,0.481270619215307,1.05028079032073,0.222758195194427,0.158961556831283,0.545913688211578,0.155871617558145,0.317371563803754,0.940931169662379,0.0649728054552445,0.520879325209472,0.861429532662275,0.311706257164106,0.194445140143303,0.231207713026045,0.846058005314025,0.407629063291472,0.526304372764586,0.142121461404264,0.0672932074570265
"Chmp4b",0.751131142299135,0.612095937067608,0.439447799189019,0.781962620434879,0.880289715461172,0.555525585653448,0.62217829103626,0.74858661023742,0.486444710808864,0.484195782320311,0.542661783922042,0.55037980558105,0.72750034812522,0.526995912244334,0.694861846419915,0.541163675193089,0.579562758952632,0.507615310853908,0.572548718552912,0.479375263840769
