"dataset","assay_type","species","model","stroke_condition","control_condition","cell_type","n_cells_stroke","n_cells_ctrl","mean_apoptosis_stroke","mean_apoptosis_ctrl","delta_apoptosis","mean_necroptosis_stroke","mean_necroptosis_ctrl","delta_necroptosis","mean_ferroptosis_stroke","mean_ferroptosis_ctrl","delta_ferroptosis"
"GSE174574","scRNA","Mouse","MCAO","MCAO","Sham","Astrocyte",2351,1247,0.0537290992148825,0.0120544821395489,0.0416746170753336,0.112358873211301,0.091537317533175,0.020821555678126,0.226097563730744,0.200037848484227,0.026059715246517
"GSE174574","scRNA","Mouse","MCAO","MCAO","Sham","Endothelial",11778,14131,0.113328349259957,0.0872153797921965,0.0261129694677605,0.182724439422858,0.166491704668048,0.01623273475481,0.162792228588615,0.15777672133951,0.00501550724910499
"GSE174574","scRNA","Mouse","MCAO","MCAO","Sham","Fibroblast",207,206,0.155260022871107,0.116765457920585,0.038494564950522,0.149653719304543,0.136956747659952,0.012696971644591,0.225074991446172,0.183998286123665,0.041076705322507
"GSE174574","scRNA","Mouse","MCAO","MCAO","Sham","Macrophage",2863,1141,0.136664069157567,0.0814422470821533,0.0552218220754137,0.239339449462054,0.173166320980647,0.066173128481407,0.158619618175433,0.142978619020878,0.015640999154555
"GSE174574","scRNA","Mouse","MCAO","MCAO","Sham","Microglia",10387,8355,0.0933688960833743,0.0556141258101287,0.0377547702732456,0.176360223309164,0.160552911197264,0.0158073121119,0.136929535698891,0.103281200184284,0.033648335514607
"GSE174574","scRNA","Mouse","MCAO","MCAO","Sham","Oligodendrocyte",1063,544,0.0642613548564358,0.0285017659978915,0.0357595888585443,0.137498597088609,0.141675605463986,-0.00417700837537699,0.237099162485545,0.214385894069354,0.022713268416191
"GSE174574","scRNA","Mouse","MCAO","MCAO","Sham","Pericyte",865,321,0.0990689471300262,0.0802509606616877,0.0188179864683385,0.150269907845527,0.1479538418931,0.00231606595242698,0.141604098268117,0.134819981073413,0.00678411719470401
"GSE174574","scRNA","Mouse","MCAO","MCAO","Sham","SMC",1603,1270,0.101607092366212,0.0617244546484053,0.0398826377178067,0.155875146388266,0.144449338880945,0.011425807507321,0.121803063880554,0.100740076348215,0.021062987532339
"GSE197341","snRNA","Mouse","Photothrombosis","Stroke","Sham","Astrocyte",8063,1833,0.0230373653810768,0.0128393769289944,0.0101979884520824,0.0321472365806448,0.0378164499419474,-0.0056692133613026,0.098254077337192,0.0820175118738313,0.0162365654633607
"GSE197341","snRNA","Mouse","Photothrombosis","Stroke","Sham","Endothelial",2426,470,0.06731616102494,0.0579147150456312,0.0094014459793088,0.0818906753728225,0.0899485740531186,-0.00805789868029609,0.0751042618438786,0.0795365506925354,-0.0044322888486568
"GSE197341","snRNA","Mouse","Photothrombosis","Stroke","Sham","Fibroblast",3151,378,0.035453520647756,0.0384077844916057,-0.0029542638438497,0.0557452436166266,0.0655124996965174,-0.0097672560798908,0.0580573470571146,0.0626531775665687,-0.0045958305094541
"GSE197341","snRNA","Mouse","Photothrombosis","Stroke","Sham","Microglia",8137,827,0.0166958528593352,0.00915523951414998,0.00754061334518522,0.0701132689857049,0.0750813374232197,-0.00496806843751479,0.0407869893459388,0.0338147005664477,0.0069722887794911
"GSE197341","snRNA","Mouse","Photothrombosis","Stroke","Sham","Neuron",53029,13068,-0.0159194668732496,-0.0183879854944073,0.0024685186211577,-0.0352908353097432,-0.0278760792669132,-0.00741475604283,-0.0235243943197023,-0.0226905396212805,-0.000833854698421801
"GSE197341","snRNA","Mouse","Photothrombosis","Stroke","Sham","OPC",2976,561,-0.00568642779132135,-0.00981227746153888,0.00412584967021753,0.007529358361749,0.0136753894081783,-0.0061460310464293,-0.0132174639982292,-0.0164811727797233,0.0032637087814941
"GSE197341","snRNA","Mouse","Photothrombosis","Stroke","Sham","Oligodendrocyte",8956,1931,0.0220175398417302,0.020421120780545,0.0015964190611852,0.0287173917419613,0.0411447903786504,-0.0124273986366891,0.0505382041685088,0.0519670352498888,-0.00142883108138
