"dataset","cell_type","pathway","n_core_genes","mean_stroke","mean_ctrl","delta","delta_z","first_auth","journal_tier","weight","time_bin","days_post","assay","species"
"GSE174574","Astrocyte","Apoptosis",9,2.47391349585224,2.63398401517864,-0.160070519326401,-1.49797838449894,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Astrocyte","Ferroptosis",10,4.04532886753784,3.44748120786024,0.597847659677603,-0.150124779635509,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Astrocyte","Necroptosis",8,3.44465559101828,2.55565024461988,0.889005346398407,-0.372192291724004,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Endothelial","Apoptosis",9,1.30286564235539,0.880052760354312,0.42281288200108,0.8941096765838,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Endothelial","Ferroptosis",10,6.21102842094076,5.80893184335548,0.402096577585282,-0.387812860722859,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Endothelial","Necroptosis",8,8.58516828923704,7.79706431609277,0.788103973144269,-0.497794020346792,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Fibroblast","Apoptosis",9,2.51302787758813,2.07001740944123,0.443010468146903,0.976998303317858,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Fibroblast","Ferroptosis",10,6.91309344734032,6.97031889746677,-0.057225450126448,-0.94553836701897,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Fibroblast","Necroptosis",8,8.96964242928667,7.99159636415392,0.978046065132751,-0.26135467048885,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Macrophage","Apoptosis",9,1.58750558422631,1.02679523850682,0.56071034571949,1.46002539122442,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Macrophage","Ferroptosis",10,7.68905874476219,6.56793921448406,1.12111953027813,0.485250951014948,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Macrophage","Necroptosis",8,6.35001042815514,4.67975286294396,1.67025756521118,0.600308141209885,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Microglia","Apoptosis",9,1.12750200287566,1.06967602983714,0.0578259730385202,-0.603755634715926,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Microglia","Ferroptosis",10,8.12241383631858,5.86285121766775,2.25956261865083,1.86758994097182,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Microglia","Necroptosis",8,3.08501153967073,2.35119824640151,0.733813293269218,-0.565374896805608,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Oligodendrocyte","Apoptosis",9,1.21310992460004,1.11502793114791,0.0980819934521244,-0.438549444938044,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Oligodendrocyte","Ferroptosis",10,5.07942083450189,5.43259747471941,-0.35317664021751,-1.30489306236153,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Oligodendrocyte","Necroptosis",8,1.67960194833493,1.25085422469639,0.428747723638542,-0.945119608430105,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Pericyte","Apoptosis",9,1.11715729321926,1.00351262439576,0.1136446688235,-0.374681971838636,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Pericyte","Ferroptosis",10,7.01705914495204,6.4900568297946,0.52700231515744,-0.236147772780589,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","Pericyte","Necroptosis",8,9.04462159103772,6.07121283693637,2.97340875410134,2.2224668562275,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","SMC","Apoptosis",9,1.01277085684796,0.909235129993058,0.103535726854902,-0.416167935134538,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","SMC","Ferroptosis",10,7.13358847970441,5.85893623875053,1.27465224095387,0.671675950532685,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE174574","SMC","Necroptosis",8,3.66167412884404,2.61902704070893,1.04264708813511,-0.180939509642029,"Zheng K",2,0.127921628199281,"Acute",1,"scRNA","Mouse"
"GSE197341","Neuron","Apoptosis",9,0.674758040901771,0.673240115719997,0.00151792518177363,-0.408520459875845,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Neuron","Ferroptosis",9,0.254410924660517,0.22425579102707,0.0301551336334472,-0.43527779299639,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Neuron","Necroptosis",8,0.676365489377375,0.660245550129569,0.0161199392478069,-0.296937813127384,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Oligodendrocyte","Apoptosis",9,0.89480937850675,0.885473996490284,0.00933538201646644,-0.346445078551235,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Oligodendrocyte","Ferroptosis",9,0.618456760184647,0.521532523216246,0.0969242369684012,0.403822049894215,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Oligodendrocyte","Necroptosis",8,0.669519729409363,0.658956745275929,0.0105629841334342,-0.349259034872278,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Pericyte","Apoptosis",9,0.83095203400481,0.727092894913919,0.103859139090891,0.404131277507425,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Pericyte","Ferroptosis",9,0.423383484234961,0.342564639314065,0.0808188449208958,0.201422567772089,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Pericyte","Necroptosis",8,1.07113550512827,0.807296238174165,0.263839266954105,2.03545062778241,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Fibroblast","Apoptosis",9,0.816758211887033,0.907100065707714,-0.0903418538206807,-1.13794320317338,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Fibroblast","Ferroptosis",9,0.457785267393351,0.476868373408007,-0.0190831060146555,-1.05406398435301,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Fibroblast","Necroptosis",8,1.37962452496097,1.24742503184445,0.132199493116516,0.796003186576691,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
