"dataset","signature","cell_type","timepoint","ctrl_mean","stroke_mean","delta","n_genes"
"GSE227651","A1_markers","Astrocyte","Stroke",0.211998747336842,0.300749230263158,0.0887504829263158,19
"GSE227651","A1_markers","Endothelial","Stroke",0.415002675189737,0.363060023005263,-0.0519426521844737,19
"GSE227651","A1_markers","Macrophage","Stroke",0.435320258021053,0.469332545263158,0.0340122872421053,19
"GSE227651","A1_markers","Microglia","Stroke",0.226948922052632,0.317455171842105,0.0905062497894737,19
"GSE227651","A1_markers","NK_cell","Stroke",0.0504559225073684,0.0734083139842105,0.0229523914768421,19
"GSE227651","A1_markers","Neuron","Stroke",0.0649210811873684,0.101999982826316,0.0370789016389474,19
"GSE227651","A1_markers","OPC","Stroke",0.139682992284211,0.213832647631579,0.0741496553473684,19
"GSE227651","A1_markers","Oligodendrocyte","Stroke",0.0364275630121053,0.107762899436842,0.0713353364247368,19
"GSE227651","A1_markers","Pericyte","Stroke",0.274306626182632,0.238390319131579,-0.0359163070510526,19
"GSE227651","A1_markers","T_cell","Stroke",0.425429366315789,0.431785943105263,0.00635657678947366,19
"GSE227651","A2_markers","Astrocyte","Stroke",0.241873831488235,0.317982680823529,0.0761088493352941,17
"GSE227651","A2_markers","Endothelial","Stroke",0.270469964231765,0.304156379892706,0.0336864156609412,17
"GSE227651","A2_markers","Macrophage","Stroke",0.253400841588235,0.377164104058824,0.123763262470588,17
"GSE227651","A2_markers","Microglia","Stroke",0.179732071294118,0.262025590584118,0.08229351929,17
"GSE227651","A2_markers","NK_cell","Stroke",0.0455156270582353,0.0592744537035294,0.0137588266452941,17
"GSE227651","A2_markers","Neuron","Stroke",0.0658575703647059,0.109530737191765,0.0436731668270588,17
"GSE227651","A2_markers","OPC","Stroke",0.127379445958824,0.221530385145294,0.0941509391864706,17
"GSE227651","A2_markers","Oligodendrocyte","Stroke",0.0345458045382353,0.0759564674076471,0.0414106628694118,17
"GSE227651","A2_markers","Pericyte","Stroke",0.197258796947059,0.202460577231765,0.00520178028470586,17
"GSE227651","A2_markers","T_cell","Stroke",0.211893935,0.222759761935294,0.0108658269352941,17
"GSE227651","Pan_reactive","Astrocyte","Stroke",0.422012595666667,0.675415526666667,0.253402931,6
"GSE227651","Pan_reactive","Endothelial","Stroke",0.476940356173333,0.530487290666667,0.0535469344933333,6
"GSE227651","Pan_reactive","Macrophage","Stroke",0.390423510733333,0.5759435785,0.185520067766667,6
"GSE227651","Pan_reactive","Microglia","Stroke",0.158392311166667,0.241660325666667,0.0832680145,6
"GSE227651","Pan_reactive","NK_cell","Stroke",0.124341684683333,0.1709702655,0.0466285808166667,6
"GSE227651","Pan_reactive","Neuron","Stroke",0.112685585833333,0.2089187955,0.0962332096666667,6
"GSE227651","Pan_reactive","OPC","Stroke",0.265832497333333,0.419275523333333,0.153443026,6
"GSE227651","Pan_reactive","Oligodendrocyte","Stroke",0.0843610631166667,0.250853254,0.166492190883333,6
"GSE227651","Pan_reactive","Pericyte","Stroke",0.552855557316667,0.547922116433333,-0.00493344088333325,6
"GSE227651","Pan_reactive","T_cell","Stroke",0.387915502666667,0.3813032155,-0.00661228716666662,6
"GSE227651","M1_markers","Astrocyte","Stroke",0.0146139087086957,0.0245572612973913,0.00994335258869565,23
"GSE227651","M1_markers","Endothelial","Stroke",0.0154316696602174,0.0216544346193913,0.00622276495917391,23
"GSE227651","M1_markers","Macrophage","Stroke",0.306370313434783,0.380683457086957,0.0743131436521739,23
"GSE227651","M1_markers","Microglia","Stroke",0.268273564826087,0.388976836591304,0.120703271765217,23
"GSE227651","M1_markers","NK_cell","Stroke",0.00466316162521739,0.0107372052156522,0.00607404359043478,23
"GSE227651","M1_markers","Neuron","Stroke",0.00365642147217391,0.01333497972,0.00967855824782609,23
"GSE227651","M1_markers","OPC","Stroke",0.0122866970956522,0.0311209836978261,0.0188342866021739,23
"GSE227651","M1_markers","Oligodendrocyte","Stroke",0.00245583521782609,0.012369273226087,0.00991343800826087,23
"GSE227651","M1_markers","Pericyte","Stroke",0.0181237100236522,0.0201938444652174,0.00207013444156522,23
