"gene","gene_upper","log2FC","pvalue","padj","dataset","cell_type","threshold_used"
"Ccl2","CCL2",8.57236354131702,6.06800308779942e-10,1.6117223001504e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Timp1","TIMP1",8.50956887797088,9.39170147215269e-11,2.49452982801847e-06,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cxcl1","CXCL1",8.33282055338116,2.65699195019912e-09,7.0572363189239e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Emp1","EMP1",8.17040478290039,3.95976963731549e-10,1.05175441336737e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Hmox1","HMOX1",7.65222280899556,5.97744603063844e-07,0.0158766944019788,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Atp8","MT-ATP8",7.04370288603611,1.96942989654018e-64,5.23100274820038e-60,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Lcn2","LCN2",6.60087808922696,5.6577686525083e-26,1.50275993179273e-21,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Spp1","SPP1",6.26572998890733,1.52443285435222e-39,4.04904610444492e-35,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Prg4","PRG4",6.19623586404972,4.87650599966362e-10,1.29524875857065e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"S100a6","S100A6",6.10749314983319,4.10381017485997e-46,1.09001302054456e-41,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Gfap","GFAP",5.9586258949783,1.69352596258633e-16,4.49817430922555e-12,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Nd5","MT-ND5",5.94704914482092,1.7053161954319e-74,4.52949034668667e-70,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Mt2","MT2",5.50899324068006,5.9284921051448e-105,1.57466678804751e-100,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Igfbp3","IGFBP3",5.113838779656,1.20760257816742e-30,3.20751320787048e-26,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Hba-a1","HBA-A1",4.82701150368496,3.29253646663306e-34,8.74530610902406e-30,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Serpina3n","SERPINA3N",4.81727579375176,3.27818668867316e-09,8.70719166378478e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Lgals3","LGALS3",4.80718643116492,2.46292279735207e-08,0.000654176924204682,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Lrg1","LRG1",4.77379308293394,2.92572308447914e-11,7.77101308468506e-07,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ctla2a","CTLA2A",4.64675837590946,2.28128643228356e-115,6.05932489278836e-111,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Nd4l","MT-ND4L",4.62324702654183,1.18790711577032e-45,3.15520009019756e-41,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ednrb","EDNRB",4.5838143408995,1.88848190378352e-07,0.0050159967846394,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Pdlim1","PDLIM1",4.50998326669973,7.14915135604789e-07,0.0189888609167988,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Mt1","MT1",4.42053406813054,3.69905295706568e-115,9.82505455926216e-111,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Lgals1","LGALS1",4.33073882787814,3.12884203045985e-10,8.31051731710441e-06,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Lars2","LARS2",4.14079299306361,2.66279297635173e-81,7.07264442448784e-77,"GSE244576","EC","padj<0.05 & log2FC>=1"
"S100a11","S100A11",4.1132667281827,1.89991377963103e-20,5.04636099007799e-16,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Fos","FOS",4.08575483455392,1.00010322673582e-06,0.0265637418053302,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Socs3","SOCS3",4.05032460880826,5.62561547026044e-07,0.0149421972505588,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Nd2","MT-ND2",4.0374570840752,2.06954337984413e-80,5.496914171204e-76,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Gm42418","GM42418",3.91116055777587,2.75015463480848e-88,7.30468572551481e-84,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Sdc4","SDC4",3.82645018494585,7.43280429498557e-10,1.97422714879112e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cebpb","CEBPB",3.82405454741554,2.73112918491147e-08,0.000725415222804334,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Gm19951","GM19951",3.74238332539686,1.60366448974279e-50,4.25949325120582e-46,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Camk1d","CAMK1D",3.6714484045011,9.51960602988043e-89,2.52850255759654e-84,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Nd1","MT-ND1",3.6521888731168,4.85060132228346e-65,1.28836821721171e-60,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Nd6","MT-ND6",3.64697605364096,2.46717439423379e-07,0.00655306190852437,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Nd3","MT-ND3",3.61438988626211,4.74252371464736e-30,1.25966172384749e-25,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Hbb-bs","HBB-BS",3.59719891395161,1.54311062357042e-50,4.0986561272654e-46,"GSE244576","EC","padj<0.05 & log2FC>=1"
"S100a10","S100A10",3.57254985170999,3.6927318381088e-10,9.80826503520077e-06,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cmss1","CMSS1",3.52422200713166,3.62411701301014e-85,9.62601719825624e-81,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Odc1","ODC1",3.51765003193561,4.52957346291144e-12,1.20310000748391e-07,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ccn2","CCN2",3.41391899625327,3.39952830628726e-13,9.02948713432959e-09,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cdk8","CDK8",3.41066376431934,1.61296074817052e-74,4.28418504321571e-70,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Nd4","MT-ND4",3.36826302743508,1.48039943920327e-64,3.9320889504678e-60,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Esd","ESD",3.35959384349837,5.4036061647796e-19,1.43525183342711e-14,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Hba-a2","HBA-A2",3.34424292554056,5.46229219694916e-22,1.45083943043167e-17,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Fth1","FTH1",3.31939405380787,9.01915680623761e-88,2.39557823930477e-83,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Co1","MT-CO1",3.31421559454541,9.1354118385229e-74,2.42645673843007e-69,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Adamts1","ADAMTS1",3.30305188065527,4.16700698100752e-19,1.10679872422541e-14,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Igfbp4","IGFBP4",3.29619960089834,4.76358222297761e-08,0.00126525507424508,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ctsd","CTSD",3.21779477275789,6.7230264992569e-13,1.78570306846763e-08,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Sec61g","SEC61G",3.18647083922868,6.77663069654349e-16,1.79994087930892e-11,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cd63","CD63",3.04897044887179,3.41243980830322e-17,9.06378137483419e-13,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Hbb-bt","HBB-BT",3.01201842939807,1.93253549570027e-09,5.1330075301295e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Uba52","UBA52",2.97261631089397,1.79498577209094e-27,4.76766170925073e-23,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Bola2","BOLA2",2.92493317975804,1.70940161676474e-06,0.0454034163428881,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Apod","APOD",2.89087474203638,1.21269774202848e-44,3.22104647260183e-40,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Mgp","MGP",2.80946455506965,1.82725203720269e-30,4.85336413601407e-26,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rbm3","RBM3",2.79642501872029,2.30795252355897e-19,6.13015269782499e-15,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Tmem252","TMEM252",2.72931084390797,1.18333296173193e-27,3.14305067965618e-23,"GSE244576","EC","padj<0.05 & log2FC>=1"
