"gene_upper","n_datasets","datasets","mean_log2FC","max_log2FC","min_padj","confidence_tier"
"S100A11",3,"GSE227651, GSE244576, GSE250597",0.89,1.098,0,"Tier1_3+datasets"
"SPP1",2,"GSE227651, GSE244576",3.44,3.63,0,"Tier2_2datasets"
"TYROBP",2,"GSE244576, GSE310324",2.478,4.183,0.002956,"Tier2_2datasets"
"COL5A3",2,"GSE244576, GSE250597",2.457,4.216,0,"Tier2_2datasets"
"GM26917",2,"GSE244576, GSE250597",1.583,2.359,0,"Tier2_2datasets"
"LGALS1",2,"GSE244576, GSE250597",1.54,2.161,0,"Tier2_2datasets"
"OSMR",2,"GSE227651, GSE244576",1.378,1.879,0,"Tier2_2datasets"
"VIM",2,"GSE244576, GSE250597",1.301,1.514,0,"Tier2_2datasets"
"PLAT",2,"GSE227651, GSE244576",1.032,1.518,0,"Tier2_2datasets"
"TIMP3",2,"GSE227651, GSE244576",0.8,1.046,0,"Tier2_2datasets"
"TNC",1,"GSE244576",10.107,10.107,0,"Tier3_1dataset"
"HMGA2",1,"GSE244576",9.145,9.145,0,"Tier3_1dataset"
"SERPINE1",1,"GSE244576",8.534,8.534,0,"Tier3_1dataset"
"8030451A03RIK",1,"GSE244576",8.388,8.388,0,"Tier3_1dataset"
"CXCL1",1,"GSE244576",8.102,8.102,0,"Tier3_1dataset"
"CD44",1,"GSE244576",7.672,7.672,0,"Tier3_1dataset"
"IL6",1,"GSE244576",7.586,7.586,9e-06,"Tier3_1dataset"
"LCN2",1,"GSE244576",7.3,7.3,0,"Tier3_1dataset"
"SERPINA3N",1,"GSE244576",7.17,7.17,0,"Tier3_1dataset"
"SOCS3",1,"GSE244576",7.137,7.137,0,"Tier3_1dataset"
"LRG1",1,"GSE244576",7.101,7.101,2e-06,"Tier3_1dataset"
"SPHK1",1,"GSE244576",6.779,6.779,1.6e-05,"Tier3_1dataset"
"ELF4",1,"GSE244576",6.75,6.75,1e-06,"Tier3_1dataset"
"TIMP1",1,"GSE244576",6.714,6.714,1e-06,"Tier3_1dataset"
"PABPC1L",1,"GSE244576",6.708,6.708,5e-06,"Tier3_1dataset"
"JAML",1,"GSE244576",6.618,6.618,0.000135,"Tier3_1dataset"
"ZWILCH",1,"GSE244576",6.371,6.371,0.004818,"Tier3_1dataset"
"IL11",1,"GSE244576",6.262,6.262,0,"Tier3_1dataset"
"MMS22L",1,"GSE244576",6.244,6.244,0.001101,"Tier3_1dataset"
"ITGA5",1,"GSE244576",5.779,5.779,0,"Tier3_1dataset"
"ZC3H12A",1,"GSE244576",5.48,5.48,0.000483,"Tier3_1dataset"
"POLN",1,"GSE244576",5.347,5.347,1e-06,"Tier3_1dataset"
"TEAD3",1,"GSE244576",5.186,5.186,8e-06,"Tier3_1dataset"
"NGF",1,"GSE244576",5.157,5.157,0,"Tier3_1dataset"
"SH2D4B",1,"GSE244576",5.071,5.071,0.015256,"Tier3_1dataset"
"GLIPR2",1,"GSE244576",5.054,5.054,0.011181,"Tier3_1dataset"
"PLAUR",1,"GSE244576",4.822,4.822,0,"Tier3_1dataset"
"CH25H",1,"GSE244576",4.793,4.793,0.018382,"Tier3_1dataset"
"HHIPL1",1,"GSE244576",4.459,4.459,0.006758,"Tier3_1dataset"
"BMP1",1,"GSE244576",4.43,4.43,0,"Tier3_1dataset"
"ADAMTS12",1,"GSE244576",4.39,4.39,0,"Tier3_1dataset"
"CAPG",1,"GSE244576",4.378,4.378,0.000161,"Tier3_1dataset"
"ITGB3",1,"GSE244576",4.351,4.351,0.000763,"Tier3_1dataset"
"PIEZO2",1,"GSE244576",4.304,4.304,0,"Tier3_1dataset"
"SLC39A14",1,"GSE244576",4.227,4.227,0,"Tier3_1dataset"
"RUNX1",1,"GSE244576",4.21,4.21,0,"Tier3_1dataset"
"TBXAS1",1,"GSE244576",4.104,4.104,0.002598,"Tier3_1dataset"
"DBT",1,"GSE244576",4.096,4.096,0.012719,"Tier3_1dataset"
"CTLA2A",1,"GSE244576",4.068,4.068,0,"Tier3_1dataset"
"SBNO2",1,"GSE244576",4.064,4.064,0,"Tier3_1dataset"
"ADAMTS6",1,"GSE244576",4.048,4.048,0,"Tier3_1dataset"
"CCL2",1,"GSE244576",4.045,4.045,1e-06,"Tier3_1dataset"
"TUBB6",1,"GSE244576",4.028,4.028,0.00016,"Tier3_1dataset"
"NECTIN2",1,"GSE244576",4.022,4.022,0.045752,"Tier3_1dataset"
"FGF2",1,"GSE244576",4.001,4.001,0,"Tier3_1dataset"
"ADAMTS4",1,"GSE244576",3.992,3.992,0,"Tier3_1dataset"
"PYCARD",1,"GSE244576",3.959,3.959,0,"Tier3_1dataset"
"FAM111A",1,"GSE244576",3.954,3.954,0.001287,"Tier3_1dataset"
"MTA1",1,"GSE244576",3.937,3.937,7e-06,"Tier3_1dataset"
"S100A6",1,"GSE244576",3.915,3.915,0,"Tier3_1dataset"
"TRPC6",1,"GSE244576",3.89,3.89,0,"Tier3_1dataset"
"LOXL1",1,"GSE244576",3.888,3.888,0.001076,"Tier3_1dataset"
"TIMELESS",1,"GSE244576",3.843,3.843,0.001251,"Tier3_1dataset"
"IL17RA",1,"GSE244576",3.84,3.84,0,"Tier3_1dataset"
"IGFBP3",1,"GSE244576",3.831,3.831,0,"Tier3_1dataset"
"MTBP",1,"GSE244576",3.76,3.76,0.003838,"Tier3_1dataset"
"CTSS",1,"GSE244576",3.712,3.712,0.005185,"Tier3_1dataset"
"GFAP",1,"GSE244576",3.7,3.7,0,"Tier3_1dataset"
"FBLN2",1,"GSE244576",3.637,3.637,0,"Tier3_1dataset"
"PXDC1",1,"GSE244576",3.62,3.62,2e-06,"Tier3_1dataset"
"LMNB1",1,"GSE244576",3.615,3.615,0.004182,"Tier3_1dataset"
"SLC41A2",1,"GSE244576",3.579,3.579,9e-06,"Tier3_1dataset"
"EDNRB",1,"GSE244576",3.549,3.549,0,"Tier3_1dataset"
"CASP8",1,"GSE244576",3.543,3.543,0,"Tier3_1dataset"
"NDOR1",1,"GSE244576",3.509,3.509,3.4e-05,"Tier3_1dataset"
"MAP2K3",1,"GSE244576",3.502,3.502,0,"Tier3_1dataset"
"ZFP52",1,"GSE244576",3.472,3.472,0,"Tier3_1dataset"
