gene_symbol,scores,logfoldchanges,pvals,pvals_adj,timepoint,comparison,cell_type,dataset
Tmsb4x,24.116,1.484965,1.698583503716648e-128,3.325316925226082e-124,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ctla2a,20.4412,2.4890006,7.194739485740452e-93,4.695047163744695e-89,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Sparc,18.305841,1.5396906,7.433573579763052e-75,2.9105413994204257e-71,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ifitm3,18.138065,1.9792675,1.595507663918377e-73,5.2058755894216783e-70,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl32,17.953442,1.976494,4.510613905859915e-72,1.2614898347859935e-68,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Igfbp7,16.99069,1.3502715,9.624907376253777e-65,1.884268117049202e-61,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps2,16.52272,2.0495465,2.5178106736358246e-61,4.481016323433503e-58,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ly6a,16.376144,1.1702265,2.8313220962014277e-60,4.26375328287195e-57,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rplp0,15.813585,1.982825,2.507815418244709e-56,3.0684689026860415e-53,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps18,14.693021,1.7197647,7.145546391667671e-49,8.228727159392823e-46,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Vim,14.420476,1.7242444,3.846805928604519e-47,4.18382887023837e-44,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rplp1,14.183403,1.3271102,1.1607769172753448e-45,1.1960278794473381e-42,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps5,14.036191,1.5536418,9.361045929928373e-45,9.163059808510388e-42,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Tmem252,14.029857,1.8850803,1.0235760841778989e-44,9.542166190452727e-42,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Fkbp1a,14.01022,2.1648304,1.349877866239195e-44,1.2012072266983962e-41,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl41,13.954487,1.2920786,2.9542095073397135e-44,2.5145460663125903e-41,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps11,13.77627,1.6469469,3.541001869869483e-43,2.7728877442573947e-40,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl13,13.741506,1.3486015,5.727193563818937e-43,4.312356476880128e-40,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps8,13.210211,1.4435918,7.66092217123825e-40,5.554736049864119e-37,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps19,13.19925,1.3204931,8.861317238745177e-40,6.195643127961226e-37,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ecscr,13.135622,2.509362,2.057944421186543e-39,1.3892544115023777e-36,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps7,12.762602,1.6189336,2.6519316824856367e-37,1.7305622182673768e-34,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl23a,12.709342,1.789887,5.2474030598771975e-37,3.313819667845674e-34,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl9,12.36912,1.6671373,3.840071144535564e-35,2.349283524892898e-32,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps3,12.214128,1.2633419,2.6129014033381854e-34,1.5044932580338723e-31,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl10,12.197324,2.0160058,3.212085154904075e-34,1.7966568879302023e-31,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps9,11.931807,1.2851379,8.080081875835484e-33,4.3939934134230906e-30,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Atp5e,11.6577425,1.6706486,2.0952347826722897e-31,1.1086057119020383e-28,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ndufa4,11.610022,1.4546385,3.6652283057469534e-31,1.8882677510949503e-28,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl7a,11.496446,1.8619491,1.3746053008900716e-30,6.900166147570496e-28,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps17,11.265215,1.605754,1.9487561633675228e-29,9.5376998525615e-27,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps14,11.14879,0.98029524,7.258666640151196e-29,3.465924800347316e-26,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps23,11.111235,1.4989693,1.1061893725144568e-28,5.156159368027505e-26,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps15a,11.076833,1.2637882,1.6252098261627305e-28,7.231075628815403e-26,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Anxa2,11.0349245,1.6063643,2.5926884995860123e-28,1.1279347279198972e-25,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl11,10.917328,1.5152246,9.525674612032124e-28,4.014119393736057e-25,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl6,10.916272,1.4923052,9.637003192807616e-28,4.014119393736057e-25,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps25,10.86657,1.2562938,1.6633651065394072e-27,6.784103893900412e-25,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl17,10.7523,1.550131,5.7801996612804065e-27,2.3093667095691127e-24,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl3,10.646128,1.4204714,1.817695418859238e-26,7.11700464300146e-24,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps13,10.614835,1.4708091,2.5424492689178833e-26,9.759515556393215e-24,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
S100a11,10.5947485,1.7235441,3.151883147657503e-26,1.186623391955595e-23,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps27a,10.569022,1.3671672,4.147970992551046e-26,1.5321665683239968e-23,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps16,10.558018,1.2631786,4.6640880388881474e-26,1.6909046580983937e-23,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl27,10.449849,1.5854782,1.4675787527076788e-25,5.22377986213786e-23,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps26,10.319239,1.2452639,5.767888356230587e-25,2.0163919705343966e-22,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpsa,10.307351,1.6237493,6.527544994459284e-25,2.241925409763674e-22,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps27l,10.2907505,1.7342068,7.756955529550329e-25,2.618239972448393e-22,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Prdx1,10.267295,1.3492315,9.894030565262201e-25,3.2829734979006457e-22,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Fth1,10.247671,0.9908424,1.2122916444956084e-24,3.955505587381754e-22,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
