"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison"
0,7.53322903018899,0.89,0.012,0,"Spp1","Endothelial","MCAO_vs_Sham"
0,3.76281863202427,0.62,0.064,0,"Ccl4","Endothelial","MCAO_vs_Sham"
0,-3.13062604450165,0.507,0.969,0,"mt-Atp8","Endothelial","MCAO_vs_Sham"
0,1.62498582218157,0.845,0.446,0,"Cdkn1a","Endothelial","MCAO_vs_Sham"
0,3.03412571925695,0.461,0.067,0,"Ccl12","Endothelial","MCAO_vs_Sham"
0,1.4215123771822,0.759,0.4,0,"Gm26917","Endothelial","MCAO_vs_Sham"
0,1.95853425623788,0.976,0.624,0,"AY036118","Endothelial","MCAO_vs_Sham"
0,-2.9344771109326,0.078,0.427,0,"Dbp","Endothelial","MCAO_vs_Sham"
0,1.4085210027696,0.827,0.479,0,"Ctsb","Endothelial","MCAO_vs_Sham"
0,1.83446051663352,0.782,0.438,0,"Plat","Endothelial","MCAO_vs_Sham"
0,-1.608863006057,0.515,0.857,0,"Rps27rt","Endothelial","MCAO_vs_Sham"
0,2.08113148158176,0.673,0.335,0,"Tmem252","Endothelial","MCAO_vs_Sham"
0,2.02786808745063,0.472,0.136,0,"Cd63","Endothelial","MCAO_vs_Sham"
0,1.89655156320862,0.979,0.662,0,"Gm42418","Endothelial","MCAO_vs_Sham"
0,-1.41556422289487,0.268,0.585,0,"Ifit3","Endothelial","MCAO_vs_Sham"
0,1.27788420642229,0.745,0.442,0,"Hspa5","Endothelial","MCAO_vs_Sham"
0,3.30657088204593,0.34,0.039,0,"Cd14","Endothelial","MCAO_vs_Sham"
0,-2.22735508192922,0.139,0.435,0,"Rpl9-ps6","Endothelial","MCAO_vs_Sham"
0,2.38449156330954,0.586,0.308,0,"Mt2","Endothelial","MCAO_vs_Sham"
0,-1.35684425110458,0.646,0.912,0,"Spock2","Endothelial","MCAO_vs_Sham"
0,1.18953990303554,0.51,0.245,0,"Egr1","Endothelial","MCAO_vs_Sham"
0,2.58353320590357,0.324,0.067,0,"Litaf","Endothelial","MCAO_vs_Sham"
0,-1.25992378392644,0.309,0.566,0,"Ifit1","Endothelial","MCAO_vs_Sham"
0,2.72042961903891,0.301,0.049,0,"Ccl3","Endothelial","MCAO_vs_Sham"
0,1.64169910411574,0.4,0.148,0,"Socs3","Endothelial","MCAO_vs_Sham"
0,1.731560121337,0.376,0.125,0,"Adamts1","Endothelial","MCAO_vs_Sham"
0,0.941544895731791,0.595,0.36,0,"Lgmn","Endothelial","MCAO_vs_Sham"
0,-1.05812878429916,0.46,0.695,0,"Irf7","Endothelial","MCAO_vs_Sham"
0,1.20153102069528,0.622,0.388,0,"Itm2c","Endothelial","MCAO_vs_Sham"
0,1.73360177463319,0.483,0.249,0,"Ecscr","Endothelial","MCAO_vs_Sham"
0,-0.960598615464146,0.474,0.706,0,"Isg15","Endothelial","MCAO_vs_Sham"
0,1.12771456886745,0.587,0.356,0,"Sat1","Endothelial","MCAO_vs_Sham"
0,0.963266178392494,0.675,0.445,0,"Ucp2","Endothelial","MCAO_vs_Sham"
0,1.52104854461396,0.388,0.158,0,"Ercc1","Endothelial","MCAO_vs_Sham"
0,2.96739311314601,0.268,0.04,0,"Ch25h","Endothelial","MCAO_vs_Sham"
0,-1.08483911225666,0.367,0.594,0,"Prom1","Endothelial","MCAO_vs_Sham"
0,2.9155642229706,0.262,0.037,0,"Ccl2","Endothelial","MCAO_vs_Sham"
0,2.6993717030803,0.281,0.058,0,"Lrg1","Endothelial","MCAO_vs_Sham"
0,-0.910829284052775,0.552,0.774,0,"Slc6a6","Endothelial","MCAO_vs_Sham"
0,3.8834668976224,0.246,0.025,0,"Tubb6","Endothelial","MCAO_vs_Sham"
0,1.41312137967667,0.412,0.194,0,"Hmgcs2","Endothelial","MCAO_vs_Sham"
0,1.68535871644209,0.347,0.129,0,"Angptl4","Endothelial","MCAO_vs_Sham"
0,-1.4063116672967,0.497,0.713,0,"Cxcl12","Endothelial","MCAO_vs_Sham"
0,1.15024771620939,0.549,0.334,0,"Xbp1","Endothelial","MCAO_vs_Sham"
0,-0.913593257860944,0.496,0.709,0,"Ptn","Endothelial","MCAO_vs_Sham"
0,1.3398016388065,0.818,0.605,0,"Mt1","Endothelial","MCAO_vs_Sham"
0,2.39418438746751,0.281,0.069,0,"Plaur","Endothelial","MCAO_vs_Sham"
0,1.2252104174356,0.576,0.37,0,"S100a11","Endothelial","MCAO_vs_Sham"
0,-1.41230117717465,0.139,0.344,0,"Ifit3b","Endothelial","MCAO_vs_Sham"
0,1.49120802016944,0.348,0.144,0,"Nek7","Endothelial","MCAO_vs_Sham"
0,-1.10098604202727,0.521,0.719,0,"Gm8797","Endothelial","MCAO_vs_Sham"
0,-1.16833814090252,0.749,0.945,0,"Pltp","Endothelial","MCAO_vs_Sham"
0,-0.87422794437259,0.608,0.803,0,"Abcb1a","Endothelial","MCAO_vs_Sham"
0,-0.937035902371862,0.723,0.912,0,"Tspan13","Endothelial","MCAO_vs_Sham"
0,2.64416987468121,0.265,0.081,0,"Lcn2","Endothelial","MCAO_vs_Sham"
0,-0.68140331430461,0.611,0.792,0,"Slc7a5","Endothelial","MCAO_vs_Sham"
0,-0.739266880975027,0.71,0.889,0,"Sparcl1","Endothelial","MCAO_vs_Sham"
0,0.793658719507347,0.791,0.612,0,"Fxyd5","Endothelial","MCAO_vs_Sham"
0,0.662808806085258,0.863,0.692,0,"Junb","Endothelial","MCAO_vs_Sham"
0,-2.75487807560178,0.04,0.211,0,"Dynlt1b","Endothelial","MCAO_vs_Sham"
0,2.1033158786026,0.942,0.772,0,"Ctla2a","Endothelial","MCAO_vs_Sham"
0,3.375667437719,0.187,0.018,0,"Lgals3","Endothelial","MCAO_vs_Sham"
0,4.37384582085718,0.176,0.007,0,"Cxcl2","Endothelial","MCAO_vs_Sham"
0,1.32691404074453,0.835,0.67,0,"Fkbp1a","Endothelial","MCAO_vs_Sham"
0,2.31490415944034,0.194,0.037,0,"Il4ra","Endothelial","MCAO_vs_Sham"
0,3.22366356080477,0.173,0.018,0,"Ccl6","Endothelial","MCAO_vs_Sham"
0,-0.78676217155302,0.776,0.927,0,"Gm10076","Endothelial","MCAO_vs_Sham"
0,-0.711063519196869,0.626,0.776,0,"Pcp4l1","Endothelial","MCAO_vs_Sham"
0,2.88954114997805,0.167,0.022,0,"Ccl7","Endothelial","MCAO_vs_Sham"
0,4.82937276497957,0.148,0.006,0,"Adamts9","Endothelial","MCAO_vs_Sham"
0,2.70059497992756,0.165,0.025,0,"Ccl9","Endothelial","MCAO_vs_Sham"
0,3.77640648270836,0.147,0.01,0,"C5ar1","Endothelial","MCAO_vs_Sham"
0,4.71162549726464,0.124,0.004,0,"Lilrb4a","Endothelial","MCAO_vs_Sham"
0,0.809319017130734,0.834,0.73,0,"Ifitm2","Endothelial","MCAO_vs_Sham"
0,-0.623317750966769,0.818,0.92,0,"Rps28","Endothelial","MCAO_vs_Sham"
0,-0.636187773131844,0.705,0.805,0,"H3f3a","Endothelial","MCAO_vs_Sham"
0,-0.826676975619968,0.88,0.97,0,"Uba52","Endothelial","MCAO_vs_Sham"
0,-0.786573056073036,0.916,0.996,0,"Tsc22d1","Endothelial","MCAO_vs_Sham"
0,-0.539416083894466,0.905,0.978,0,"Slco1a4","Endothelial","MCAO_vs_Sham"
0,-1.28605937330115,0.944,0.997,0,"Itm2a","Endothelial","MCAO_vs_Sham"
0,0.580961614432197,0.972,0.934,0,"Hspa8","Endothelial","MCAO_vs_Sham"
0,-0.450215389934664,0.918,0.953,0,"Fau","Endothelial","MCAO_vs_Sham"
0,-0.819429790752494,0.957,0.987,0,"Apoe","Endothelial","MCAO_vs_Sham"
0,-0.711799533809535,0.969,0.995,0,"Ly6e","Endothelial","MCAO_vs_Sham"
0,-0.615430748380955,0.971,0.992,0,"Rpl38","Endothelial","MCAO_vs_Sham"
0,1.1264012290184,0.993,0.973,0,"Igfbp7","Endothelial","MCAO_vs_Sham"
0,0.48775757936259,0.976,0.958,0,"Sparc","Endothelial","MCAO_vs_Sham"
0,-0.444240228504177,0.98,0.995,0,"Itm2b","Endothelial","MCAO_vs_Sham"
0,0.519445594612804,0.998,0.987,0,"Ftl1","Endothelial","MCAO_vs_Sham"
0,-0.541471636253389,0.988,0.998,0,"Rps27","Endothelial","MCAO_vs_Sham"
0,0.590942533482813,0.999,0.991,0,"Fth1","Endothelial","MCAO_vs_Sham"
0,-0.40618121663041,0.986,0.993,0,"Cst3","Endothelial","MCAO_vs_Sham"
0,-0.443372329772639,0.991,0.997,0,"Rps29","Endothelial","MCAO_vs_Sham"
0,-0.591093062544854,0.997,1,0,"Bsg","Endothelial","MCAO_vs_Sham"
0,-0.372746596965386,0.999,1,0,"Ttr","Endothelial","MCAO_vs_Sham"
0,0.402909985241116,1,1,0,"Malat1","Endothelial","MCAO_vs_Sham"
1.68673738613007e-307,1.08986737232325,0.434,0.212,3.15015074233652e-303,"Lyz2","Endothelial","MCAO_vs_Sham"
5.13451231274169e-307,-0.590940521297701,0.687,0.835,9.58921519527637e-303,"Slco1c1","Endothelial","MCAO_vs_Sham"
3.89188727259882e-305,1.23578182498274,0.414,0.202,7.26848867030555e-301,"Gadd45g","Endothelial","MCAO_vs_Sham"
3.52487581623125e-304,1.47141221334492,0.297,0.111,6.58305807439347e-300,"Gngt2","Endothelial","MCAO_vs_Sham"
9.85602988879466e-304,1.02602075121839,0.511,0.288,1.84071214203129e-299,"Cd9","Endothelial","MCAO_vs_Sham"
4.2662660440299e-301,0.745934132430938,0.757,0.606,7.96767846383025e-297,"Tpm3","Endothelial","MCAO_vs_Sham"
9.22709053776816e-301,1.51717739578407,0.292,0.108,1.72325142883358e-296,"Tnfrsf12a","Endothelial","MCAO_vs_Sham"
9.93923695529713e-301,4.23098893140251,0.173,0.035,1.85625189377129e-296,"Hbb-bs","Endothelial","MCAO_vs_Sham"
4.21171902951839e-299,0.579118563550574,0.971,0.956,7.86580645952855e-295,"Pglyrp1","Endothelial","MCAO_vs_Sham"
1.20700107159742e-297,-0.990680873202606,0.365,0.55,2.25419520131534e-293,"Cav2","Endothelial","MCAO_vs_Sham"
4.60001957464573e-290,2.83635735844155,0.136,0.018,8.59099655760836e-286,"Ms4a6d","Endothelial","MCAO_vs_Sham"
7.28251027772949e-289,1.10133774376621,0.487,0.282,1.36008161946876e-284,"Col4a1","Endothelial","MCAO_vs_Sham"
5.76308133232917e-288,-1.35341709777578,0.182,0.374,1.0763130696258e-283,"Tfrc","Endothelial","MCAO_vs_Sham"
1.16727913165014e-286,3.56838607845557,0.114,0.009,2.18001050626979e-282,"Glipr2","Endothelial","MCAO_vs_Sham"
2.03166088425544e-282,0.908946700340607,0.537,0.315,3.79432986743546e-278,"Ctsz","Endothelial","MCAO_vs_Sham"
5.87815665020584e-282,-1.31544012410766,0.222,0.408,1.09780453599244e-277,"Cav1","Endothelial","MCAO_vs_Sham"
1.66137045506023e-281,1.06259389955476,0.444,0.233,3.10277546187048e-277,"Capg","Endothelial","MCAO_vs_Sham"
1.22736872020704e-279,-2.9965047444002,0.028,0.16,2.29223382185866e-275,"Gm10709","Endothelial","MCAO_vs_Sham"
5.28605316783554e-276,-0.872386016146513,0.464,0.626,9.87223289624965e-272,"Gsta4","Endothelial","MCAO_vs_Sham"
5.07151644257136e-274,-2.45837907214254,0.042,0.183,9.47156410814628e-270,"4930578C19Rik","Endothelial","MCAO_vs_Sham"
1.87605122030645e-272,0.478649989778954,0.932,0.877,3.50371325904432e-268,"Ybx1","Endothelial","MCAO_vs_Sham"
6.34838811761484e-272,-1.03634601362699,0.327,0.508,1.18562496484575e-267,"Lmo2","Endothelial","MCAO_vs_Sham"
9.20603858286457e-270,-0.338519372711718,0.972,0.988,1.71931976573579e-265,"Rpl37","Endothelial","MCAO_vs_Sham"
1.18736125089077e-269,-0.706151386578992,0.528,0.688,2.21751587216361e-265,"Ablim1","Endothelial","MCAO_vs_Sham"
8.02095851734137e-269,0.960076589272474,0.65,0.49,1.49799421269867e-264,"Anxa2","Endothelial","MCAO_vs_Sham"
1.69000462506198e-268,0.865768947654128,0.62,0.44,3.15625263776576e-264,"Gapdh","Endothelial","MCAO_vs_Sham"
9.05027606703092e-266,4.12485134777427,0.101,0.007,1.6902295582787e-261,"Upp1","Endothelial","MCAO_vs_Sham"
6.27999520879597e-265,1.43724182261941,0.293,0.119,1.17285190519474e-260,"Ctla2b","Endothelial","MCAO_vs_Sham"
1.75514622294494e-264,-0.647392869358503,0.634,0.768,3.27791108597197e-260,"Car4","Endothelial","MCAO_vs_Sham"
1.85977978190457e-263,2.84523548213978,0.129,0.019,3.47332472068497e-259,"Emp1","Endothelial","MCAO_vs_Sham"
8.58644375016976e-262,1.6358927275019,0.223,0.071,1.6036042347817e-257,"Map3k6","Endothelial","MCAO_vs_Sham"
1.51759137852844e-261,-0.950200006550809,0.367,0.535,2.83425365853972e-257,"Wdr89","Endothelial","MCAO_vs_Sham"
1.31564628341022e-259,-1.36254255200551,0.183,0.356,2.45710099889693e-255,"Gm9843","Endothelial","MCAO_vs_Sham"
1.77207259598708e-259,-2.22642446410705,0.049,0.19,3.30952278026548e-255,"P2ry12","Endothelial","MCAO_vs_Sham"
9.79790075453963e-259,3.49353129743768,0.101,0.007,1.82985594491782e-254,"Timp1","Endothelial","MCAO_vs_Sham"
1.54031723746722e-257,2.6542087179481,0.122,0.017,2.87669647269378e-253,"Lpl","Endothelial","MCAO_vs_Sham"
2.16559200468654e-257,-1.33266082349044,0.198,0.368,4.04445962795258e-253,"Rpl27-ps3","Endothelial","MCAO_vs_Sham"
5.66677008722675e-255,0.9029642252454,0.528,0.326,1.05832598149047e-250,"Pdia6","Endothelial","MCAO_vs_Sham"
6.34295536558898e-247,-0.362171431773538,0.938,0.968,1.1846103440774e-242,"Crip2","Endothelial","MCAO_vs_Sham"
1.40558025313774e-246,1.75671975779007,0.263,0.106,2.62506168076004e-242,"Akap12","Endothelial","MCAO_vs_Sham"
5.6985683743648e-244,0.854703342312242,0.634,0.474,1.06426462959637e-239,"Serpinh1","Endothelial","MCAO_vs_Sham"
1.303954336016e-243,0.873512923704794,0.589,0.405,2.43526511794349e-239,"Msn","Endothelial","MCAO_vs_Sham"
2.75374111394457e-243,0.94666167295201,0.407,0.211,5.14288690440288e-239,"Clu","Endothelial","MCAO_vs_Sham"
8.4764479434211e-243,-0.556322668530793,0.657,0.788,1.58306141791333e-238,"Fcgrt","Endothelial","MCAO_vs_Sham"
