"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.61323926529682e-20,3.25143837136253,0.218,0.047,3.44797628171889e-16,"Spp1"
2.78519518196841e-07,2.08013045833816,0.106,0.036,0.00595279766242108,"Trp53inp1"
4.32892265495174e-12,1.09804127708019,0.486,0.372,9.25220639042835e-08,"S100a11"
5.58915386140015e-18,1.07978844841918,0.525,0.38,1.19456985479705e-13,"Dpysl2"
1.80212319249186e-22,1.04916612264254,0.669,0.526,3.85167789931286e-18,"Gatm"
8.25850899010784e-10,1.04045559605511,0.4,0.295,1.76509112645575e-05,"Hrct1"
4.08612923358669e-09,0.924956147912216,0.373,0.265,8.73328401094483e-05,"Slc16a12"
3.09570578460513e-14,0.913162695426295,0.556,0.454,6.61645197343655e-10,"Ywhaz"
3.55049309128443e-16,0.90168481216367,0.613,0.484,7.58846888400221e-12,"Slc12a2"
2.36162638147354e-07,0.875525753816431,0.253,0.153,0.0050475040651234,"Osmr"
2.50955704098933e-18,0.843297796737798,0.639,0.497,5.36367626370649e-14,"Cp"
1.98251609290376e-12,0.799637201982293,0.621,0.543,4.23723164536321e-08,"Zic1"
3.71330206448561e-11,0.792209144491048,0.483,0.361,7.93644050242509e-07,"Zfp36l1"
3.57606389332057e-07,0.727268972529847,0.421,0.338,0.00764312135919406,"Foxc1"
2.98903619413903e-07,0.723826666355729,0.443,0.369,0.00638846705773335,"Rps26"
5.38604289026618e-12,0.717252241190262,0.619,0.533,1.15115894693659e-07,"Drap1"
1.08271005302611e-06,0.712384912674817,0.404,0.318,0.0231407619633271,"Lrrc58"
7.30191832333542e-07,0.682006938047952,0.444,0.367,0.0156063900324648,"Irf2bp2"
6.56106953938322e-07,0.679942194379447,0.433,0.35,0.0140229739265238,"Pla1a"
7.78556843002299e-10,0.661929465906016,0.607,0.539,1.66400954054881e-05,"Pfn1"
2.46640801715713e-07,0.651159150122088,0.519,0.452,0.00527145385506994,"Hnrnpa2b1"
5.10984752303235e-07,0.639003098448167,0.498,0.416,0.010921277110977,"Rapgef5"
5.79778071314637e-11,0.628250417031315,0.596,0.507,1.23915967182077e-06,"Prkar1a"
1.27677869296938e-10,0.618816384210056,0.648,0.569,2.72885910048345e-06,"Pten"
2.01798157379843e-08,0.617509368058808,0.583,0.535,0.000431303201767939,"Hnrnpk"
1.47280206176559e-09,0.609824882242148,0.742,0.648,3.14781984661159e-05,"Ifitm1"
3.21325546724398e-08,0.575683050259279,0.67,0.588,0.000686769091014056,"Car4"
2.24762174046548e-13,0.569647145139038,0.776,0.724,4.80384194589687e-09,"Serinc3"
2.45247807788667e-15,0.568272369786673,0.795,0.722,5.24168139586717e-11,"Atp13a5"
7.04529278566403e-18,0.564832511117512,0.97,0.93,1.50579042707997e-13,"Actb"
1.73749329697754e-11,0.562871183011488,0.65,0.554,3.71354442363009e-07,"Tagln2"
5.15683991339161e-15,0.552952084889027,0.661,0.503,1.10217139468919e-10,"Timp3"
1.41441608832682e-11,0.551165649272321,0.699,0.594,3.02303150558092e-07,"Abcc9"
1.2244905808481e-06,0.546672948079481,0.55,0.488,0.0261710371844665,"Plat"
1.97947847790078e-06,0.542619875314422,0.55,0.503,0.0423073935081734,"Atp5e"
1.34059600756257e-09,0.542596918267821,0.689,0.597,2.86525584696349e-05,"Slc6a20a"
1.58422995525238e-06,0.52500508877995,0.562,0.512,0.033859746833609,"Lhfp"
1.2032612616378e-07,0.506203032614693,0.585,0.526,0.00257173029449847,"Rhoa"
5.04372414820353e-13,0.504051264292704,0.936,0.909,1.07799516219554e-08,"Ptn"
1.34728722335569e-12,-0.501096523618368,0.538,0.701,2.87955698247812e-08,"Fermt2"
2.18608716731356e-06,-0.513024447035208,0.101,0.176,0.0467232410269927,"Fnta"
