"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
8.63927132825657e-38,-5.80775984843634,0.01,0.545,2.05208611860078e-33,"Gstm5","EC_stroke_core_vs_control"
6.47866943979195e-17,-3.42202006824686,0.11,0.909,1.53887835203378e-12,"Cox8a","EC_stroke_core_vs_control"
5.66208791496389e-15,-6.20454014967784,0.008,0.273,1.34491574244137e-10,"C730034F03Rik","EC_stroke_core_vs_control"
7.96722254386458e-15,-5.09509033624566,0.008,0.273,1.89245437084415e-10,"Pold4","EC_stroke_core_vs_control"
1.84594061474687e-13,-4.24578869930618,0.031,0.455,4.38466274220825e-09,"Mrpl20","EC_stroke_core_vs_control"
2.08765462504997e-13,-5.04950856448372,0.003,0.182,4.95880603088118e-09,"Elof1","EC_stroke_core_vs_control"
2.60453889621787e-13,-5.49297182868346,0.01,0.273,6.18656124018631e-09,"Mylpf","EC_stroke_core_vs_control"
1.39138508203938e-12,-3.15189188256003,0.092,0.727,3.30495698536814e-08,"Rps4x","EC_stroke_core_vs_control"
1.87757662828747e-12,-4.78088360537072,0.021,0.364,4.45980776517123e-08,"Smim11","EC_stroke_core_vs_control"
5.59754626194796e-12,-4.82647639995544,0.011,0.273,1.3295851636005e-07,"Gm20404","EC_stroke_core_vs_control"
9.5720869231154e-12,-3.36465801999694,0.075,0.636,2.2736578068476e-07,"Selenok","EC_stroke_core_vs_control"
9.61104377608577e-12,-3.87101426826344,0.011,0.273,2.28291122813365e-07,"Vma21","EC_stroke_core_vs_control"
4.97971277640283e-11,-2.87318051217173,0.1,0.727,1.18283117577896e-06,"4930558K02Rik","EC_stroke_core_vs_control"
5.11223233807199e-11,-5.95377364400003,0.005,0.182,1.21430854726224e-06,"Gm30667","EC_stroke_core_vs_control"
5.11223233807199e-11,-6.35836447298132,0.005,0.182,1.21430854726224e-06,"Gapdhs","EC_stroke_core_vs_control"
5.11223233807199e-11,-6.58863129194832,0.005,0.182,1.21430854726224e-06,"Bc1","EC_stroke_core_vs_control"
5.40184328778403e-11,-5.10437113574187,0.013,0.273,1.28309983614734e-06,"Gm45669","EC_stroke_core_vs_control"
5.49973082653027e-11,-6.28430415755745,0.005,0.182,1.30635106322573e-06,"Marcksl1","EC_stroke_core_vs_control"
5.91591361756917e-11,-5.47556747157918,0.005,0.182,1.4052069615812e-06,"Scg2","EC_stroke_core_vs_control"
5.91591361756917e-11,-5.22425609485342,0.005,0.182,1.4052069615812e-06,"Zfp428","EC_stroke_core_vs_control"
7.35800798520164e-11,-4.69945373979954,0.005,0.182,1.74774763672495e-06,"Gm12059","EC_stroke_core_vs_control"
8.01120791488588e-11,-4.3837995030366,0.013,0.273,1.90290221602284e-06,"Lrrc39","EC_stroke_core_vs_control"
8.69302357628869e-11,-3.07135365211622,0.079,0.636,2.06485389007585e-06,"Gm11867","EC_stroke_core_vs_control"
2.28034199697161e-10,-3.96950443554091,0.026,0.364,5.41649634540666e-06,"Ndufa1","EC_stroke_core_vs_control"
2.8482441009463e-10,-3.47590757751083,0.063,0.545,6.76543421297774e-06,"Rrp1","EC_stroke_core_vs_control"
3.03321025365291e-10,-3.71568885553675,0.026,0.364,7.20478431550175e-06,"Isg15","EC_stroke_core_vs_control"
3.4192551003836e-10,-2.81570062773934,0.113,0.727,8.12175663994116e-06,"Rps15a","EC_stroke_core_vs_control"
3.64081287292613e-10,-3.21871622111346,0.062,0.545,8.64802281706144e-06,"Myo1h","EC_stroke_core_vs_control"
4.9221400302339e-10,-4.34373557632785,0.015,0.273,1.16915592138146e-05,"Coa3","EC_stroke_core_vs_control"
5.88887461748364e-10,-3.06055718164675,0.089,0.636,1.39878438789089e-05,"Car4","EC_stroke_core_vs_control"
6.63795163225814e-10,-3.86206370211318,0.028,0.364,1.57671265121028e-05,"Ndufa11","EC_stroke_core_vs_control"
9.20806332781702e-10,-3.5741185102579,0.045,0.455,2.18719128225638e-05,"Ghitm","EC_stroke_core_vs_control"
1.49151743389373e-09,-4.01901750969993,0.029,0.364,3.54280136072777e-05,"Lamtor2","EC_stroke_core_vs_control"
1.5757381058608e-09,-2.58206385537706,0.156,0.818,3.74285072285115e-05,"Gm50306","EC_stroke_core_vs_control"
2.66120014884285e-09,-3.33040521811045,0.047,0.455,6.32114871354641e-05,"Gm26532","EC_stroke_core_vs_control"
3.11237390545607e-09,-5.15589069996131,0.006,0.182,7.39282173762981e-05,"Gm47350","EC_stroke_core_vs_control"
3.19798405359602e-09,-3.97957315960619,0.016,0.273,7.59617152250663e-05,"Pmaip1","EC_stroke_core_vs_control"
3.30651590687401e-09,-4.82171919647622,0.006,0.182,7.85396723359784e-05,"Frg2f1","EC_stroke_core_vs_control"
3.30651590687401e-09,-4.82896269116851,0.006,0.182,7.85396723359784e-05,"Ttc9b","EC_stroke_core_vs_control"
3.30651590687401e-09,-4.71665884594283,0.006,0.182,7.85396723359784e-05,"Eid2","EC_stroke_core_vs_control"
3.51242874997286e-09,-4.64946912708672,0.006,0.182,8.34307200981054e-05,"Nhp2","EC_stroke_core_vs_control"
3.73080447854915e-09,-4.51118687109183,0.006,0.182,8.8617798778978e-05,"D330050I16Rik","EC_stroke_core_vs_control"
3.90329368148753e-09,-2.81766218843411,0.135,0.727,9.27149348163733e-05,"Rpl21","EC_stroke_core_vs_control"
4.98680752410573e-09,-3.59093934217504,0.031,0.364,0.000118451639120083,"Ndufa4l2","EC_stroke_core_vs_control"
6.6639454594976e-09,-2.58252499582722,0.13,0.727,0.000158288696499447,"Rps19","EC_stroke_core_vs_control"
7.06083329082099e-09,-2.53667841801159,0.096,0.636,0.000167715973156871,"Rpl18","EC_stroke_core_vs_control"
7.08947540393973e-09,-3.46620049029314,0.05,0.455,0.00016839630926978,"Sh3bgrl3","EC_stroke_core_vs_control"
7.64594548605399e-09,-3.13925593359126,0.075,0.545,0.00018161414313024,"Calm3","EC_stroke_core_vs_control"
8.94408398907288e-09,-4.87947824232,0.018,0.273,0.000212448826992448,"Sh3d21","EC_stroke_core_vs_control"
1.12024246820013e-08,-3.57616274165938,0.032,0.364,0.000266091193471577,"Psmb5","EC_stroke_core_vs_control"
1.20767208682924e-08,-2.70015745322972,0.139,0.727,0.000286858350784549,"Rps3a1","EC_stroke_core_vs_control"
1.59251678064905e-08,-3.6137842830185,0.018,0.273,0.000378270510907568,"Tmem185b","EC_stroke_core_vs_control"
1.91834938180077e-08,-3.26299163114357,0.053,0.455,0.000455665528659138,"Nop53","EC_stroke_core_vs_control"
3.40658230683194e-08,-3.16095904814367,0.055,0.455,0.000809165495341792,"Idh3g","EC_stroke_core_vs_control"
3.52192824486285e-08,-2.39998401694438,0.141,0.727,0.000836563616002274,"Cox6c","EC_stroke_core_vs_control"
3.85799304477942e-08,-2.79104681832403,0.113,0.636,0.000916389087926455,"Rpl3","EC_stroke_core_vs_control"
3.87985683473618e-08,-3.73953461272007,0.036,0.364,0.000921582393954884,"Ran","EC_stroke_core_vs_control"
3.9295009476422e-08,-2.12740004727322,0.225,0.909,0.000933374360093452,"Sypl","EC_stroke_core_vs_control"
4.03304961668855e-08,-4.19907845308616,0.019,0.273,0.000957970275452031,"Med28","EC_stroke_core_vs_control"
4.33682803276589e-08,-5.71904966137132,0.008,0.182,0.00103012676262288,"Rpa3","EC_stroke_core_vs_control"
4.41168960849305e-08,-2.52672238441449,0.105,0.636,0.00104790863270536,"Gpr146","EC_stroke_core_vs_control"
4.49066525367772e-08,-3.9750471904716,0.019,0.273,0.00106666771770607,"Prdx4","EC_stroke_core_vs_control"
4.76253631891751e-08,-2.36222664881491,0.144,0.727,0.00113124525183248,"Cox4i1","EC_stroke_core_vs_control"
4.99844785451679e-08,-3.83552522838809,0.019,0.273,0.00118728131888337,"Exosc8","EC_stroke_core_vs_control"
5.33772117735145e-08,-4.64305769697061,0.008,0.182,0.00126786891125629,"Tbr1","EC_stroke_core_vs_control"
5.36743388434378e-08,-3.67785441378704,0.019,0.273,0.00127492657054818,"Jpt1","EC_stroke_core_vs_control"
5.62098109724102e-08,-4.59790532719743,0.008,0.182,0.00133515164002766,"Gm28410","EC_stroke_core_vs_control"
5.62098109724102e-08,-4.44782202959945,0.008,0.182,0.00133515164002766,"Tapbpl","EC_stroke_core_vs_control"
5.62098109724102e-08,-4.44380747087828,0.008,0.182,0.00133515164002766,"Gadd45gip1","EC_stroke_core_vs_control"
5.64297014881048e-08,-2.84054869849086,0.118,0.636,0.00134037469944695,"Pdxk","EC_stroke_core_vs_control"
5.91878411459687e-08,-4.11226826607968,0.008,0.182,0.0014058887907402,"Ndufaf3","EC_stroke_core_vs_control"
6.17239369123909e-08,-2.68447109828411,0.115,0.636,0.00146612867348002,"Rpl28","EC_stroke_core_vs_control"
6.23185028642246e-08,-3.79088198752648,0.008,0.182,0.00148025139853393,"Trappc6a","EC_stroke_core_vs_control"
6.58319157932197e-08,-2.55997760671926,0.162,0.727,0.00156370549583635,"Rpl18a","EC_stroke_core_vs_control"
7.15361206834326e-08,-2.49437513491367,0.152,0.727,0.00169919747459357,"H3f3a","EC_stroke_core_vs_control"
8.17062099533203e-08,-2.41042067384521,0.149,0.727,0.00194076760502122,"Ubc","EC_stroke_core_vs_control"
8.85630606089064e-08,-2.3898378495444,0.217,0.818,0.00210363837864335,"Rpl13","EC_stroke_core_vs_control"
8.86684351097397e-08,-3.17862962001293,0.058,0.455,0.00210614133916165,"Mrfap1","EC_stroke_core_vs_control"
