gene,Astrocyte__Sham,Astrocyte__Stroke,Endothelial__Sham,Endothelial__Stroke,Macrophage__Sham,Macrophage__Stroke,Microglia__Sham,Microglia__Stroke,NK_cell__Sham,NK_cell__Stroke,Neuron__Sham,Neuron__Stroke,OPC__Sham,OPC__Stroke,Oligodendrocyte__Sham,Oligodendrocyte__Stroke,Pericyte__Sham,Pericyte__Stroke,T_cell__Sham,T_cell__Stroke
Fcgr2b,0.003324583,0.026618604,0.0005700698,0.0034114404,1.000584,0.9175388,0.5296529,0.7314518,0.00034391135,0.005452868,0.0,0.008719217,0.02064547,0.061073754,0.00049842277,0.006151382,0.0018476428,0.004420769,0.0,0.0
Macrod2,0.07725973,0.07980671,0.06866271,0.053498365,0.0034913975,0.023435645,0.029003497,0.011809958,0.055319462,0.048668385,0.3229721,0.31283075,0.31266835,0.15361184,0.18911822,0.14439063,0.03581238,0.02374061,0.058244396,0.016016232
Amigo2,0.029121958,0.032929357,0.021571346,0.021134147,0.033885892,0.017912537,0.004796119,0.008043569,0.047388744,0.07852422,0.104669094,0.026099393,0.017730065,0.012290704,0.0074023474,0.013380938,0.25721118,0.24232559,0.015430082,0.009848891
Cd9,1.6493229,2.0358708,0.49109924,0.7207002,0.50636107,0.9139335,1.6965333,2.0237594,1.7018126,1.9967322,0.31124422,0.52223426,2.4076815,2.162416,2.248057,2.5583458,1.1148703,1.240124,0.4196082,0.45377782
Serping1,0.3336524,0.39763632,0.00858116,0.011556268,0.017058954,0.019595576,0.0166714,0.013695459,0.00819984,0.030905144,0.021998411,0.030222563,0.4202644,0.75829685,0.01263455,0.035105642,0.5654319,0.60538983,0.0,0.03380507
Tyrobp,0.0063823117,0.07623542,0.01403024,0.048321348,2.9745414,3.0452378,2.8659658,2.9990063,0.009501895,0.042566817,0.010336096,0.071015276,0.021078795,0.06407805,0.009480757,0.07550937,0.010696883,0.046960164,0.53102505,0.3775089
Ccl17,0.00078247767,0.0029390818,0.0007592621,0.0014600038,0.0072566844,0.030662501,0.0,0.00029903432,0.0010422973,0.0027660457,0.020817537,0.026773984,0.008790632,0.004728641,0.0,0.0006145903,0.00028008307,0.00072385103,0.0,0.0
Vcan,0.04805409,0.0353109,0.00798322,0.0096897045,0.0,0.07628893,0.022012964,0.009376626,0.0058149705,0.008347976,0.1904824,0.15107429,1.2740723,1.0771796,0.0011591844,0.0060942327,0.008774507,0.0032403865,0.0,0.008951416
Tnks2,0.34894925,0.36894497,0.3927231,0.3833256,0.22211854,0.2134591,0.27699044,0.2431169,0.24117114,0.2651698,0.32765576,0.3972736,0.40031645,0.36230144,0.5013256,0.5226821,0.31308192,0.31889805,0.3651837,0.3767234
Ccl22,0.0,0.0,0.0006214494,0.00029371388,0.0,0.036854878,0.0,0.0014311628,0.0,0.00031550054,0.0,0.00048014516,0.018097715,0.0021982212,0.003816058,0.0030740162,0.0,0.0,0.0,0.0
Socs2,0.22474425,0.18132178,0.400197,0.33561617,0.044103134,0.062266257,0.07864762,0.07362312,0.103171274,0.06825416,0.21857071,0.20977496,0.080643766,0.08059212,0.027375402,0.041550525,0.1146997,0.0866283,0.43876952,0.2226588
Ifit3,0.5780136,0.23139015,1.5016087,0.39895663,1.1314639,0.17512526,0.3801818,0.12656677,0.1185084,0.05228331,0.16229166,0.03681128,0.96756625,0.3026947,0.10785032,0.053211313,0.5970581,0.16084658,0.59804595,0.18422753
Acod1,0.0,0.0013145807,0.0,0.00024845294,0.1532712,0.22353902,0.010561802,0.011186852,0.0,0.00042715456,0.0,0.00038857132,0.0,0.0,0.0,0.001674944,0.0,9.68284e-05,0.0,0.0
Aifm2,0.09457973,0.0802021,0.03337968,0.03340006,0.023022287,0.03517908,0.0,0.0111166425,0.033881392,0.03217241,0.00761991,0.020446334,0.048341937,0.037764076,0.037377976,0.031124966,0.037870746,0.04940387,0.0,0.014304838
