"cell_type","condition","n_cells","mean_apoptosis","sd_apoptosis","mean_necroptosis","sd_necroptosis","mean_ferroptosis","sd_ferroptosis","dataset","n_apop_genes","n_necro_genes","n_ferro_genes"
"B_cell","Sham",18,-0.0127494292355916,0.0365024213756664,0.166930495038305,0.0713919670991353,0.0458297941980069,0.0557462085120101,"GSE300564",153,54,58
"B_cell","Stroke_antiVCAM1",29,0.0137564067720773,0.0591086499762251,0.151514562152867,0.0828674180256106,0.0140409260542988,0.0549419996228204,"GSE300564",153,54,58
"B_cell","Stroke_antiVLA4",47,0.00536277809744197,0.044232196149767,0.11969243172958,0.0582350998989765,0.0185325915987056,0.0733828313253038,"GSE300564",153,54,58
"B_cell","Stroke_isotype",112,-0.0015375709340772,0.0421249291995299,0.111471569885392,0.0749464141202567,0.0228002028750315,0.0547035043680139,"GSE300564",153,54,58
"Endothelial","Sham",576,0.0899176478358049,0.0632444798283139,0.0621161369731173,0.101083928283801,0.0737778376147232,0.0964518800851654,"GSE300564",153,54,58
"Endothelial","Stroke_antiVCAM1",2601,0.113353222171863,0.0554005951566903,0.0994530783075598,0.0856593724985003,0.116238679387691,0.0903891665507477,"GSE300564",153,54,58
"Endothelial","Stroke_antiVLA4",3398,0.123968459935902,0.0542717770126008,0.100522131053326,0.0823005058453701,0.12889834430936,0.087917760003603,"GSE300564",153,54,58
"Endothelial","Stroke_isotype",701,0.0945031213537811,0.0627499633853587,0.074394274985489,0.100202722825378,0.111427443472108,0.0942165634640954,"GSE300564",153,54,58
"Macrophage","Sham",161,0.122410836981707,0.0695548797354743,0.151601363300838,0.105198087670677,0.0870488088679728,0.069638419759461,"GSE300564",153,54,58
"Macrophage","Stroke_antiVCAM1",112,0.106846816095122,0.0584770529218422,0.17206729960364,0.0951255183224748,0.11131161126062,0.0807645662557077,"GSE300564",153,54,58
"Macrophage","Stroke_antiVLA4",118,0.118787534833267,0.070263533404187,0.156252830889707,0.0967448445168072,0.126928363448003,0.0746727481264513,"GSE300564",153,54,58
"Macrophage","Stroke_isotype",292,0.107687663779526,0.0638462924849807,0.144782318547927,0.105609812055733,0.10478165699962,0.0796249867392501,"GSE300564",153,54,58
"Microglia","Sham",700,0.0533138531014052,0.0630849504930942,0.10947101399282,0.100025432330908,0.0199336742634201,0.0810958536533717,"GSE300564",153,54,58
"Microglia","Stroke_antiVCAM1",1879,0.0438215527060286,0.0610997882360081,0.10470537165272,0.0974648445160769,0.0217607810497018,0.0836838877957634,"GSE300564",153,54,58
"Microglia","Stroke_antiVLA4",2568,0.0348175821283126,0.0650801860964159,0.0968420849095964,0.0976792978720775,0.019091565793913,0.0896547450115307,"GSE300564",153,54,58
"Microglia","Stroke_isotype",1507,0.0548481903703859,0.0630826200385192,0.0921038194991544,0.0969183183591526,0.0242067813220085,0.0819441686284081,"GSE300564",153,54,58
"T_cell","Sham",72,0.0660608136657975,0.0434400538226202,0.179247241139113,0.0781753811674692,-0.0372543183067987,0.0666009637541635,"GSE300564",153,54,58
"T_cell","Stroke_antiVCAM1",113,0.0593086011347415,0.0402819824044271,0.171363501568458,0.0958187438185393,-0.0351809346682293,0.0625236557234425,"GSE300564",153,54,58
"T_cell","Stroke_antiVLA4",216,0.0496972266541097,0.043704744221855,0.184566640394595,0.084886009650427,-0.0212212943496065,0.0670707064644503,"GSE300564",153,54,58
"T_cell","Stroke_isotype",256,0.0499887567788024,0.0476824881960024,0.153489415963828,0.092130302720784,-0.0258800703301878,0.0585363394439739,"GSE300564",153,54,58
