"pathway","source","gene","in_multiple_pathways"
"Apoptosis","HALLMARK_APOPTOSIS","Add1",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Aifm3",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Ank",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Anxa1",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","App",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Atf3",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Avpr1a",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Bax",TRUE
"Apoptosis","HALLMARK_APOPTOSIS","Bcap31",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Bcl10",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Bcl2l1",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Bcl2l10",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Bcl2l11",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Bcl2l2",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Bgn",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Bid",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Bik",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Birc3",TRUE
"Apoptosis","HALLMARK_APOPTOSIS","Bmf",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Bmp2",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Bnip3l",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Brca1",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Btg2",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Btg3",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Casp1",TRUE
"Apoptosis","HALLMARK_APOPTOSIS","Casp2",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Casp3",TRUE
"Apoptosis","HALLMARK_APOPTOSIS","Casp4",TRUE
"Apoptosis","HALLMARK_APOPTOSIS","Casp6",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Casp7",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Casp8",TRUE
"Apoptosis","HALLMARK_APOPTOSIS","Casp9",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Cav1",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Ccna1",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Ccnd1",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Ccnd2",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Cd14",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Cd2",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Cd38",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Cd44",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Cd69",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Cdc25b",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Cdk2",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Cdkn1a",FALSE
"Apoptosis","HALLMARK_APOPTOSIS","Cdkn1b",FALSE
