"gene_upper","n_datasets","datasets","mean_log2FC","max_log2FC","min_padj","confidence_tier"
"COL4A2",5,"GSE223744, GSE225948, GSE234052, GSE279666, GSE9391",3.43,10.07,0,"Tier1_5+datasets"
"S100A6",5,"GSE223744, GSE225948, GSE233815, GSE234052, GSE244576",2.665,6.107,0,"Tier1_5+datasets"
"ECSCR",5,"GSE223744, GSE225948, GSE233815, GSE234052, GSE244576",2.341,2.97,0,"Tier1_5+datasets"
"TMEM252",5,"GSE223744, GSE225948, GSE233815, GSE234052, GSE244576",2.218,3.821,0,"Tier1_5+datasets"
"LCN2",4,"GSE223744, GSE233815, GSE234052, GSE244576",4.806,7.566,0,"Tier2_4datasets"
"EMP1",4,"GSE223744, GSE225948, GSE234052, GSE244576",4.599,8.17,0,"Tier2_4datasets"
"LRG1",4,"GSE223744, GSE225948, GSE233815, GSE244576",4.57,7.967,0,"Tier2_4datasets"
"PDLIM1",4,"GSE223744, GSE234052, GSE244576, GSE279666",4.554,5.042,0,"Tier2_4datasets"
"HMOX1",4,"GSE223744, GSE233815, GSE234052, GSE244576",4.507,7.652,1e-04,"Tier2_4datasets"
"ADAMTS9",4,"GSE223744, GSE234052, GSE244576, GSE279666",4.18,6.363,0,"Tier2_4datasets"
"CTLA2A",4,"GSE223744, GSE225948, GSE234052, GSE244576",2.845,4.647,0,"Tier2_4datasets"
"SOCS3",4,"GSE223744, GSE233815, GSE234052, GSE244576",2.705,4.05,0,"Tier2_4datasets"
"LITAF",4,"GSE223744, GSE225948, GSE233815, GSE234052",2.693,4.522,0,"Tier2_4datasets"
"ADAMTS1",4,"GSE223744, GSE233815, GSE234052, GSE244576",2.389,3.379,0,"Tier2_4datasets"
"S100A11",4,"GSE223744, GSE225948, GSE234052, GSE244576",2.134,4.113,0,"Tier2_4datasets"
"DYSF",4,"GSE223744, GSE233815, GSE234052, GSE279666",1.962,2.713,0,"Tier2_4datasets"
"RPS2",4,"GSE223744, GSE225948, GSE234052, GSE244576",1.904,2.477,0,"Tier2_4datasets"
"IFITM2",4,"GSE223744, GSE225948, GSE233815, GSE244576",1.881,2.617,0,"Tier2_4datasets"
"FKBP1A",4,"GSE223744, GSE225948, GSE234052, GSE244576",1.831,2.338,0,"Tier2_4datasets"
"CTSB",4,"GSE223744, GSE225948, GSE234052, GSE244576",1.768,2.183,0,"Tier2_4datasets"
"RPLP0",4,"GSE223744, GSE225948, GSE234052, GSE244576",1.688,2.718,0,"Tier2_4datasets"
"FTH1",4,"GSE223744, GSE234052, GSE244576, GSE310324",1.565,3.319,0,"Tier2_4datasets"
"CD93",4,"GSE223744, GSE225948, GSE233815, GSE234052",1.451,2.533,0,"Tier2_4datasets"
"RPSA",4,"GSE223744, GSE225948, GSE234052, GSE244576",1.446,1.999,0,"Tier2_4datasets"
"CD200",4,"GSE223744, GSE225948, GSE234052, GSE244576",1.442,1.983,0,"Tier2_4datasets"
"IFITM3",4,"GSE223744, GSE225948, GSE234052, GSE244576",1.419,1.979,0,"Tier2_4datasets"
"TIMP1",3,"GSE223744, GSE234052, GSE244576",6.837,8.51,0,"Tier3_3datasets"
"CCL2",3,"GSE223744, GSE233815, GSE244576",6.575,8.572,8e-06,"Tier3_3datasets"
"KIT",3,"GSE223744, GSE234052, GSE279666",5.227,6.063,0,"Tier3_3datasets"
